work,group,pick_key,live_file,live,sandbox,same_original,live_outcome,sb_outcome,live_methods,sb_methods
W7066272435,grobid,,extracted.csv,10.1002/ab.21544|llm_author_year_search|cannot_be_determined|grobid,10.1002/ab.21544|llm_author_year_search|cannot_be_determined|grobid,True,cannot_be_determined,cannot_be_determined,llm_author_year_search,llm_author_year_search
W7066930895,grobid,,extracted.csv,10.1038/nn1066|llm_title_search|cannot_be_determined|grobid,10.1038/nn1066|llm_title_search|failed|grobid,True,cannot_be_determined,failed,llm_title_search,llm_title_search
W7070931910,grobid,,extracted.csv,10.1016/j.obhdp.2007.04.006|llm_title_search|successful|grobid,|unidentified_original|pending|grobid || 10.1016/j.obhdp.2007.04.006|llm_title_search|failed|grobid,True,successful,failed|pending,llm_title_search,llm_title_search|unidentified_original
W7114908870,grobid,,extracted.csv,10.1177/01461672211061945|llm_title_search|mixed|grobid,10.1177/01461672211061945|llm_title_search|mixed|grobid,True,mixed,mixed,llm_title_search,llm_title_search
W7116218659,grobid,,extracted.csv,10.1037/e640112011-058|llm_title_search|successful|grobid,,,successful,,llm_title_search,
W1990691820,grobid,,target_pending.csv,|target_pending|pending|grobid,10.1038/ng.998|llm_title_search|mixed|grobid,False,pending,mixed,target_pending,llm_title_search
W3185325517,dup_key_pick,@tversky1973_2,extracted.csv,10.21236/ad0767426|llm_author_year_search|mixed|,10.1037/h0034747|llm_author_year_search|mixed|,False,mixed,mixed,llm_author_year_search,llm_author_year_search
W1989219515,dup_key_pick,@vaughn1976_2,extracted.csv,10.1192/bjp.129.2.125|llm_author_year_search|successful|,10.1192/bjp.129.2.125|llm_references|successful|,True,successful,successful,llm_author_year_search,llm_references
W7002253777,dup_key_pick,@martell1996_2,extracted.csv,10.1037//0003-066x.51.2.157|llm_author_year_search|cannot_be_determined|,10.1037/0003-066x.51.2.157|llm_author_year_search|cannot_be_determined|,False,cannot_be_determined,cannot_be_determined,llm_author_year_search,llm_author_year_search
W4249689878,dup_key_pick,@lin1981_2,extracted.csv,10.2307/2095260|llm_author_year_search|successful| || 10.2307/2095589|llm_author_year_search|successful|,10.2307/2095260|llm_author_year_search|successful| || 10.2307/2095589|llm_author_year_search|successful|,True,successful,successful,llm_author_year_search,llm_author_year_search
W4400417113,dup_key_pick,@fultz1986_2,extracted.csv,10.1037/0022-3514.50.4.761|llm_author_year_search|mixed|pdfminer,10.1037/0022-3514.50.4.761|llm_author_year_search|mixed|pdfminer,True,mixed,mixed,llm_author_year_search,llm_author_year_search
W3159433821,dup_key_pick,@slovic1977_2,extracted.csv,10.1037/0096-1523.1.3.288|llm_author_year_search|cannot_be_determined|pdfminer || 10.1037/0096-1523.3.4.544|llm_author_year_search|cannot_be_determined|pdfminer,10.1037/0096-1523.1.3.288|llm_author_year_search|cannot_be_determined|pdfminer || 10.1037/0096-1523.3.4.544|llm_author_year_search|cannot_be_determined|pdfminer,True,cannot_be_determined,cannot_be_determined,llm_author_year_search,llm_author_year_search
W6962663142,dup_key_pick,@ceballos2015_2,extracted.csv,10.1126/sciadv.1400253|llm_author_year_search|cannot_be_determined|,10.1126/sciadv.1400253|llm_author_year_search|cannot_be_determined|,True,cannot_be_determined,cannot_be_determined,llm_author_year_search,llm_author_year_search
W6943966580,dup_key_pick,@zajonc1969_2,extracted.csv,10.1037/h0028063|llm_author_year_search|cannot_be_determined|openalex_xml,10.1037/h0028063|llm_author_year_search|cannot_be_determined|openalex_xml,True,cannot_be_determined,cannot_be_determined,llm_author_year_search,llm_author_year_search
W4415106803,dup_key_pick,@bol2018_3,extracted.csv,10.1073/pnas.1719557115|llm_author_year_search|successful|pdfminer,10.1073/pnas.1719557115|llm_author_year_search|successful|pdfminer || 10.1038/s41467-019-12189-3|llm_author_year_search|successful|pdfminer,False,successful,successful,llm_author_year_search,llm_author_year_search
W3075875864,dup_key_pick,@ogden2016_2,extracted.csv,10.1177/2041669515604436|llm_title_search|failed|openalex_xml || 10.1177/2041669516676824|llm_author_year_search|failed|openalex_xml || 10.1177/2041669517728944|llm_title_search|failed|openalex_xml,10.1177/2041669516676824|llm_title_search|failed|openalex_xml || 10.1177/2041669515604436|llm_title_search|failed|openalex_xml || 10.1177/2041669517728944|llm_title_search|failed|openalex_xml,True,failed,failed,llm_author_year_search|llm_title_search,llm_title_search
W6966597440,dup_key_pick,@rockstuhl2005_2,extracted.csv,10.1364/josab.22.000481|llm_author_year_search|successful|pdfminer,10.1364/josab.22.000481|llm_author_year_search|successful|pdfminer,True,successful,successful,llm_author_year_search,llm_author_year_search
W7000028966,dup_key_pick,@aknin2013_4,extracted.csv,10.1037/a0031578|llm_author_year_search|mixed|pdfminer,10.1037/a0031578|llm_author_year_search|successful|pdfminer,True,mixed,successful,llm_author_year_search,llm_author_year_search
W4297998882,dup_key_pick,@bem2011_2,extracted.csv,10.1037/a0021524|llm_author_year_search|failed|,10.1037/a0021524|llm_author_year_search|failed|,True,failed,failed,llm_author_year_search,llm_author_year_search
W3177463529,dup_key_pick,@jacobsen2004_2,extracted.csv,10.2466/pr0.94.3c.1253-1260|llm_author_year_search|successful|epmc_xml || 10.1177/102986490901300201|llm_author_year_search|successful|epmc_xml,10.2466/pr0.94.3c.1253-1260|llm_author_year_search|successful|epmc_xml || 10.1177/102986490901300201|llm_author_year_search|successful|epmc_xml || 10.1016/j.poetic.2016.02.001|llm_author_year_search|successful|epmc_xml,False,successful,successful,llm_author_year_search,llm_author_year_search
W1484736562,dup_key_pick,@blair1995_2,extracted.csv,10.1016/0010-0277(95)00676-p|llm_author_year_search|failed|,|target_pending|pending|,False,failed,pending,llm_author_year_search,target_pending
W6996221145,dup_key_pick,@rapach2016_2,extracted.csv,10.1016/j.jfineco.2016.03.004|llm_author_year_search|mixed|,10.1016/j.jfineco.2016.03.004|llm_title_search|prospective_registration|,True,mixed,prospective_registration,llm_author_year_search,llm_title_search
W6943792769,dup_key_pick,@chou2016_4,extracted.csv,10.1177/0956797615625640|llm_author_year_search|successful|docx,10.1177/0956797615625640|llm_author_year_search|successful|docx,True,successful,successful,llm_author_year_search,llm_author_year_search
W2339342283,dup_key_pick,@benjamin2012_3,extracted.csv,10.1257/aer.102.5.2083|llm_author_year_search|successful|,10.1257/aer.102.5.2083|llm_title_search|successful|openalex_xml,True,successful,successful,llm_author_year_search,llm_title_search
W229298742,dup_key_pick,@sanderson1995_2,extracted.csv,10.1037/0022-3514.68.6.1121|llm_author_year_search|failed|,10.1037/0022-3514.68.6.1121|llm_author_year_search|failed|,True,failed,failed,llm_author_year_search,llm_author_year_search
W2129301600,dup_key_pick,@sabol1999_2,extracted.csv,10.1037/0278-6133.18.1.14|llm_author_year_search|failed| || 10.1037/0278-6133.18.1.7|llm_author_year_search|failed| || 10.1002/1096-8628(20000612)96:3<331::aid-ajmg19>3.0.co;2-0|llm_author_year_search|successful|,10.1037/0278-6133.18.1.14|llm_author_year_search|failed| || 10.1037/0278-6133.18.1.7|llm_author_year_search|failed| || 10.1002/1096-8628(20000612)96:3<331::aid-ajmg19>3.0.co;2-0|llm_author_year_search|successful|,True,failed|successful,failed|successful,llm_author_year_search,llm_author_year_search
