doi_r,item,status,mo_originals,n_mo,our_now,link_methods,work_id,pair_ids,aside,retired,suggested,old_ours,supabase,supabase_doi_o,live_generation
10.3389/fnhum.2020.00230,orig-083,still wrong,10.1093/cercor/bhy086,1,10.1073/pnas.1421435112,llm_references,W3036032493,a95ceb25f80b9f856dfc8ef26cd01a1e,,superseded:,,Increasing propensity to mind-wander with transcranial direct current stimulation (2015) doi:10.1073/pnas.1421435112 [llm_references] || Decreasing propensity to mind-wander with transcranial direct current stimulation (2015) doi:10.1016/j.neuropsychologia.2015.07.013 [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.1371/journal.pone.0056732,orig-084,dropped,10.1038/ng.979,1,,,,,search_link_unconfirmed.csv,set_aside:search_link_unconfirmed.csv,,Common variants on chromosome 6p22.1 are associated with schizophrenia (2009) doi:10.1038/nature08192 [llm_references],not imported,,
10.1093/scan/nsaa153,orig-085,now carries judges original,10.1093/scan/nsv107|10.1093/scan/nsw017,2,10.1093/scan/nsv107,llm_references,W3099918786,d6101ac0aac700d67f6775e26d8a340b,,superseded:,"Holbrook, Izuma, Deblieck, Fessler, and Iacoboni (2016), “Neuromodulation of group prejudice and religious belief,” doi:10.1093/scan/nsv107",Continuous Theta Burst Stimulation of the Posterior Medial Frontal Cortex to Experimentally Reduce Ideological Threat Responses (2018) doi:10.3791/58204 [llm_references],unvalidated,10.3791/58204,765e053cd24611e5 2026-09-23
10.1111/cogs.12721,orig-086,dropped,10.2307/415833,1,,,,,search_link_unconfirmed.csv,set_aside:search_link_unconfirmed.csv,"McNeill, David (1992), Hand and Mind: What Gestures Reveal about Thought",Gesture and Thought (2005) doi:10.7208/chicago/9780226514642.001.0001 [llm_references],not imported,,
10.1017/s0272263100010032,orig-087,still wrong,10.1017/s0272263100004253,1,10.1111/j.1467-1770.1981.tb01379.x,llm_references,W2011930735,f2b8acf60606a9ec46ec33280355351e,,,"Eckman, F. R. (1981), “On predicting phonological difficulty in second language acquisition,” Studies in Second Language Acquisition 4, 18–30, doi:10.1017/S0272263100004253.",ON THE NATURALNESS OF INTERLANGUAGE PHONOLOGICAL RULES1 (1981) doi:10.1111/j.1467-1770.1981.tb01379.x [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.3389/fgene.2020.00827,orig-088,now carries judges original,10.1001/jamaophthalmol.2019.5293,1,10.1001/jamaophthalmol.2019.5293,llm_title_search,W3044016183,851bd61b7c24bdaa0b7ce59340138bfc,,superseded:,"McComish et al. (2019), “Association of Genetic Variation With Keratoconus,” doi:10.1001/jamaophthalmol.2019.5293","A genome-wide association study identifies a potential novel gene locus for keratoconus, one of the commonest causes for corneal transplantation in developed countries (2011) doi:10.1093/hmg/ddr460 [llm_references]",not imported,,765e053cd24611e5 2026-09-23
10.1371/journal.pone.0263879,orig-090,dropped,10.1080/01690968608407062,1,,,,,search_link_unconfirmed.csv|target_pending.csv|unidentified_original.csv,set_aside:search_link_unconfirmed.csv|target_pending.csv|unidentified_original.csv,,The real-time status of island phenomena (2006) doi:10.1353/lan.2006.0217 [llm_references],not imported,,
10.1167/iovs.08-2382,orig-092,dropped,10.1097/01.gim.0000170772.41860.54,1,,,,,api_error.csv,set_aside:api_error.csv,,Two-Stage Genome-Wide Linkage Scan in Keratoconus Sib Pair Families (2006) doi:10.1167/iovs.06-0214 [llm_references],not imported,,
10.3390/ijerph19084912,orig-093,now carries judges original,10.3390/ijerph17207662,1,10.3390/ijerph17207662,llm_references,W4224294983,cc04d432a26bb1bd04ff0f056895de31,,superseded:,"Shek, Li, Zhu, and Shek (2020), “Concurrent and Longitudinal Predictors of Adolescent Delinquency in Mainland Chinese Adolescents: The Role of Materialism and Egocentrism,” doi:10.3390/ijerph17207662",The Cost of Materialism in a Collectivistic Culture: Predicting Risky Behavior Engagement in Chinese Adolescents (2009) doi:10.1080/15374410903401179 [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.1007/s10763-023-10368-9,orig-095,now carries judges original,10.1007/s10649-020-09937-4,1,10.1007/s10649-020-09937-4,llm_title_search,W4366412447,7e0d9f3a205837c073b475d0e1f70b91,,superseded:,"The impact of high stakes oral performance assessment on students' approaches to learning: A case study — Paola Iannone, Christoph Czichowsky, and Johannes Ruf (2020), DOI: 10.1007/s10649-020-09937-4",Students’ views of oral performance assessment in mathematics: straddling the ‘assessment of’ and ‘assessment for’ learning divide (2014) doi:10.1080/02602938.2014.961124 [llm_references],unvalidated,10.1080/02602938.2014.961124,765e053cd24611e5 2026-09-23
10.3390/cells11203242,orig-096,now carries judges original,10.1007/s00401-008-0430-y,1,10.1007/s00401-008-0430-y,llm_title_search,W4306367226,f7d201c9dc9ad5761d8ee2c3db205548,search_link_unconfirmed.csv,superseded:,,Oligodendrocyte and Interneuron Density in Hippocampal Subfields in Schizophrenia and Association of Oligodendrocyte Number with Cognitive Deficits (2016) doi:10.3389/fncel.2016.00078 [llm_references],unvalidated,10.3389/fncel.2016.00078,765e053cd24611e5 2026-09-23
10.1109/compsac.2013.82,orig-097,dropped,10.1109/seaa.2012.42,1,,,,,target_pending.csv,set_aside:target_pending.csv,,Finding Faults: Manual Testing vs. Random+ Testing vs. User Reports (2008) doi:10.1109/issre.2008.18 [llm_references],not imported,,
10.1007/s00426-025-02211-3,orig-099,now carries judges original,10.1016/j.cognition.2007.07.012,1,10.1016/j.cognition.2007.07.012,llm_author_year_search,W4416787517,9eafd157803b873e9fbe0e0a7f3a7bb8,,superseded:,"Langton, Law, Burton, & Schweinberger (2008), “Attention capture by faces,” doi:10.1016/j.cognition.2007.07.012",A visual search advantage for illusory faces in objects (2021) doi:10.3758/s13414-021-02267-4 [llm_references],unvalidated,10.3758/s13414-021-02267-4,765e053cd24611e5 2026-09-23
10.1186/ar4504,orig-101,still wrong,10.1002/art.30130,1,10.2119/2008-00056.liu,llm_references,W2162351615,32e404fac4f2d5e2fd9ff553ce36f4d5,,,,Genome-Wide Association Scan Identifies Candidate Polymorphisms Associated with Differential Response to Anti-TNF Treatment in Rheumatoid Arthritis (2008) doi:10.2119/2008-00056.liu [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.1186/ar2423,orig-102,still wrong,10.1086/503849,1,10.1086/511443,llm_references,W2130598660,cd1ce33badadf1dcd29ef92a9861bf4d,,,"Mahr et al. (2006), “Cis- and trans-acting gene regulation is associated with osteoarthritis,” doi:10.1086/503849",Genetic Association Analysis of RHOB and TXNDC3 in Osteoarthritis (2007) doi:10.1086/511443 [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.1515/cti-2022-0032,orig-104,now carries judges original,10.1080/09500690110066485,1,10.1080/09500690110066485,llm_title_search,W4386735646,d689620585c7f99ae96dd21a3c04dd8d,,superseded:,"Treagust, David F.; Chittleborough, Gail; Mamiala, Thandi L. (2002), “Students' understanding of the role of scientific models in learning science,” DOI: 10.1080/09500690110066485",Evaluation of the students’ understanding of models in science (SUMS) for use in undergraduate chemistry (2020) doi:10.1039/d0rp00084a [llm_references],unvalidated,10.1039/d0rp00084a,765e053cd24611e5 2026-09-23
10.1002/mpr.251,orig-109,now carries judges original,10.1016/j.jsat.2007.08.006,1,10.1016/j.jsat.2007.08.006,llm_title_search,W2033704717,b18cac27327ee517bacae7d5aba4ea82,,superseded:,"Batra, Collins, Torchalla, Schröter & Buchkremer (2008), Multidimensional smoker profiles..., J Subst Abuse Treat, doi:10.1016/j.jsat.2007.08.006",Tabakentwöhnung (2004) doi:10.17433/978-3-17-026572-1 [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.1002/mrm.29947,orig-110,still wrong,10.1002/mrm.28119|10.1016/j.zemedi.2022.01.003,2,10.1002/mrm.29757,llm_references,W4389311106,e3a897da61a263a266083cc48f90b24f,,,,Submillimeter lung MRI at 0.55 T using balanced steady‐state free precession with half‐radial dual‐echo readout (bSTAR) (2023) doi:10.1002/mrm.29757 [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.1007/s00426-021-01593-4,orig-112,now carries judges original,10.1016/j.cogbrainres.2005.09.019,1,10.1016/j.cogbrainres.2005.09.019|10.1016/j.ijpsycho.2006.09.003|10.1016/j.ijpsycho.2007.04.007|10.1111/j.1469-8986.2009.00931.x,llm_title_search,W3201262201,3ef3c3f95822020bd6b8b4a54c9db35f|4708561a98904418ef82c660cbaa1f81|1a607fb533c19e7dcc6002c371d64d6a|69a1f82029b09d3d33cab4e64621c65b,search_link_unconfirmed.csv,superseded:,,Heart Beat Perception and Emotional Experience (1981) doi:10.1111/j.1469-8986.1981.tb02486.x [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.1016/j.jad.2020.07.098,orig-113,still wrong,10.1017/s0033291717003178,1,10.1038/mp.2015.198,llm_references,W3044276046,89867e02d2e33f6df92eda95662ee2ca,,,"van Loo, Aggen, Gardner, and Kendler (2018), “Sex similarities and differences in risk factors for recurrence of major depression,” doi:10.1017/S0033291717003178",Testing a machine-learning algorithm to predict the persistence and severity of major depressive disorder from baseline self-reports (2016) doi:10.1038/mp.2015.198 [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.1017/s0142716412000501,orig-115,still wrong,10.1017/s0272263110000264,1,10.1017/s0272263111000325,llm_title_search,W2111622402,88080076c31889fa84131d06b03ff377,,,,LEARNED ATTENTION IN ADULT LANGUAGE ACQUISITION (2011) doi:10.1017/s0272263111000325 [llm_title_search],not imported,,010cf32bb63351e1 2026-09-22
10.1038/s41539-024-00218-w,orig-118,still wrong,10.1037/xge0001437,1,10.1177/1745691620953781,llm_title_search,W4391983624,17fd10740e2b962d728b0506d19f12da,,,,"How do young children explain differences in the classroom? Implications for achievement, motivation, and educational equity (2021) doi:10.1177/1745691620953781 [llm_title_search]",unvalidated,10.1177/1745691620953781,5b716d061bb336f5 2026-08-16
10.1038/s41598-021-87130-0,orig-119,now carries judges original,10.1001/jamasurg.2019.0484,1,10.1001/jamasurg.2019.0484,llm_title_search,W3145417634,ef8cb79be98b5a5a0709dac85af7fbfb,,superseded:,,Association of genetic polymorphisms with survival of pancreatic ductal adenocarcinoma patients (2016) doi:10.1093/carcin/bgw080 [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.1073/pnas.0508189103,orig-121,now carries judges original,10.1038/ng0997-84,1,10.1038/ng0997-84,llm_author_year_search,W2029996644,28bc495ddb4a7335add7ce009b8b8434,,superseded:,,Linkage with the Ser9Gly DRD3 polymorphism in essential tremor families (2006) doi:10.1111/j.1399-0004.2006.00600.x [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.1080/00224499.2019.1669135,orig-122,now carries judges original,10.1080/00224499.2011.646393,1,10.1080/00224499.2011.646393,llm_references,W2975860989,944ef162ec9f0c7a9fe8f5a2f9d7d53b,,superseded:,,Measuring sexual aggression perpetration in college men: A comparison of two measures. (2014) doi:10.1037/a0037584 [llm_references],unvalidated,10.1037/a0037584,765e053cd24611e5 2026-09-23
10.1080/10586458.2016.1173413,orig-123,dropped,10.1080/10586458.2013.870504,1,,,,,target_pending.csv,set_aside:target_pending.csv,,Reproducibility in Computational Science: A Case Study: Randomness of the Digits of Pi (2016) doi:10.1080/10586458.2016.1163755 [llm_references],not imported,,
10.1080/13803611.2021.2022316,orig-125,dropped,10.1080/19345740802114533,1,,,,,target_pending.csv,set_aside:target_pending.csv,"Klein, A.; Starkey, P.; Clements, D.; Sarama, J.; Iyer, R. (2008), “Effects of a pre-kindergarten mathematics intervention: A randomized experiment,” doi:10.1080/19345740802114533",Enhancing young children’s mathematical knowledge through a pre-kindergarten mathematics intervention (2004) doi:10.1016/j.ecresq.2004.01.002 [llm_references],unvalidated,10.1016/j.ecresq.2004.01.002,
10.1089/cyber.2024.0136,orig-126,now carries judges original,10.1016/j.chb.2023.107973,1,10.1016/j.chb.2023.107973,llm_references,W4401019660,c9142a241fcf7b4b19b2ed5637db1328,,superseded:,,Marital satisfaction and break-ups differ across on-line and off-line meeting venues (2013) doi:10.1073/pnas.1222447110 [llm_references],unvalidated,10.1073/pnas.1222447110,765e053cd24611e5 2026-09-23
10.1093/ntr/nty218,orig-128,still wrong,10.1038/ng.571,1,10.1007/s00213-006-0647-1,llm_references,W2898070592,8d84e3c1524d228e5d35a3460a2f6584,,,,Association of the met66 allele of brain-derived neurotrophic factor (BDNF) with smoking (2006) doi:10.1007/s00213-006-0647-1 [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.1093/rheumatology/ker444,orig-129,dropped,10.1136/ard.2009.108571,1,,,,,keyed_link_disputed.csv,set_aside:keyed_link_disputed.csv,,Genome-wide association studies identify IL23R-IL12RB2 and IL10 as Behçet's disease susceptibility loci (2010) doi:10.1038/ng.624 [llm_references],not imported,,
10.1093/schbul/sbad161,orig-131,still wrong,10.1186/s12888-015-0494-x,1,10.1016/j.psychres.2018.10.074,llm_references,W4388891971,d3d79c4a9b049a7e605dda297a452370,,,"Kästner et al. (2015), BMC Psychiatry, doi:10.1186/s12888-015-0494-x",Looking through autistic features in schizophrenia using the PANSS Autism Severity Score (PAUSS) (2018) doi:10.1016/j.psychres.2018.10.074 [llm_references],unvalidated,10.1016/j.psychres.2018.10.074,765e053cd24611e5 2026-09-23
10.1098/rspb.2009.1765,orig-132,dropped,10.1098/rspb.2000.1576,1,,,,,target_pending.csv,set_aside:target_pending.csv,"Ramachandran & Hubbard (2001a), Proc R Soc B, doi:10.1098/rspb.2000.1576",Five plus two equals yellow (2000) doi:10.1038/35019148 [llm_references],not imported,,
10.1098/rstb.2021.0459,orig-133,now carries judges original,10.1016/s0960-9822(95)00133-3,1,10.1016/s0960-9822(95)00133-3,llm_title_search,W4311349927,ea04dd4e94c9a1a5ff5122135e72ce53,,superseded:,"Aglioti, DeSouza & Goodale (1995), Current Biology, doi:10.1016/s0960-9822(95)00133-3",The dissociation between perception and action in the Ebbinghaus illusion (2001) doi:10.1016/s0960-9822(01)00023-9 [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.1101/lm.1896010,orig-134,now carries judges original,10.1101/lm.971208,1,10.1038/nn.2260|10.1101/lm.971208,llm_title_search,W2161643691,7c69cf95e31833b42942583ba9af25a9|f11099d8f50f0db2c06f8c88f7b959b5,,superseded:,"Voss, Baym & Paller (2008), Learning & Memory, doi:10.1101/lm.971208",Recognition without awareness: An elusive phenomenon (2010) doi:10.1101/lm.1815010 [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.1111/bjdp.12216,orig-135,now carries judges original,10.1016/j.infbeh.2014.06.004,1,10.1016/j.infbeh.2014.06.004,llm_title_search,W2758879064,7fc0e59a0a14d8a44c047c91c2d8c1f9,,superseded:,"Mireault et al. (2014), Infant Behavior and Development, doi:10.1016/j.infbeh.2014.06.004",Laughing matters: Infant humor in the context of parental affect (2015) doi:10.1016/j.jecp.2015.03.012 [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.1111/desc.13399,orig-136,still wrong,10.1016/s0010-0277(99)00034-7,1,10.1111/1467-9280.00403,llm_title_search,W4366350975,2f17c1861fc457e23312ee9ad77df549,,,"Samuelson & Smith (1999), Cognition, doi:10.1016/s0010-0277(99)00034-7",Object name learning provides on-the-job training for attention (2002) doi:10.1111/1467-9280.00403 [llm_title_search],not imported,,010cf32bb63351e1 2026-09-22
10.1111/spsr.12479,orig-140,now carries judges original,10.1073/pnas.2006048117,1,10.1073/pnas.2006048117,llm_references,W3204221043,3e757425888d05b733ee7726440a708a,,superseded:,"Lammers, Crusius & Gast (2020), PNAS, doi:10.1073/pnas.2006048117",Exponential-growth prediction bias and compliance with safety measures related to COVID-19 (2020) doi:10.1016/j.socscimed.2020.113473 [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.1167/8.1.1,orig-141,still wrong,10.1038/nature02420,1,10.3758/bf03212974,llm_cited_candidates,W2101153392,f976cfeba36d1556ffbcdc0597029527,,,"Webster, Kaping, Mizokami & Duhamel (2004), Nature, doi:10.1038/nature02420",Figural aftereffects in the perception of faces (1999) doi:10.3758/bf03212974 [llm_cited_candidates],not imported,,765e053cd24611e5 2026-09-24
10.1177/153944928900900404,orig-143,now carries judges original,10.1177/153944928900900302,1,10.1177/153944928900900302,llm_references,W2314745095,d175af9a2541a12d2a01003841a7126f,,superseded:,"Barnes (1989), OTJR 9(3):143-154, doi:10.1177/153944928900900302",Improving Prehension Skills of Children with Cerebral Palsy: A Clinical Study (1986) doi:10.1177/153944928600600404 [llm_references],unvalidated,10.1177/153944928600600404,765e053cd24611e5 2026-09-23
10.1177/1948550619887702,orig-144,still wrong,10.1027/1864-9335/a000308,1,10.1177/0146167218796473,llm_references,W3014898655,60b430c707abd162ed7a984150424489,,superseded:,"The ego could be depleted, providing initial exertion is depleting: A pre-registered experiment of ego depletion — Dang, Liu, Liu, and Mao (2017), doi:10.1027/1864-9335/a000308",A Multilab Preregistered Replication of the Ego-Depletion Effect (2016) doi:10.1177/1745691616652873 [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.1186/s12881-014-0102-9,orig-145,still wrong,10.1186/1471-2350-13-62,1,10.1002/ajmg.a.33755,llm_references,W2022088385,0239d8ebb3f2a62bcb6e98d3bd82e233,,,"Pangilinan et al. (2012), Evaluation of common genetic variants in 82 candidate genes as risk factors for neural tube defects, doi:10.1186/1471-2350-13-62",Evaluation of 64 candidate single nucleotide polymorphisms as risk factors for neural tube defects in a large Irish study population (2010) doi:10.1002/ajmg.a.33755 [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.1186/s40359-021-00536-3,orig-146,still wrong,10.1080/17470218.2011.571267|10.3758/bf03193261,2,10.1080/09658211.2014.980429,llm_title_search,W3133749089,d99ba25022b12e043e462adb30e0ef51,,,,Mentally walking through doorways causes forgetting: The location updating effect and imagination (2016) doi:10.1080/09658211.2014.980429 [llm_title_search],not imported,,010cf32bb63351e1 2026-09-22
10.1207/s15327906mbr0104_1,orig-147,dropped,https://www.semanticscholar.org/paper/5d24c35f98ff47ea75bbe72fd8dc0adcf4de501d,1,,,,,target_pending.csv,set_aside:target_pending.csv,,Rankings and Self-Assessments: Some Behavioral Characteristics Replication Studies (1960) doi:10.1080/00224545.1960.9922085 [llm_references],unvalidated,10.1080/00224545.1960.9922085,
10.1371/journal.pgen.1011192,orig-148,still wrong,10.1038/s41586-023-06355-3,1,10.1038/s41586-021-03767-x,llm_references,W4393097360,b8650097db31bdb19375f8359dcb59d6,,,,Mapping the human genetic architecture of COVID-19 (2021) doi:10.1038/s41586-021-03767-x [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.1371/journal.pone.0194101,orig-151,still wrong,10.1037/a0018729|10.1037/xhp0000138,2,10.1037/a0035175,llm_title_search,W2791003207,a6e81e562f6ea9a7812881da2bac64f6,search_link_unconfirmed.csv,,"Dana Samson et al. (2010), “Seeing it their way: Evidence for rapid and involuntary computation of what other people see,” DOI: 10.1037/a0018729; and Tiziano Furlanetto et al. (2016), “Altercentric interference in level 1 visual perspective taking reflects the ascription of mental states, not submentalizing,” DOI: 10.1037/xhp0000138.",Avatars and arrows: Implicit mentalizing or domain-general processing? (2014) doi:10.1037/a0035175 [llm_title_search],not imported,,010cf32bb63351e1 2026-09-22
10.1371/journal.pone.0262902,orig-153,now carries judges original,10.1017/pen.2020.7|10.1371/journal.pone.0131357,2,10.1371/journal.pone.0131357,llm_title_search,W4210667094,0eab830056115a820603e4b5d0a1408f,search_link_unconfirmed.csv,superseded:,,Worth the ‘EEfRT’? The Effort Expenditure for Rewards Task as an Objective Measure of Motivation and Anhedonia (2009) doi:10.1371/journal.pone.0006598 [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.1523/eneuro.0332-19.2020,orig-154,now carries judges original,10.1002/aur.1664,1,10.1002/aur.1664|10.1038/nature16971,llm_title_search,W3018465724,07968348128de11da21a42af97311c9c|e54e0f1a2602e8921f2d3828dbd04d80,,superseded:,,Shank3 mutant mice display autistic-like behaviours and striatal dysfunction (2011) doi:10.1038/nature09965 [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.1534/g3.117.300366,orig-155,now carries judges original,10.1101/gr.147991.112,1,10.1101/gr.147991.112,llm_author_year_search,W2953383023,9ace243e403009f93ac494df9f0da242,,superseded:,"Sailani et al. (2013), “The complex SNP and CNV genetic architecture of the increased risk of congenital heart defects in Down syndrome,” doi:10.1101/gr.147991.112",Contribution of copy-number variation to Down syndrome–associated atrioventricular septal defects (2014) doi:10.1038/gim.2014.144 [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.16910/jemr.12.4.10,orig-156,still wrong,10.1167/iovs.12-9707,1,10.1016/j.cub.2014.01.014,llm_references,W3112925835,14cfe0562aaa5a98746d74784a5f5783,,,"Jainta & Jaschinski (2012), “Individual differences in binocular coordination are uncovered by directly comparing monocular and binocular reading conditions,” doi:10.1167/iovs.12-9707",Binocular Advantages in Reading (2014) doi:10.1016/j.cub.2014.01.014 [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.2466/pr0.1990.66.2.407,orig-158,still wrong,10.1002/1097-4679(199007)46:4<398::aid-jclp2270460404>3.0.co;2-5,1,10.1002/1097-4679(198911)45:6<843::aid-jclp2270450603>3.0.co;2-4,llm_references,W2080034831,d100e4eb3fdfe10283addb26f795f2bb,,,"Heilbrun, A. B., Jr., & Friedberg, L. (1990). Distorted body image in normal college women: possible implications for the development of anorexia nervosa. DOI: 10.1002/1097-4679(199007)46:4<398::AID-JCLP2270460404>3.0.CO;2-5",Food cues and peceptual distortion of the female body: Implications for food avoidance in the early dynamics of anorexia nervosa (1989) doi:10.1002/1097-4679(198911)45:6<843::aid-jclp2270450603>3.0.co;2-4 [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.2466/pr0.94.2.733-735,orig-160,still wrong,10.2466/pr0.91.6.436-438,1,10.2466/pr0.2002.91.2.436,llm_references,W2115814929,feac0ec7ba18a95fa66110f9e17ad262,,superseded:,,Attachment Histories for People with Characteristics of Self-Defeating Personality (1993) doi:10.2466/pr0.1993.73.3f.1232 [llm_references],not imported,,765e053cd24611e5 2026-09-23
10.2466/pr0.95.3f.1059-1071,orig-161,dropped,10.1111/j.1944-9720.1996.tb01249.x,1,,,,,target_pending.csv,set_aside:target_pending.csv,,Toward a Social Psychological Model of Strategy Use (1994) doi:10.1111/j.1944-9720.1994.tb01201.x [llm_references],not imported,,
10.3109/07357907.2011.630052,orig-162,dropped,10.1016/s1470-2045(10)70042-5,1,,,,,target_pending.csv,set_aside:target_pending.csv,"Li et al. (2010), “Genetic variants and risk of lung cancer in never smokers: a genome-wide association study,” DOI: 10.1016/S1470-2045(10)70042-5",GPC5 rs2352028 variant and risk of lung cancer in never smokers (2010) doi:10.1016/s1470-2045(10)70096-6 [llm_references],not imported,,
10.3389/fpsyg.2017.02362,orig-165,still wrong,10.1016/j.jcps.2015.10.002,1,10.1037/0022-3514.95.1.76,llm_title_search,W2783210112,37c3b033aa728d659bd16416d70d2c4a,,,"Zane, Irwin, and Reczek (2016), “Do Less Ethical Consumers Denigrate More Ethical Consumers? The Effect of Willful Ignorance on Judgments of Others,” doi:10.1016/j.jcps.2015.10.002",The rejection of moral rebels: Resenting those who do the right thing (2008) doi:10.1037/0022-3514.95.1.76 [llm_title_search],not imported,,010cf32bb63351e1 2026-09-21
