doi_r,source_csv,link_method,verdict,artifact_paths,artifact_bytes,notes
10.25215/0203.005,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.31234/osf.io/rhvs8,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.31234/osf.io/5y34g,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1126/science.1202596,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1126/science.332.6029.537-d,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.31234/osf.io/fs3nd,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1037/law0000093,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.31234/osf.io/f7gk6,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.31234/osf.io/d2eqk,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.31234/osf.io/b9drz,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1027/1618-3169/a000461,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.31234/osf.io/kfgr8,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.31234/osf.io/bjmyx,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.5281/zenodo.18538610,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.5281/zenodo.18538611,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.32872/spb.4391,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.17705/1atrr.00046,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1177/2158244019876268,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1080/23750472.2019.1623065,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.17705/1atrr.00008,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1007/s40881-021-00109-5,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.31234/osf.io/kbyna,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.17705/1atrr.00020,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.5964/jspp.v8i1.1072,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1101/2020.01.16.899021,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.17605/osf.io/5jyef,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.3758/s13428-020-01457-6,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.17705/1atrr.00017,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1093/alcalc/agaa009,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.31234/osf.io/kn8ce,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.3389/fnbeh.2020.578676,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.31275/20211931,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.17705/1atrr.00066,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.31234/osf.io/h9juq,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.31979/etd.eh36-m2wx,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.31234/osf.io/yravm,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.12688/wellcomeopenres.15486.1,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1080/00220388.2018.1506577,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.17705/1atrr.00067,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1558/cj.v32i2.25139,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.31234/osf.io/9npue,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.3389/feduc.2021.724711,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1002/per.2288,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1002/jaba.504,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1080/09243453.2019.1570944,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1093/restud/rdx069,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1098/rstb.2016.0517,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1080/00380253.2019.1625736,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1002/jaba.648,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1353/eca.2016.0000,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1371/journal.pgen.1008927,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1167/12.11.12,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1037/a0034596,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1080/14616696.2017.1290265,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1371/journal.pone.0088671,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1016/j.concog.2019.102797,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1093/eurheartj/ehv385,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1371/journal.pgen.1003173,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.23846/rps0006,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1080/19439342.2019.1679859,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1002/jae.2432,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1007/s13524-012-0169-x,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1007/s00127-018-1487-0,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1016/j.neuroimage.2021.118609,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.3109/00365521.2011.589471,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1109/glocom.2013.6831265,extracted.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.31234/osf.io/m6ghr,extracted-test.csv,llm_fulltext,pdf_on_disk,cache/pdfs/14c81865dec40ed4f0950f23613f1e30.pdf|cache/openalex_xml/oa_xml_19152ef505ddbe1aebcc793b1554b9de.json|cache/parse/parse_14c81865dec40ed4f0950f23613f1e30.json|cache/grobid/14c81865dec40ed4f0950f23613f1e30.json,357244|174|73899|18134,"parse_scores[pdfminer=10200;grobid=9200]; oa_xml[raw=0ch,refs=0]"
10.1016/j.physbeh.2021.113324,extracted-test.csv,llm_fulltext,pdf_on_disk,cache/pdfs/481d24eb3eca50bd29934c5e053ce73a.pdf|cache/parse/parse_481d24eb3eca50bd29934c5e053ce73a.json|cache/grobid/481d24eb3eca50bd29934c5e053ce73a.json,931881|106299|30857,parse_scores[pdfminer=27700;grobid=26700]
10.1016/j.physbeh.2021.113324,extracted-test.csv,llm_fulltext,pdf_on_disk,cache/pdfs/481d24eb3eca50bd29934c5e053ce73a.pdf|cache/parse/parse_481d24eb3eca50bd29934c5e053ce73a.json|cache/grobid/481d24eb3eca50bd29934c5e053ce73a.json,931881|106299|30857,parse_scores[pdfminer=27700;grobid=26700]
10.1113/jp281472,extracted-test-premerge-20260801.csv,llm_fulltext,no_artifact,,,cache_trace=llm:1 (08-01 23:21..08-01 23:21)
10.17605/osf.io/x5b6d,extracted-test-premerge-20260801.csv,llm_fulltext,no_artifact,,,"cache_trace=openalex:3,llm:2 (08-01 23:23..08-01 23:24)"
10.5117/tvt2017.1.jans,extracted-test-premerge-20260801.csv,llm_fulltext,no_artifact,,,"cache_trace=openalex:1,llm:2 (08-01 23:34..08-01 23:34)"
10.1101/189522,extracted-test-premerge-20260801.csv,llm_fulltext,no_artifact,,,"cache_trace=openalex:1,llm:2 (08-01 23:34..08-01 23:34)"
10.31234/osf.io/2h59n,extracted-test-premerge-20260801.csv,llm_fulltext,no_artifact,,,"cache_trace=openalex:4,llm:3 (08-01 23:40..08-01 23:40)"
10.23846/rps0006,extracted-test-premerge-20260801.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1080/19439342.2019.1679859,extracted-test-premerge-20260801.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1002/jae.2432,extracted-test-premerge-20260801.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1007/s13524-012-0169-x,extracted-test-premerge-20260801.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1007/s00127-018-1487-0,extracted-test-premerge-20260801.csv,llm_fulltext,no_artifact,,,cache_trace=none
10.1371/journal.pone.0221808,extracted-test-premerge-20260801.csv,llm_fulltext,pdf_on_disk,cache/pdfs/4775d5ed9b0091393720690538e27d62.pdf|cache/openalex_xml/oa_xml_f77313882c8a45036d6bb941a946e850.json|cache/parse/parse_4775d5ed9b0091393720690538e27d62.json|cache/grobid/4775d5ed9b0091393720690538e27d62.json,1403373|174|83545|17725,"parse_scores[pdfminer=9114;grobid=8114]; oa_xml[raw=0ch,refs=0]"
10.11606/d.47.2020.tde-18022020-174629,extracted-test-premerge-20260801.csv,llm_fulltext,no_artifact,,,cache_trace=llm:1 (07-27 13:13..07-27 13:13)
10.5281/zenodo.2620293,extracted-test-premerge-20260801.csv,llm_fulltext,no_artifact,,,cache_trace=llm:1 (07-27 14:53..07-27 14:53)
10.5194/npg-2015-83-rc1,extracted-test-premerge-20260801.csv,llm_fulltext,pdf_on_disk,cache/pdfs/da6f4c17290c684f5430b522d3117ee7.pdf|cache/openalex_xml/oa_xml_30c4799e1fadcffa9b901a195e932d54.json|cache/parse/parse_da6f4c17290c684f5430b522d3117ee7.json|cache/grobid/da6f4c17290c684f5430b522d3117ee7.json,69054|174|14781|1623,"parse_scores[pdfminer=2500;grobid=1800]; oa_xml[raw=0ch,refs=0]"
,extracted-test-premerge-20260801.csv,llm_fulltext,openalex_xml_empty,cache/openalex_xml/oa_xml_d6876709f172fd26ac4381724ef28546.json,174,"oa_xml cached but every section empty — row passed the no-document guard with zero full text; oa_xml[raw=0ch,refs=0]; row has no doi_r (openalex_id_r=https://openalex.org/W2712052465) — PDF/parse/grobid caches are keyed by md5(doi_r) and cannot be looked up for this row"
,extracted-test-premerge-20260801.csv,llm_fulltext,openalex_xml_empty,cache/openalex_xml/oa_xml_643fd86fe91108c7042155bbe1a0f1e9.json,174,"oa_xml cached but every section empty — row passed the no-document guard with zero full text; oa_xml[raw=0ch,refs=0]; row has no doi_r (openalex_id_r=https://openalex.org/W2566321576) — PDF/parse/grobid caches are keyed by md5(doi_r) and cannot be looked up for this row"
,extracted-test-premerge-20260801.csv,llm_fulltext,openalex_xml_empty,cache/openalex_xml/oa_xml_bdda855b0937c1ddf16924403a86dfa8.json,174,"oa_xml cached but every section empty — row passed the no-document guard with zero full text; oa_xml[raw=0ch,refs=0]; row has no doi_r (openalex_id_r=https://openalex.org/W2552276890) — PDF/parse/grobid caches are keyed by md5(doi_r) and cannot be looked up for this row"
,extracted-test-premerge-20260801.csv,llm_fulltext,openalex_xml_empty,cache/openalex_xml/oa_xml_3030c8b194bea589fb2a7f717193e635.json,174,"oa_xml cached but every section empty — row passed the no-document guard with zero full text; oa_xml[raw=0ch,refs=0]; row has no doi_r (openalex_id_r=https://openalex.org/W2951787106) — PDF/parse/grobid caches are keyed by md5(doi_r) and cannot be looked up for this row"
,extracted-test-premerge-20260801.csv,llm_fulltext,openalex_xml_empty,cache/openalex_xml/oa_xml_c2d519a6dc54b0c6182c7d7bc61e2e4c.json,174,"oa_xml cached but every section empty — row passed the no-document guard with zero full text; oa_xml[raw=0ch,refs=0]; row has no doi_r (openalex_id_r=https://openalex.org/W2624100375) — PDF/parse/grobid caches are keyed by md5(doi_r) and cannot be looked up for this row"
,extracted-test-premerge-20260801.csv,llm_fulltext,openalex_xml_empty,cache/openalex_xml/oa_xml_5d9e6b104cff65b0c456cf12cb0cd5e2.json,174,"oa_xml cached but every section empty — row passed the no-document guard with zero full text; oa_xml[raw=0ch,refs=0]; row has no doi_r (openalex_id_r=https://openalex.org/W2338667394) — PDF/parse/grobid caches are keyed by md5(doi_r) and cannot be looked up for this row"
,extracted-test-premerge-20260801.csv,llm_fulltext,openalex_xml_empty,cache/openalex_xml/oa_xml_8ff9b49c818afc69a50a67ac3431882c.json,174,"oa_xml cached but every section empty — row passed the no-document guard with zero full text; oa_xml[raw=0ch,refs=0]; row has no doi_r (openalex_id_r=https://openalex.org/W7120530296) — PDF/parse/grobid caches are keyed by md5(doi_r) and cannot be looked up for this row"
,extracted-test-premerge-20260801.csv,llm_fulltext,openalex_xml_empty,cache/openalex_xml/oa_xml_1c9feb0a888f9343d33ceb8323c94e64.json,174,"oa_xml cached but every section empty — row passed the no-document guard with zero full text; oa_xml[raw=0ch,refs=0]; row has no doi_r (openalex_id_r=https://openalex.org/W2586395961) — PDF/parse/grobid caches are keyed by md5(doi_r) and cannot be looked up for this row"
10.5817/soc2017-2-27,extracted-test-premerge-20260801.csv,llm_fulltext,pdf_on_disk,cache/pdfs/c56ca39dad8bc8dc761c8541cef6373d.pdf|cache/openalex_xml/oa_xml_890836046ede4c806a8bbcde79634ae4.json|cache/parse/parse_c56ca39dad8bc8dc761c8541cef6373d.json|cache/grobid/c56ca39dad8bc8dc761c8541cef6373d.json,1542102|174|60994|4329,"parse_scores[pdfminer=3000;grobid=2000]; oa_xml[raw=0ch,refs=0]"
10.55632/pwvas.v89i1.208,extracted-test-premerge-20260801.csv,llm_fulltext,pdf_on_disk,cache/pdfs/0c09c192e90d025d5bfea30ad0552d73.pdf|cache/openalex_xml/oa_xml_722e5fc05856e4700ebf7ebb9b599588.json|cache/parse/parse_0c09c192e90d025d5bfea30ad0552d73.json|cache/grobid/0c09c192e90d025d5bfea30ad0552d73.json,55167|174|5509|1383,"parse_scores[grobid=1591;pdfminer=1549]; oa_xml[raw=0ch,refs=0]"
10.17977/um005v1i12017p036,extracted-test-premerge-20260801.csv,llm_fulltext,openalex_xml_empty,cache/openalex_xml/oa_xml_dfe924ec5480765eac24049c0b49e79c.json,174,"oa_xml cached but every section empty — row passed the no-document guard with zero full text; oa_xml[raw=0ch,refs=0]"
,extracted-test-premerge-20260801.csv,llm_fulltext,openalex_xml_empty,cache/openalex_xml/oa_xml_f4ae29af8a621734f35531073f0e86ea.json,174,"oa_xml cached but every section empty — row passed the no-document guard with zero full text; oa_xml[raw=0ch,refs=0]; row has no doi_r (openalex_id_r=https://openalex.org/W2883003039) — PDF/parse/grobid caches are keyed by md5(doi_r) and cannot be looked up for this row"
,extracted-test-premerge-20260801.csv,llm_fulltext,openalex_xml_empty,cache/openalex_xml/oa_xml_baed3a166cf63f27a8b80b0e39724e35.json,174,"oa_xml cached but every section empty — row passed the no-document guard with zero full text; oa_xml[raw=0ch,refs=0]; row has no doi_r (openalex_id_r=https://openalex.org/W2750383274) — PDF/parse/grobid caches are keyed by md5(doi_r) and cannot be looked up for this row"
,extracted-test-premerge-20260801.csv,llm_fulltext,openalex_xml_empty,cache/openalex_xml/oa_xml_4e3df4a5c9967e4d8af8ad4567cabe7a.json,174,"oa_xml cached but every section empty — row passed the no-document guard with zero full text; oa_xml[raw=0ch,refs=0]; row has no doi_r (openalex_id_r=https://openalex.org/W2624989796) — PDF/parse/grobid caches are keyed by md5(doi_r) and cannot be looked up for this row"
,extracted-test-premerge-20260801.csv,llm_fulltext,openalex_xml_empty,cache/openalex_xml/oa_xml_75eb08e3a1558f63dfb0d5050897b2a6.json,174,"oa_xml cached but every section empty — row passed the no-document guard with zero full text; oa_xml[raw=0ch,refs=0]; row has no doi_r (openalex_id_r=https://openalex.org/W2793761400) — PDF/parse/grobid caches are keyed by md5(doi_r) and cannot be looked up for this row"
,extracted-test-premerge-20260801.csv,llm_fulltext,openalex_xml_empty,cache/openalex_xml/oa_xml_d5720d9c135f7fdda0594c8033a79eac.json,174,"oa_xml cached but every section empty — row passed the no-document guard with zero full text; oa_xml[raw=0ch,refs=0]; row has no doi_r (openalex_id_r=https://openalex.org/W2775471425) — PDF/parse/grobid caches are keyed by md5(doi_r) and cannot be looked up for this row"
,extracted-test-premerge-20260801.csv,llm_fulltext,openalex_xml_empty,cache/openalex_xml/oa_xml_1f949e20dee7c2238dd109a854f9638c.json,174,"oa_xml cached but every section empty — row passed the no-document guard with zero full text; oa_xml[raw=0ch,refs=0]; row has no doi_r (openalex_id_r=https://openalex.org/W2887170272) — PDF/parse/grobid caches are keyed by md5(doi_r) and cannot be looked up for this row"
,extracted-test-premerge-20260801.csv,llm_fulltext,openalex_xml_empty,cache/openalex_xml/oa_xml_26d954fe0dd346d4d3a874dd51f11c7c.json,174,"oa_xml cached but every section empty — row passed the no-document guard with zero full text; oa_xml[raw=0ch,refs=0]; row has no doi_r (openalex_id_r=https://openalex.org/W2610202896) — PDF/parse/grobid caches are keyed by md5(doi_r) and cannot be looked up for this row"
,extracted-test-premerge-20260801.csv,llm_fulltext,openalex_xml_empty,cache/openalex_xml/oa_xml_b4ee3df99719d7e20681026b8087d3c9.json,174,"oa_xml cached but every section empty — row passed the no-document guard with zero full text; oa_xml[raw=0ch,refs=0]; row has no doi_r (openalex_id_r=https://openalex.org/W4386979364) — PDF/parse/grobid caches are keyed by md5(doi_r) and cannot be looked up for this row"
,extracted-test-premerge-20260801.csv,llm_fulltext,openalex_xml_empty,cache/openalex_xml/oa_xml_433a38e14217513aa5f3ccae406a2763.json,174,"oa_xml cached but every section empty — row passed the no-document guard with zero full text; oa_xml[raw=0ch,refs=0]; row has no doi_r (openalex_id_r=https://openalex.org/W7145523782) — PDF/parse/grobid caches are keyed by md5(doi_r) and cannot be looked up for this row"
,extracted-test-premerge-20260801.csv,llm_fulltext,openalex_xml_empty,cache/openalex_xml/oa_xml_bf91796f2201950543e26d9249315673.json,174,"oa_xml cached but every section empty — row passed the no-document guard with zero full text; oa_xml[raw=0ch,refs=0]; row has no doi_r (openalex_id_r=https://openalex.org/W2728375078) — PDF/parse/grobid caches are keyed by md5(doi_r) and cannot be looked up for this row"
10.32734/lwsa.v1i1.160,extracted-test-premerge-20260801.csv,llm_fulltext,pdf_on_disk,cache/pdfs/37cefb516ffd9f24ca0cb0ec4925746a.pdf|cache/openalex_xml/oa_xml_2fe8ccf145ff3c7f214fbb010755e926.json|cache/parse/parse_37cefb516ffd9f24ca0cb0ec4925746a.json|cache/grobid/37cefb516ffd9f24ca0cb0ec4925746a.json,406618|174|35425|2093,"parse_scores[pdfminer=3000;grobid=2000]; oa_xml[raw=0ch,refs=0]"
10.5430/elr.v7n1p34,extracted-test-premerge-20260801.csv,llm_fulltext,pdf_on_disk,cache/pdfs/d8a784cb252ca6778058a437db0375bb.pdf|cache/openalex_xml/oa_xml_c38bdcc782fbde1f7c8143407a7c71dc.json|cache/parse/parse_d8a784cb252ca6778058a437db0375bb.json|cache/grobid/d8a784cb252ca6778058a437db0375bb.json,221301|174|74973|14646,"parse_scores[pdfminer=11245;grobid=10245]; oa_xml[raw=0ch,refs=0]"
,extracted-test-premerge-20260801.csv,llm_fulltext,openalex_xml_empty,cache/openalex_xml/oa_xml_3f13b1ed4ba7ea55ffb49c584f030034.json,174,"oa_xml cached but every section empty — row passed the no-document guard with zero full text; oa_xml[raw=0ch,refs=0]; row has no doi_r (openalex_id_r=https://openalex.org/W2893967685) — PDF/parse/grobid caches are keyed by md5(doi_r) and cannot be looked up for this row"
,extracted-test-premerge-20260801.csv,llm_fulltext,openalex_xml_empty,cache/openalex_xml/oa_xml_cd88e54407194801a056a39778966a52.json,174,"oa_xml cached but every section empty — row passed the no-document guard with zero full text; oa_xml[raw=0ch,refs=0]; row has no doi_r (openalex_id_r=https://openalex.org/W2808096704) — PDF/parse/grobid caches are keyed by md5(doi_r) and cannot be looked up for this row"
10.17951/h.2019.53.1.119-128,extracted-test-premerge-20260801.csv,llm_fulltext,pdf_on_disk,cache/pdfs/9b97896d20c318679d8b4b017aaf4acd.pdf|cache/openalex_xml/oa_xml_3d580bbea5486b7adc8babe7af78ac71.json|cache/parse/parse_9b97896d20c318679d8b4b017aaf4acd.json|cache/grobid/9b97896d20c318679d8b4b017aaf4acd.json,264786|174|35374|1590,"parse_scores[grobid=5400;pdfminer=2500]; oa_xml[raw=0ch,refs=0]"
10.21203/rs.2.17624/v1,extracted-test-premerge-20260801.csv,llm_fulltext,pdf_on_disk,cache/pdfs/dcf147080ea9ade01c98ff06f138a522.pdf|cache/parse/parse_dcf147080ea9ade01c98ff06f138a522.json|cache/grobid/dcf147080ea9ade01c98ff06f138a522.json,341529|58092|8079,parse_scores[pdfminer=1721;grobid=721]
10.7190/shu-thesis-00257,extracted-test-premerge-20260801.csv,llm_fulltext,pdf_on_disk,cache/pdfs/93fcb1905aeac9b29723ec4eb3eb0af4.pdf|cache/parse/parse_93fcb1905aeac9b29723ec4eb3eb0af4.json|cache/grobid/93fcb1905aeac9b29723ec4eb3eb0af4.json,42567964|199226|75027,parse_scores[pdfminer=10200;grobid=9200]
