your_decision,doi_r,population,kind,item,action,why,claude,codex,suggested_instead,title_r,year_r,our_originals,mo_originals
,10.3390/ijerph19084912,pipeline vs Observatory,different paper,orig-093,replace,both judges agree,"mo (high): The paper names the 'pioneer study' it replicates as Shek, Li, Zhu and Shek (ref 7), the 2020 IJERPH study on materialism, egocentrism and delinquency. Auerbach et al. 2009 is not the replicated study.","mo (high): The replication paper explicitly identifies Shek, Li, Zhu, and Shek as the prior study whose findings it replicated. Reference 7 is the 2020 article named in Answer B, whereas Auerbach et al. is not identified as the replicated original.","Shek, Li, Zhu, and Shek (2020), “Concurrent and Longitudinal Predictors of Adolescent Delinquency in Mainland Chinese Adolescents: The Role of Materialism and Egocentrism,” doi:10.3390/ijerph17207662","Materialism, Egocentrism and Delinquent Behavior in Chinese Adolescents in Mainland China: A Short-Term Longitudinal Study",2022,The Cost of Materialism in a Collectivistic Culture: Predicting Risky Behavior Engagement in Chinese Adolescents (2009) doi:10.1080/15374410903401179 [llm_references],Concurrent and longitudinal predictors of adolescent delinquency in mainland Chinese adolescents: The role of materialism and egocentrism (2020) doi:10.3390/ijerph17207662
,10.1007/s10763-023-10368-9,pipeline vs Observatory,different paper,orig-095,replace,both judges agree,mo (high): The paper uses the research tools of Iannone et al. (2020) and deploys them in the Czech Republic. RQ2 compares its results with that study. Iannone & Simpson is cited only as another earlier intervention study.,"mo (high): The paper repeatedly and explicitly identifies Iannone et al. (2020) as the original study, states that its research tools were reused, and calls it the study replicated here. It distinguishes the earlier Iannone and Simpson study from the 2020 study by saying that the latter, second intervention study is the one being replicated, so Answer B is correct.","The impact of high stakes oral performance assessment on students' approaches to learning: A case study — Paola Iannone, Christoph Czichowsky, and Johannes Ruf (2020), DOI: 10.1007/s10649-020-09937-4",The Novelty Effect on Assessment Interventions: a Qualitative Replication Study of Oral Performance Assessment in Undergraduate Mathematics,2023,Students’ views of oral performance assessment in mathematics: straddling the ‘assessment of’ and ‘assessment for’ learning divide (2014) doi:10.1080/02602938.2014.961124 [llm_references],The impact of high stakes oral performance assessment on students' approaches to learning: A case study (2020) doi:10.1007/s10649-020-09937-4
,10.3390/cells11203242,pipeline vs Observatory,different paper,orig-096,replace,both judges agree,"mo (high): The discussion says the paper replicated its authors' earlier posterior-hippocampus results. That is ref 14, Schmitt et al. 2009 (Acta Neuropathol). The other 2016 study it builds on (ref 16) is Falkai et al. 'Decreased oligodendrocyte and neuron number in anterior hippocampal areas', not the Front Cell Neurosci density paper named in Answer A.","mo (high): The discussion explicitly says the study replicated its earlier findings from the posterior hippocampus, cited as reference 14. Reference 14 is Schmitt et al. (2009), “Stereologic investigation of the posterior part of the hippocampus in schizophrenia,” whereas the paper distinguishes later anterior/whole-hippocampus findings as extensions.",,Decreased Oligodendrocyte Number in Hippocampal Subfield CA4 in Schizophrenia: A Replication Study,2022,Oligodendrocyte and Interneuron Density in Hippocampal Subfields in Schizophrenia and Association of Oligodendrocyte Number with Cognitive Deficits (2016) doi:10.3389/fncel.2016.00078 [llm_references],Stereologic investigation of the posterior part of the hippocampus in schizophrenia (2009) doi:10.1007/s00401-008-0430-y
,10.1109/compsac.2013.82,pipeline vs Observatory,different paper,orig-097,replace,both judges agree,"mo (high): The replication shares its first author with Ramler, Winkler & Schmidt (SEAA 2012). That study compared random test generation with 60-minute manual unit testing by students, which is exactly the setup the abstract says it varied. Ciupa et al. 2008 is a different comparison of manual and random testing.","mo (high): The replication describes its original as a study comparing automated random test-case generation with manual unit testing by students under a 60-minute limit. This matches Ramler, Winkler, and Schmidt (2012), whose title and design directly correspond; the Ciupa et al. study instead compared manual testing, Random+, and user reports.",,A Replicated Study on Random Test Case Generation and Manual Unit Testing: How Many Bugs Do Professional Developers Find?,2013,Finding Faults: Manual Testing vs. Random+ Testing vs. User Reports (2008) doi:10.1109/issre.2008.18 [llm_references],Random test case generation and manual unit testing: substitute or complement in retrofitting tests for legacy code? (2012) doi:10.1109/seaa.2012.42
,10.1007/s00426-025-02211-3,pipeline vs Observatory,different paper,orig-099,replace,both judges agree,"mo (medium): Experiments 1A and 1B are closely modelled on Langton et al. (2008, Study 1), and the failure to replicate refers to that study's finding that irrelevant faces capture attention. Keys et al. 2021 is discussed as a conflicting result for Experiment 2, but that experiment departs from its design (uncued targets), so it is at most a secondary comparison.","mo (high): The paper explicitly states that Experiments 1A and 1B adapted Langton et al.’s Study 1 and later describes its paradigm as closely modeled on that study. Keys et al. (2021) motivates the illusory-face question, but the present target-search design differs materially and is not identified as a direct replication of Keys et al.","Langton, Law, Burton, & Schweinberger (2008), “Attention capture by faces,” doi:10.1016/j.cognition.2007.07.012",Attentional capture by real and illusory faces: a failure to replicate,2025,A visual search advantage for illusory faces in objects (2021) doi:10.3758/s13414-021-02267-4 [llm_references],Attention capture by faces (2008) doi:10.1016/j.cognition.2007.07.012
,10.1186/ar4504,pipeline vs Observatory,different paper,orig-101,replace,both judges agree,"mo (high): The four SNPs tested (rs12081765, rs1532269, rs17301249, rs7305646) come from Plant et al.'s 2011 GWAS, and the paper states its aim as assessing them. Liu et al. 2008 is a different GWAS with different variants.","mo (high): The introduction explicitly identifies Plant et al. (2011) as the source of the four variants tested in this replication. Liu et al. (2008) is cited only as another GWAS in this research area, not as the study whose findings are being retested.",,Lack of validation of genetic variants associated with anti–tumor necrosis factor therapy response in rheumatoid arthritis: a genome-wide association study replication and meta-analysis,2014,Genome-Wide Association Scan Identifies Candidate Polymorphisms Associated with Differential Response to Anti-TNF Treatment in Rheumatoid Arthritis (2008) doi:10.2119/2008-00056.liu [llm_references],Genome-wide association study of genetic predictors of anti-tumor necrosis factor treatment efficacy in rheumatoid arthritis identifies associations with polymorphisms at seven loci (2011) doi:10.1002/art.30130
,10.1186/ar2423,pipeline vs Observatory,different paper,orig-102,replace,both judges agree,"mo (high): The RHOB/TXNDC3 association was first reported by Mahr et al. (the paper misspells it as 'Marh and coworkers', ref 7) in German Caucasians. Loughlin et al. 2007 is the earlier UK replication that failed to find it. The paper's own replication targets the original association.","mo (high): The introduction attributes the initial positive RHOB and TXNDC3 associations to Mahr et al. (2006), making Answer B the original study. It explicitly describes Loughlin et al. (2007) as a subsequent UK replication study that found no association.","Mahr et al. (2006), “Cis- and trans-acting gene regulation is associated with osteoarthritis,” doi:10.1086/503849",Association of single-nucleotide polymorphisms in RHOB and TXNDC3 with knee osteoarthritis susceptibility: two case-control studies in East Asian populations and a meta-analysis,2008,Genetic Association Analysis of RHOB and TXNDC3 in Osteoarthritis (2007) doi:10.1086/511443 [llm_references],Cis-and trans-acting gene regulation is associated with osteoarthritis (2006) doi:10.1086/503849
,10.1515/cti-2022-0032,pipeline vs Observatory,different paper,orig-104,replace,both judges agree,"mo (high): The research question is whether the factor structure of the SUMS inventory as originally proposed by Treagust et al. (2002) can be replicated in German, and the first model replicates that structure. Lazenby & Becker (2021) is cited as an earlier replication attempt that failed.","mo (high): The paper explicitly asks whether the original SUMS factor structure proposed by Treagust et al. (2002) can be replicated in German and states that its first tested model reproduces that structure. Lazenby and Becker is discussed as a prior unsuccessful replication, not as the original study targeted here.","Treagust, David F.; Chittleborough, Gail; Mamiala, Thandi L. (2002), “Students' understanding of the role of scientific models in learning science,” DOI: 10.1080/09500690110066485",Don’t we know enough about models? Integrating a replication study into an introductory chemistry course in higher education,2023,Evaluation of the students’ understanding of models in science (SUMS) for use in undergraduate chemistry (2020) doi:10.1039/d0rp00084a [llm_references],Students' understanding of the role of scientific models in learning science (2002) doi:10.1080/09500690110066485
,10.1002/mpr.251,pipeline vs Observatory,different paper,orig-109,replace,both judges agree,"mo (high): The abstract says the aim is to replicate smoker profiles identified in 'Batra et al. (in press)', and those profiles are reported in the 2008 JSAT paper on multidimensional smoker profiles by the same group (B). Answer A is a 2004 German textbook on smoking cessation, not the cluster-analysis study.","mo (high): The replication paper explicitly identifies its target as the smoker profiles from “Batra et al. (in press).” Bibliographic records resolve that citation to Batra et al.'s 2008 article, “Multidimensional smoker profiles and their prediction of smoking following a pharmacobehavioral intervention,” DOI 10.1016/j.jsat.2007.08.006, which is Answer B.","Batra, Collins, Torchalla, Schröter & Buchkremer (2008), Multidimensional smoker profiles..., J Subst Abuse Treat, doi:10.1016/j.jsat.2007.08.006",Development and validation of a cluster-based classification system to facilitate treatment tailoring,2008,Tabakentwöhnung (2004) doi:10.17433/978-3-17-026572-1 [llm_references],Multidimensional smoker profiles and their prediction of smoking following a pharmacobehavioral intervention (2008) doi:10.1016/j.jsat.2007.08.006
,10.1002/mrm.29947,pipeline vs Observatory,different paper,orig-110,replace,both judges agree,"mo (medium): The methods reproduce specific figures from Bauman & Bieri 2020 (Figure 3 of Ref 4) and Bieri, Pusterla & Bauman 2023 (Figure 4 of Ref 5), which are the bSTAR papers listed in B. The 0.55 T paper in A is cited only as a recent demonstration at 0.55 T. According to the full text, none of its figures is reproduced.","mo (high): The paper explicitly says it replicates bSTAR imaging from references 4 and 5, which are the two studies listed in Answer B. It reproduces Figure 3 from reference 4 and Figure 4 from reference 5; Answer A is reference 6, described only as a recent 0.55-T demonstration.",,Replication of the <scp>bSTAR</scp> sequence and open‐source implementation,2023,Submillimeter lung MRI at 0.55 T using balanced steady‐state free precession with half‐radial dual‐echo readout (bSTAR) (2023) doi:10.1002/mrm.29757 [llm_references],Balanced steady-state free precession thoracic imaging with half-radial dual-echo readout on smoothly interleaved archimedean spirals (2020) doi:10.1002/mrm.28119 || Free-breathing half-radial dual-echo balanced steady-state free precession thoracic imaging with wobbling Archimedean spiral pole trajectories (2023) doi:10.1016/j.zemedi.2022.01.003
,10.1007/s00426-021-01593-4,pipeline vs Observatory,different paper,orig-112,replace,both judges agree,"mo (medium): The paper conceptually replicates studies linking cardiac interoceptive accuracy to arousal ratings of emotional pictures: Herbert 2007/2010, Pollatos 2005/2007a/b and Wiens 2000. Pollatos et al. 2005 (A) is one of these. Schandry 1981 (B) is cited as the source of the heartbeat-tracking task, 'the original study' of the task, not as the finding re-tested with IAPS picture ratings.","mo (high): The paper specifically identifies Pollatos et al. (2005) among the earlier picture-rating studies whose reported association between cardiac interoceptive accuracy and arousal it conceptually re-tests. Schandry (1981) is cited primarily as the source of the heartbeat-tracking task, rather than as the target study for this picture-rating replication.",,Mental heartbeat tracking and rating of emotional pictures are not related,2021,Heart Beat Perception and Emotional Experience (1981) doi:10.1111/j.1469-8986.1981.tb02486.x [llm_references],"On the relationship between interoceptive awareness, emotional experience, and brain processes (2005) doi:10.1016/j.cogbrainres.2005.09.019"
