doi_r,sim,ours,mo,our_doi,mo_doi
10.1016/j.jad.2020.07.098,0.08333333333333333,Testing a machine-learning algorithm to predict the persiste,Sex similarities and differences in risk factors for recurre,10.1038/mp.2015.198,10.1017/s0033291717003178
10.1016/s0022-3956(96)00061-1,0.18181818181818182,"ADHD and thyroid ahnormahtie,~: a research note",Attention-deficit hyperactivity disorder and thyroid functio,10.1111/j.1469-7610.1995.tb01335.x,10.1016/s0022-3476(05)80947-3
10.1017/s0142716412000501,0.42857142857142855,LEARNED ATTENTION IN ADULT LANGUAGE ACQUISITION,The bounds of adult language acquisition,10.1017/s0272263111000325,10.1017/s0272263110000264
10.1017/s0272263100010032,0.1,ON THE NATURALNESS OF INTERLANGUAGE PHONOLOGICAL RULES1,On predicting phonological difficulty in second language acq,10.1111/j.1467-1770.1981.tb01379.x,10.1017/s0272263100004253
10.1017/s0272263100015394,0.4,Explicit Instruction and Input Processing,Input processing and second language acquisition: A role for,10.1017/s0272263100011979,10.2307/329557
10.1017/s1366728922000748,0.1,The contribution of semantics to the sentence superiority ef,Unified syntax in the bilingual mind,10.1038/s41598-021-99565-6,10.3758/s13423-019-01666-x
10.1017/s1461145701002322,1.0,Symptom reduction and suicide risk in patients treated with ,Symptom reduction and suicide risk in patients treated with ,10.1176/appi.ajp.158.9.1449,10.1001/archpsyc.57.4.311
10.1017/s1930297500003144,0.05263157894736842,On Making the Right Choice: The Deliberation-Without-Attenti,The unconscious thought advantage: Further replication failu,10.1126/science.1121629,10.1017/s1930297500003338
10.1037/a0037397,1.0,On the relations between seen objects and components of pote,On the relations between seen objects and components of pote,10.1037//0096-1523.24.3.830,10.1037/0096-1523.24.3.830
10.1038/mp.2015.209,1.0,Subcortical brain volume abnormalities in 2028 individuals w,Subcortical brain volume abnormalities in 2028 individuals w,10.1038/mp.2015.63,10.1038/mp.2015.118
10.1038/s41539-024-00218-w,0.09090909090909091,How do young children explain differences in the classroom? ,Unequal opportunities from the start: socioeconomic disparit,10.1177/1745691620953781,10.1037/xge0001437
10.1038/s41598-017-18950-2,1.0,Subcortical brain volume abnormalities in 2028 individuals w,Subcortical brain volume abnormalities in 2028 individuals w,10.1038/mp.2015.63,10.1038/mp.2015.118
10.1038/s41598-021-87130-0,0.17391304347826086,Association of genetic polymorphisms with survival of pancre,Identification and validation of a biomarker signature in pa,10.1093/carcin/bgw080,10.1001/jamasurg.2019.0484
10.1038/s41598-021-91976-9,0.23076923076923078,Resting state functional connectivity in early blind humans,Resting state connectivity differences in eyes open versus e,10.3389/fnsys.2014.00051,10.1002/hbm.24539
10.1038/s41598-022-10647-5,0.05263157894736842,The phase of ongoing oscillations mediates the causal relati,Theta oscillations modulate attentional search performance p,10.1523/jneurosci.1161-11.2011,10.1162/jocn_a_00755
10.1044/cicsd_28_f_98,1.0,An  investigation  of  locus  equations  as  a  source  of  ,An investigation of locus equations as a source of relationa,10.1121/1.401923,10.1121/1.2029833
10.1046/j.1365-2133.1996.d01-1096.x,0.0,The angry back syndrome: eczema creates eczema,"Allergic reactions, 'spill-over' reactions, and T-cell subse",10.1111/j.1600-0536.1975.tb05380.x,10.1007/bf00412879
10.1057/s41599-025-05523-2,1.0,Self portrait with gorget Portrait of Rembrandt with a gorge,Self portrait with gorget portrait of Rembrandt with a gorge,10.1163/187501701x00460,
10.1073/pnas.0408670102,1.0,Haplotype-based identification of a microsomal transfer prot,Haplotype-based identification of a microsomal transfer prot,10.1073/pnas.1936249100,10.1073/pnas.2300949100
10.1073/pnas.0508189103,0.13333333333333333,Linkage with the Ser9Gly DRD3 polymorphism in essential trem,"Mapping of a familial essential tremor gene, FET1, to chromo",10.1111/j.1399-0004.2006.00600.x,10.1038/ng0997-84
10.1073/pnas.1615198114,0.15789473684210525,Reported Drosophila courtship song rhythms are artifacts of ,Circadian rhythm mutations in Drosophila melanogaster affect,10.1186/1741-7007-12-38,10.1073/pnas.77.11.6729
10.1080/00220388.2018.1506576,1.0,Property rights for the poor: Effects of land titling,Property rights for the poor: Effects of land titling,10.1016/j.jpubeco.2010.06.002,10.2139/ssrn.1544578
10.1080/00220388.2018.1506579,1.0,"Housing, Health, and Happiness","Housing, health, and happiness",10.1257/pol.1.1.75,10.1037/e596352012-001
10.1080/00224499.2019.1669135,0.16666666666666666,Measuring sexual aggression perpetration in college men: A c,Discrepant responding across self-report measures of men's c,10.1037/a0037584,10.1080/00224499.2011.646393
10.1080/10586458.2016.1173413,0.07692307692307693,Reproducibility in Computational Science: A Case Study: Rand,The decimal expansion of π is not statistically random,10.1080/10586458.2016.1163755,10.1080/10586458.2013.870504
10.1080/13554790490507614,0.16666666666666666,The Independence of Phonological and Orthographic Lexical Fo,The autonomy of lexical orthography,10.1080/026432997381619,10.1080/026432997381628
10.1080/13554799908415478,1.0,Spatio-motor cueing in unilateral left neglect: The role of ,Spatio-motor cueing in unilateral left neglect: the role of ,10.1016/0028-3932(92)90058-t,10.1016/0028-3932(92)90144-4
10.1080/13803611.2021.2022316,0.3076923076923077,Enhancing young children’s mathematical knowledge through a ,Effects of a pre-kindergarten mathematics intervention: A ra,10.1016/j.ecresq.2004.01.002,10.1080/19345740802114533
10.1080/14616734.2016.1181096,1.0,Parental loss of close family members and propensities towar,Parental loss of close family members and propensities towar,10.1111/1467-7687.00045,10.1111/desc.1998.1.issue-2
10.1080/14719037.2017.1295099,1.0,An Experimental Test of the Expectancy-Disconfirmation Theor,An Experimental Test of the Expectancy-Disconfirmation Theor,10.1002/pam.21702,10.1002/pam.2013.32.issue-3
10.1080/20473869.2022.2044594,0.21052631578947367,Contact and knowledge as predictors of attitudes toward indi,The role of personality variables in predicting attitudes to,10.1177/0265407510385494,10.1111/jir.12180
10.1089/cyber.2024.0136,0.0,Marital satisfaction and break-ups differ across on-line and,The online dating effect: Where a couple meets predicts the ,10.1073/pnas.1222447110,10.1016/j.chb.2023.107973
10.1093/cercor/bhz238,0.2222222222222222,Neural correlates of inter-trial priming and role-reversal i,Neural basis for priming of pop-out during visual search rev,10.3389/fnhum.2011.00151,10.1093/cercor/bhl072
10.1093/ntr/nty218,0.1,Association of the met66 allele of brain-derived neurotrophi,Genome-wide meta-analyses identify multiple loci associated ,10.1007/s00213-006-0647-1,10.1038/ng.571
10.1093/rheumatology/ker444,0.10526315789473684,Genome-wide association studies identify IL23R-IL12RB2 and I,Genetics of Behcet disease inside and outside the MHC,10.1038/ng.624,10.1136/ard.2009.108571
10.1093/scan/nsaa153,0.0,Continuous Theta Burst Stimulation of the Posterior Medial F,Neuromodulation of group prejudice and religious belief,10.3791/58204,10.1093/scan/nsw017
10.1093/scan/nst102,0.3,The neural basis of intuitive and counterintuitive moral jud,Reflection and reasoning in moral judgment,10.1093/scan/nsr005,10.1111/cogs.13168
10.1093/schbul/sbad161,0.17647058823529413,Looking through autistic features in schizophrenia using the,Autism beyond diagnostic categories: characterization of aut,10.1016/j.psychres.2018.10.074,10.1186/s12888-015-0494-x
10.1098/rspb.2009.1765,0.0,Five plus two equals yellow,Psychophysical investigations into the neural basis of synae,10.1038/35019148,10.1098/rspb.2000.1576
10.1098/rstb.2021.0459,0.0625,The dissociation between perception and action in the Ebbing,Size-contrast illusions deceive the eye but not the hand,10.1016/s0960-9822(01)00023-9,10.1016/s0960-9822(95)00133-3
10.1101/lm.1896010,0.3,Recognition without awareness: An elusive phenomenon,Accurate forced-choice recognition without awareness of memo,10.1101/lm.1815010,10.1101/lm.971208
10.1109/compsac.2013.82,0.15789473684210525,Finding Faults: Manual Testing vs. Random+ Testing vs. User ,Random test case generation and manual unit testing: substit,10.1109/issre.2008.18,10.1109/seaa.2012.42
10.1111/1540-4781.00152,1.0,Second Culture Acquisition: Ethnography in the Foreign Langu,Second culture acquisition: Ethnography in the foreign langu,10.1111/j.1540-4781.1996.tb05463.x,10.2307/329724
10.1111/acer.12265,1.0,A systematic gene-based screen of chr4q22–q32 identifies ass,A systematic gene-based screen of chr4q22-q32 identifies ass,10.1093/hmg/ddq112,10.1093/hmg/ddq326
10.1111/acps.12959,1.0,Clinical factors associated with treatment resistance in maj,Clinical factors associated with treatment resistance in maj,10.1016/s0084-3970(08)79088-1,10.4088/jcp.v68n0713
10.1111/bjdp.12216,0.0625,Laughing matters: Infant humor in the context of parental af,"Social looking, social referencing and humor perception in 6",10.1016/j.jecp.2015.03.012,10.1016/j.infbeh.2014.06.004
10.1111/bjop.12767,1.0,Multicultural minds: A dynamic constructivist approach to cu,Multicultural minds: A dynamic constructivist approach to cu,10.1037//0003-066x.55.7.709,10.1037/0003-066x.55.7.709
10.1111/cogs.12721,0.2222222222222222,Gesture and Thought,Hand and mind: What gestures reveal about thought,10.7208/chicago/9780226514642.001.0001,10.2307/415833
10.1111/desc.13399,0.0,Object name learning provides on-the-job training for attent,"Early noun vocabularies: Do ontology, category structure and",10.1111/1467-9280.00403,10.1016/s0010-0277(99)00034-7
10.1111/ejn.15512,0.6,Brain white matter volume abnormalities in Lesch-Nyhan disea,Regional brain volume abnormalities in Lesch-Nyhan disease a,10.1212/wnl.0000000000001128,10.1016/s1474-4422(13)70238-2
10.1111/j.1467-1770.1996.tb01354.x,1.0,Input Processing and Second Language Acquisition: A Role for,Input processing and second language acquisition: A role for,10.1111/j.1540-4781.1993.tb01944.x,10.2307/329557
10.1111/j.1540-4781.1995.tb01114.x,1.0,Effect of Multicultural Lessons on Attitudes of Students of ,Effect of multicultural lessons on attitudes of students of ,10.1111/j.1540-4781.1991.tb05376.x,10.2307/329491
10.1111/j.1540-4781.2006.00384.x,0.8333333333333334,Investigating Experienced ESL Teachers' Pedagogical Knowledg,Investigating ESL teachers' pedagogical knowledge,10.3138/cmlr.56.4.585,10.1111/0026-7902.00004
10.1111/j.1542-4774.2011.01043.x,1.0,Are Muslim Immigrants Different in Terms of Cultural Integra,Are muslim immigrants different in terms of cultural integra,10.1162/jeea.2008.6.2-3.445,10.2139/ssrn.1012585
10.1111/jabr.12029,0.2857142857142857,"The Influence of Traffic Congestion, Daily Hassles, and Trai","The relationship between traffic congestion, driver stress a",10.1111/j.1751-9861.2000.tb00072.x,10.1080/001401397188198
10.1111/jcpp.13682,1.0,A risk calculator to predict adult attention-deficit/hyperac,A risk calculator to predict adult attention-deficit/hyperac,10.1017/s2045796019000283,10.1017/s2045796019000337
10.1111/jofi.13063,1.0,Risk management in financial institutions,Risk management in financial institutions,10.3386/w25698,10.1111/jofi.12868
10.1111/sjop.12816,0.15,Personality and individual attitudes toward vaccination: a n,Personality and demographic correlates of New Zealanders' co,10.1186/s12889-020-09840-w,10.1016/j.vaccine.2017.09.061
10.1111/spsr.12479,0.10526315789473684,Exponential-growth prediction bias and compliance with safet,Correcting misperceptions of exponential coronavirus growth ,10.1016/j.socscimed.2020.113473,10.1073/pnas.2006048117
10.1145/2915970.2915983,0.5,On the effectiveness of weighted moving windows: Experiment ,The evaluation of weighted moving windows for software effor,10.1002/smr.1672,10.1007/978-3-642-39259-7_18
10.1167/8.1.1,0.0,Figural aftereffects in the perception of faces,Adaptation to natural facial categories,10.3758/bf03212974,10.1038/nature02420
10.1167/iovs.08-2382,0.14285714285714285,Two-Stage Genome-Wide Linkage Scan in Keratoconus Sib Pair F,Genomewide linkage scan in a multigeneration Caucasian pedig,10.1167/iovs.06-0214,10.1097/01.gim.0000170772.41860.54
10.1177/0022022100031003001,1.0,Culture's Consequences: International Differences in Work-Re,Culture's consequences: International differences in work-re,10.2307/2393017,10.1016/0142-694x(82)90089-8
10.1177/008124630303300307,0.15,The comparability of the constructs of the 16PF in the South,Qualitative and statistical impacts of home language on resp,10.4102/sajip.v25i1.679,10.1177/008124639902900204
10.1177/1526924816641814,0.14285714285714285,Increasing organ donor registration rates by providing an im,Improving organ donor registration using kiosks in primary c,10.1080/13548506.2011.564353,10.1177/0017896914559854
10.1177/153944928900900404,0.25,Improving Prehension Skills of Children with Cerebral Palsy:,Relationship of upper extremity weight bearing to hand skill,10.1177/153944928600600404,10.1177/153944928900900302
10.1177/1948550619887702,0.1875,A Multilab Preregistered Replication of the Ego-Depletion Ef,"The ego could be depleted, providing initial exertion is dep",10.1177/1745691616652873,10.1027/1864-9335/a000308
10.1186/2040-2392-1-8,1.0,A quantitative trait locus analysis of social responsiveness,A quantitative trait locus analysis of social responsiveness,10.1176/ajp.2007.164.4.656,10.1176/appi.ajp.164.4.656
10.1186/ar2423,0.14285714285714285,Genetic Association Analysis of RHOB and TXNDC3 in Osteoarth,Cis-and trans-acting gene regulation is associated with oste,10.1086/511443,10.1086/503849
10.1186/ar4504,0.38461538461538464,Genome-Wide Association Scan Identifies Candidate Polymorphi,Genome-wide association study of genetic predictors of anti-,10.2119/2008-00056.liu,10.1002/art.30130
10.1186/s12881-014-0102-9,0.42105263157894735,Evaluation of 64 candidate single nucleotide polymorphisms a,Evaluation of common genetic variants in 82 candidate genes ,10.1002/ajmg.a.33755,10.1186/1471-2350-13-62
10.1186/s12967-025-06535-x,1.0,Genetic risk factors for severe and fatigue dominant long CO,Genetic risk factors for severe and fatigue dominant long CO,10.1186/s12967-023-04588-4,10.1101/2023.07.13.23292611
10.1186/s40359-016-0127-2,1.0,Semantic information activated during retrieval contributes ,Semantic information activated during retrieval contributes ,10.1037/a0024140,10.1037/e520602012-165
10.1186/s40359-021-00536-3,0.375,Mentally walking through doorways causes forgetting: The loc,Walking through doorways causes forgetting: situation models,10.1080/09658211.2014.980429,10.3758/bf03193261
10.1191/0265532206lt332oa,1.0,"The relative importance of persons, items, subtests and lang","The relative importance of persons, items, subtests and lang",10.1177/026553229901600205,10.1191/026553299674908889
10.1207/s15327906mbr0104_1,0.13043478260869565,Rankings and Self-Assessments: Some Behavioral Characteristi,Behavioral Characteristics of Children Known to Psychiatric ,10.1080/00224545.1960.9922085,https://www.semanticscholar.org/paper/5d24c35f98ff47ea75bbe72fd8dc0adcf4de501d
10.1212/wnl.0b013e31826c1ab7,1.0,"Combined effects of smoking, anti-EBNA antibodies, and HLA-D","Combined effects of smoking, anti-EBNA antibodies, and HLA-D",10.1212/wnl.0b013e3181dad57e,10.1212/wnl.0b013e3181eee901
10.1371/journal.pgen.1011192,0.75,Mapping the human genetic architecture of COVID-19,A second update on mapping the human genetic architecture of,10.1038/s41586-021-03767-x,10.1038/s41586-023-06355-3
10.1371/journal.pone.0022070,0.15384615384615385,Mapping the genetic architecture of gene expression in human,Genetics of gene expression and its effect on disease,10.1371/journal.pbio.0060107,10.1038/nature06758
10.1371/journal.pone.0056732,0.05263157894736842,Common variants on chromosome 6p22.1 are associated with sch,Genome-wide association study identifies a susceptibility lo,10.1038/nature08192,10.1038/ng.979
10.1371/journal.pone.0086462,0.7,Contingency awareness and fear inhibition in a human fear-po,Fear potentiation and fear inhibition in a human fear-potent,10.1037/0735-7044.120.5.995,10.1016/j.biopsych.2005.02.025
10.1371/journal.pone.0095045,1.0,Metaanalysis of genome-wide association data and large-scale,Metaanalysis of genome-wide association data and large-scale,10.1016/s0084-3741(08)79224-2,10.1038/ng.120
10.1371/journal.pone.0155554,0.20689655172413793,Prenatal Exposure to Maternal Cigarette Smoking and DNA Meth,450K epigenome-wide scan identifies differential DNA methyla,10.1289/ehp.1408614,10.1289/ehp.1205412
10.1371/journal.pone.0194101,0.05,Avatars and arrows: Implicit mentalizing or domain-general p,Seeing it their way: Evidence for rapid and involuntary comp,10.1037/a0035175,10.1037/a0018729
10.1371/journal.pone.0217436,1.0,Manipulating the reported age in earliest memories,Manipulating the reported age in earliest memories,10.4324/9781003030102-2,10.1080/09658211.2017.1396345
10.1371/journal.pone.0227629,0.5833333333333334,The Proteus effect: The effect of transformed self-represent,The Proteus effect: Implications of transformed digital self,10.1111/j.1468-2958.2007.00299.x,10.1177/0093650208330254
10.1371/journal.pone.0244110,0.1875,Competing for affection: Perceptual fluency and ambiguity so,Motion fluency and object preference: Robust perceptual but ,10.1037/xhp0000702,10.1037/xlm0000667
10.1371/journal.pone.0255424,1.0,Left parietal tACS at alpha frequency induces a shift of vis,Left parietal tACS at alpha frequency induces a shift of vis,10.1101/644237,10.1371/journal.pone.0217729
10.1371/journal.pone.0255484,0.16666666666666666,Increasing blood glucose level via breakfast meals is not co,Sweet future: fluctuating blood glucose levels affect future,10.1016/j.physbeh.2019.112619,10.1177/0956797609358096
10.1371/journal.pone.0262902,0.16666666666666666,Worth the ‘EEfRT’? The Effort Expenditure for Rewards Task a,Trait anticipatory pleasure predicts effort expenditure for ,10.1371/journal.pone.0006598,10.1371/journal.pone.0131357
10.1371/journal.pone.0263879,0.0,The real-time status of island phenomena,Parsing WH-constructions: evidence for on-line gap location,10.1353/lan.2006.0217,10.1080/01690968608407062
10.1371/journal.pone.0312088,1.0,Motivated Numeracy and Enlightened Self-Government,Motivated numeracy and enlightened self-government,10.2139/ssrn.2319992,10.1017/bpp.2016.2
10.1371/journal.pone.0332478,0.07692307692307693,Thalamic iron in multiple sclerosis: Waning support for the ,Multiple sclerosis: improved identification of disease-relev,10.1016/j.nicl.2025.103771,10.1148/radiol.14132475
10.1515/cti-2022-0032,0.35714285714285715,Evaluation of the students’ understanding of models in scien,Students' understanding of the role of scientific models in ,10.1039/d0rp00084a,10.1080/09500690110066485
10.1523/eneuro.0332-19.2020,0.19047619047619047,Shank3 mutant mice display autistic-like behaviours and stri,Novel Shank3 mutant exhibits behaviors with face validity fo,10.1038/nature09965,10.1002/aur.1664
10.1534/g3.117.300366,0.14285714285714285,Contribution of copy-number variation to Down syndrome–assoc,The complex SNP and CNV genetic architecture of the increase,10.1038/gim.2014.144,10.1101/gr.147991.112
10.16910/jemr.12.4.10,0.15384615384615385,Binocular Advantages in Reading,Individual differences in binocular coordination are uncover,10.1016/j.cub.2014.01.014,10.1167/iovs.12-9707
10.18632/oncotarget.12903,0.14814814814814814,Annual Ambient Black Carbon Associated with Shorter Telomere,Long-term ambient particle exposures and blood DNA methylati,10.1289/ehp.0901831,10.1093/eep/dvw006
10.1901/jaba.2000.33-239,0.2,FEED THE HUNGRY BEE: USING POSITIVE PEER REPORTS TO IMPROVE ,Merging research and practice: The example of positive peer ,10.1901/jaba.1996.29-251,https://www.semanticscholar.org/paper/3a3c847fa514fca8145c09360ce41d9d0e34fd27
10.2188/jea.11.281,0.21739130434782608,Psychosocial factors as strong predictors of mortality from ,"Personality type, smoking habit and their interaction as pre",10.1016/0022-3999(85)90038-8,10.1016/0191-8869(88)90125-0
10.2217/pgs.15.162,1.0,NAD(P)H Oxidase and Multidrug Resistance Protein Genetic Pol,NAD(P)H oxidase and multidrug resistance protein genetic pol,10.1161/circulationaha.105.576850,10.1161/circulationaha.105.576533
10.23846/rps0009,1.0,Property rights for the poor: effects of land titling,Property rights for the poor: effects of land titling,10.2139/ssrn.1544578,10.1016/j.jpubeco.2010.06.002
10.2466/pms.1968.26.2.559,0.5625,The Influence of Oral Recall on Immediate and Delayed Memory,Immediate memory of connected meaningful material practiced ,10.1080/00223980.1965.9916786,10.2466/pr0.1963.13.1.91
10.2466/pr0.1962.10.2.459,1.0,Some Religious-Ethnic Differences in Interaction Rates,Some religious-ethnic differences in interaction rates,10.2466/pr0.1960.7.2.345,10.2466/pr0.7.6.345-356
10.2466/pr0.1990.66.2.407,0.3,Food cues and peceptual distortion of the female body: Impli,Distorted body image in normal women: implications for the d,10.1002/1097-4679(198911)45:6<843::aid-jclp2270450603>3.0.co;2-4,10.1002/1097-4679(199007)46:4<398::aid-jclp2270460404>3.0.co;2-5
10.2466/pr0.2002.91.3.722,0.8823529411764706,A Field Study of the Relation between Leaders' Anticipation ,A field study of the relation between leaders' anticipation ,10.2466/pr0.2001.88.3.835,10.2466/pr0.88.3.835-843
10.2466/pr0.94.2.733-735,0.2,Attachment Histories for People with Characteristics of Self,Self-defeating personality and memories of parents' child-re,10.2466/pr0.1993.73.3f.1232,10.2466/pr0.91.6.436-438
10.2466/pr0.95.3f.1059-1071,0.23076923076923078,Toward a Social Psychological Model of Strategy Use,Using social-psychological variables to predict the use of l,10.1111/j.1944-9720.1994.tb01201.x,10.1111/j.1944-9720.1996.tb01249.x
10.3109/07357907.2011.630052,0.4,GPC5 rs2352028 variant and risk of lung cancer in never smok,Genetic variants and risk of lung cancer in never smokers: a,10.1016/s1470-2045(10)70096-6,10.1016/s1470-2045(10)70042-5
10.31234/osf.io/ux8ef,0.04,Mere exposure to money increases endorsement of free-market ,Effects of Fluency on Psychological Distance and Mental Cons,10.1037/a0029288,10.1111/j.1467-9280.2008.02062.x
10.3233/jad-132432,1.0,Common variants at 7p21 are associated with frontotemporal l,Common variants at 7p21 are associated with frontotemporal l,10.1038/ng.536,10.3410/f.2137000.1737107
10.3386/w12607,1.0,The Impact of Legalized Abortion on Crime,The Impact of Legalized Abortion on Crime,10.3386/w8004,10.1162/00335530151144050
10.3389/fgene.2020.00827,0.09090909090909091,A genome-wide association study identifies a potential novel,Association of genetic variation with keratoconus,10.1093/hmg/ddr460,10.1001/jamaophthalmol.2019.5293
10.3389/fnhum.2020.00230,0.047619047619047616,Increasing propensity to mind-wander with transcranial direc,Challenge to unity: relationship between hemispheric asymmet,10.1073/pnas.1421435112,10.1093/cercor/bhy086
10.3389/fnint.2022.1041423,1.0,"Simple, biologically-constrained ca1 pyramidal cell models u","Simple, biologically-constrained CA1 pyramidal cell models u",10.12688/f1000research.4170,10.12688/f1000research.3894.1
10.3389/fnint.2023.935177,1.0,Learning precise spatiotemporal sequences via biophysically ,Learning precise spatiotemporal sequences via biophysically ,10.7554/elife.63751,10.7554/elife.63751.sa2
10.3389/fpsyg.2016.00994,0.0625,Understanding the relationship between emotional and behavio,Rumination and self-injurious behaviors in borderline person,10.1016/j.brat.2008.02.002,10.1016/j.beth.2007.08.009
10.3389/fpsyg.2017.02362,0.05263157894736842,The rejection of moral rebels: Resenting those who do the ri,Do less ethical consumers denigrate more ethical consumers? ,10.1037/0022-3514.95.1.76,10.1016/j.jcps.2015.10.002
10.3389/fpsyg.2019.01381,0.08333333333333333,"A moral act, elevation, and prosocial behavior: Moderators o",Who engages with moral beauty?,10.1080/17439760.2012.754926,10.1080/03057240.2013.785941
10.3389/fpsyg.2022.932592,0.16666666666666666,Non-Interfering Effects of Active Post-Encoding Tasks on Epi,Promotion and suppression of autobiographical thinking diffe,10.3389/fnbeh.2017.00054,10.1371/journal.pone.0201780
10.3389/fpsyg.2024.1472489,0.04,Fearful expressions gain preferential access to awareness du,Are visual threats prioritized without awareness? A critical,10.1037/1528-3542.7.4.882,10.1037/bul0000054
10.3389/fpsyt.2021.668152,0.0,Differences in cognitive and emotional processes between per,Concomitants of paranoia in the general population,10.1093/schbul/sbs059,10.1017/s0033291710001546
10.3390/cells11203242,0.05555555555555555,Oligodendrocyte and Interneuron Density in Hippocampal Subfi,Stereologic investigation of the posterior part of the hippo,10.3389/fncel.2016.00078,10.1007/s00401-008-0430-y
10.3390/ijerph19084912,0.2,The Cost of Materialism in a Collectivistic Culture: Predict,Concurrent and longitudinal predictors of adolescent delinqu,10.1080/15374410903401179,10.3390/ijerph17207662
10.3390/jintelligence12040037,1.0,Data mining the university: College GPA predictions from SAT,Data mining the university: College GPA predictions from SAT,10.2139/ssrn.1589792,10.48550/arxiv.1004.2731
10.3758/s13423-017-1348-y,1.0,Creating false memories: Remembering words not presented in ,Creating false memories: Remembering words not presented in ,10.1037/e537272012-273,10.1037/0278-7393.21.4.803
10.3758/s13423-022-02158-1,0.07142857142857142,Hindsight is not equal to foresight: The effect of outcome k,On the psychology of experimental surprises,10.1037/0096-1523.1.3.288,10.1037/0096-1523.3.4.544
10.5249/jivr.v4i1.65,1.0,Does adversity earlier in life affect elderly suicide rates?,Does adversity earlier in life affect elderly suicide rates?,10.3109/13651500902912702,10.1080/13651500902912702
10.5296/ijhrs.v10i3.16907,0.9,Initial Reliability and Validity for the Critical Hire - Per,Initial reliability and validity of the Critical Hire-Person,10.25035/pad.2020.01.003,10.1080/23774657.2019.1699477
10.5334/joc.342,1.0,Prediction error boosts retention of novel words in adults b,Prediction error boosts retention of novel words in adults b,10.31234/osf.io/z4ba8,10.1016/j.cognition.2021.104650
10.5753/sbqs.2016.15130,0.125,Checklist-Based Inspection Technique for Feature Models Revi,Verification of software product line artifacts: A checklist,10.1109/sbcars.2012.25,10.3217/jucs-020-05-0720
