population,doi_r,side_a,doi_a,title_a,doi_b,title_b,pair,class_a,class_b,detail,reg_a,reg_b
pipeline vs Observatory,10.1111/j.1542-4774.2011.01043.x,pipeline,10.1162/jeea.2008.6.2-3.445,Are Muslim Immigrants Different in Terms of Cultural Integration?,10.2139/ssrn.1012585,Are muslim immigrants different in terms of cultural integration,alternative identifier,work,alternative,A: article of record · B: SSRN working paper,Are Muslim Immigrants Different in Terms of Cultural Integration?,Are Muslim Immigrants Different in Terms of Cultural Integration?
pipeline vs Observatory,10.1111/jcpp.13682,pipeline,10.1017/s2045796019000283,A risk calculator to predict adult attention-deficit/hyperactivity disorder: generation and external validation in three birth cohorts and one clinical sample,10.1017/s2045796019000337,A risk calculator to predict adult attention-deficit/hyperactivity disorder: generation and external validation in three birth cohorts and one clinical sample,mistake,work,mistake,A: article of record · B: Crossref marks this DOI as a correction of another DOI,A risk calculator to predict adult attention-deficit/hyperactivity disorder: generation and external validation in three birth cohorts and one clinical sample,A risk calculator to predict adult attention-deficit/hyperactivity disorder: generation and external validation in three birth cohorts and one clinical sample - ERRATUM
pipeline vs Observatory,10.1111/jofi.13063,pipeline,10.3386/w25698,Risk management in financial institutions,10.1111/jofi.12868,Risk management in financial institutions,alternative identifier,alternative,work,A: NBER working paper · B: the article of record — RETRACTED,Risk Management in Financial Institutions,Retracted: Risk Management in Financial Institutions
pipeline vs Observatory,10.1177/0022022100031003001,pipeline,10.2307/2393017,Culture's Consequences: International Differences in Work-Related Values.,10.1016/0142-694x(82)90089-8,Culture's consequences: International differences in work-related values,mistake,mistake,mistake,"both DOIs are book REVIEWS (ASQ 1983, Design Studies 1982) of Hofstede's Culture's Consequences (1980), a book with no DOI",Culture's Consequences: International Differences in Work-Related Values.,Culture's consequences: international differences in work-related values
pipeline vs Observatory,10.1186/2040-2392-1-8,pipeline,10.1176/ajp.2007.164.4.656,A quantitative trait locus analysis of social responsiveness in multiplex autism families,10.1176/appi.ajp.164.4.656,A quantitative trait locus analysis of social responsiveness in multiplex autism families,duplicate registration (alternative identifier),work,work,A: article of record · B: article of record,A Quantitative Trait Locus Analysis of Social Responsiveness in Multiplex Autism Families,A Quantitative Trait Locus Analysis of Social Responsiveness in Multiplex Autism Families
pipeline vs Observatory,10.1186/s12967-025-06535-x,pipeline,10.1186/s12967-023-04588-4,Genetic risk factors for severe and fatigue dominant long COVID and commonalities with ME/CFS identified by combinatorial analysis,10.1101/2023.07.13.23292611,Genetic risk factors for severe and fatigue dominant long COVID and commonalities with ME/CFS identified by combinatorial analysis,alternative identifier,work,alternative,A: article of record · B: bioRxiv/medRxiv preprint,Genetic risk factors for severe and fatigue dominant long COVID and commonalities with ME/CFS identified by combinatorial analysis,Genetic Risk Factors for Severe and Fatigue Dominant Long COVID and Commonalities with ME/CFS Identified by Combinatorial Analysis
pipeline vs Observatory,10.1186/s40359-016-0127-2,pipeline,10.1037/a0024140,Semantic information activated during retrieval contributes to later retention: Support for the mediator effectiveness hypothesis of the testing effect.,10.1037/e520602012-165,Semantic information activated during retrieval contributes to later retention: Support for the mediator effectiveness hypothesis of the testing effect,alternative identifier,work,alternative,A: article of record · B: PsycEXTRA conference record,Semantic information activated during retrieval contributes to later retention: Support for the mediator effectiveness hypothesis of the testing effect.,Semantic Information Activated During Retrieval Contributes to Later Retention: Support for the Mediator Effectiveness Hypothesis of the Testing Effect
pipeline vs Observatory,10.1191/0265532206lt332oa,pipeline,10.1177/026553229901600205,"The relative importance of persons, items, subtests and languages to TOEFL test variance",10.1191/026553299674908889,"The relative importance of persons, items, subtests and languages to TOEFL test variance",duplicate registration (alternative identifier),work,work,A: article of record · B: article of record,"The relative importance of persons, items, subtests and languages to TOEFL                 test variance","The relative importance of persons, items, subtests and languages to TOEFL test variance"
pipeline vs Observatory,10.1212/wnl.0b013e31826c1ab7,pipeline,10.1212/wnl.0b013e3181dad57e,"Combined effects of smoking, anti-EBNA antibodies, and HLA-DRB1*1501 on multiple sclerosis risk",10.1212/wnl.0b013e3181eee901,"Combined effects of smoking, anti-EBNA antibodies, and HLA-DRB1*1501 on multiple sclerosis risk",duplicate registration (alternative identifier),work,work,A: article of record · B: article of record,"Combined effects of smoking, anti-EBNA antibodies, and
                    <i>HLA-DRB1*1501</i>
                    on multiple sclerosis risk","COMBINED EFFECTS OF SMOKING, ANTI-EBNA ANTIBODIES, AND
            <i>HLA-DRB1*1501</i>
            ON MULTIPLE SCLEROSIS RISK"
pipeline vs Observatory,10.1371/journal.pone.0095045,pipeline,10.1016/s0084-3741(08)79224-2,Metaanalysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes,10.1038/ng.120,Metaanalysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes,mistake,mistake,work,"A: DOI points to a Year Book abstract digest, not the article · B: article of record",Meta-analysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes,Meta-analysis of genome-wide association data and large-scale replication identifies additional susceptibility loci for type 2 diabetes
pipeline vs Observatory,10.1371/journal.pone.0217436,pipeline,10.4324/9781003030102-2,Manipulating the reported age in earliest memories,10.1080/09658211.2017.1396345,Manipulating the reported age in earliest memories,alternative identifier,alternative,work,A: book reprint · B: article of record,Manipulating the reported age in earliest memories,Manipulating the reported age in earliest memories
pipeline vs Observatory,10.1371/journal.pone.0255424,pipeline,10.1101/644237,Left parietal tACS at alpha frequency induces a shift of visuospatial attention,10.1371/journal.pone.0217729,Left parietal tACS at alpha frequency induces a shift of visuospatial attention,alternative identifier,alternative,work,A: bioRxiv/medRxiv preprint · B: article of record,Left parietal tACS at alpha frequency induces a shift of visuospatial attention,Left parietal tACS at alpha frequency induces a shift of visuospatial attention
pipeline vs Observatory,10.1371/journal.pone.0312088,pipeline,10.2139/ssrn.2319992,Motivated Numeracy and Enlightened Self-Government,10.1017/bpp.2016.2,Motivated numeracy and enlightened self-government,alternative identifier,alternative,work,A: SSRN working paper · B: article of record,Motivated Numeracy and Enlightened Self-Government,Motivated numeracy and enlightened self-government
pipeline vs Observatory,10.2217/pgs.15.162,pipeline,10.1161/circulationaha.105.576850,NAD(P)H Oxidase and Multidrug Resistance Protein Genetic Polymorphisms Are Associated With Doxorubicin-Induced Cardiotoxicity,10.1161/circulationaha.105.576533,NAD(P)H oxidase and multidrug resistance protein genetic polymorphisms are associated with doxorubicin-induced cardiotoxicity,mistake,work,mistake,A: article of record · B: DOI does not resolve to a registered work (malformed or wrong),NAD(P)H Oxidase and Multidrug Resistance Protein Genetic Polymorphisms Are Associated With Doxorubicin-Induced Cardiotoxicity,
pipeline vs Observatory,10.23846/rps0009,pipeline,10.2139/ssrn.1544578,Property rights for the poor: effects of land titling,10.1016/j.jpubeco.2010.06.002,Property rights for the poor: effects of land titling,alternative identifier,alternative,work,A: SSRN working paper · B: article of record,Property Rights for the Poor: Effects of Land Titling,Property rights for the poor: Effects of land titling
pipeline vs Observatory,10.2466/pr0.1962.10.2.459,pipeline,10.2466/pr0.1960.7.2.345,Some Religious-Ethnic Differences in Interaction Rates,10.2466/pr0.7.6.345-356,Some religious-ethnic differences in interaction rates,duplicate registration (alternative identifier),work,work,A: article of record · B: article of record,Some Religious-Ethnic Differences in Interaction Rates,SOME RELIGIOUS-ETHNIC DIFFERENCES IN INTERACTION RATES
pipeline vs Observatory,10.3233/jad-132432,pipeline,10.1038/ng.536,Common variants at 7p21 are associated with frontotemporal lobar degeneration with TDP-43 inclusions,10.3410/f.2137000.1737107,Common variants at 7p21 are associated with frontotemporal lobar degeneration with TDP-43 inclusions,mistake,work,mistake,A: article of record · B: DOI points to a notice/reply: “Faculty Opinions recommendation of Common variants at 7p21 a”,Common variants at 7p21 are associated with frontotemporal lobar degeneration with TDP-43 inclusions,Faculty Opinions recommendation of Common variants at 7p21 are associated with frontotemporal lobar degeneration with TDP-43 inclusions.
pipeline vs Observatory,10.3386/w12607,pipeline,10.3386/w8004,The Impact of Legalized Abortion on Crime,10.1162/00335530151144050,The Impact of Legalized Abortion on Crime,alternative identifier,alternative,work,A: NBER working paper · B: article of record,The Impact of Legalized Abortion on Crime,The Impact of Legalized Abortion on Crime
pipeline vs Observatory,10.3389/fnint.2022.1041423,pipeline,10.12688/f1000research.4170,"Simple, biologically-constrained ca1 pyramidal cell models using an intact, whole hippocampus context",10.12688/f1000research.3894.1,"Simple, biologically-constrained CA1 pyramidal cell models using an intact, whole hippocampus context",duplicate registration (alternative identifier),work,work,A: article of record · B: article of record,"Simple, biologically-constrained CA1 pyramidal cell models using an intact, whole hippocampus context","Simple, biologically-constrained CA1 pyramidal cell models using an intact, whole hippocampus context"
pipeline vs Observatory,10.3389/fnint.2023.935177,pipeline,10.7554/elife.63751,"Learning precise spatiotemporal sequences via biophysically realistic learning rules in a modular, spiking network",10.7554/elife.63751.sa2,"Learning precise spatiotemporal sequences via biophysically realistic learning rules in a modular, spiking network",mistake,work,mistake,"A: article of record · B: DOI points to a peer review, not the article","Learning precise spatiotemporal sequences via biophysically realistic learning rules in a modular, spiking network","Author response: Learning precise spatiotemporal sequences via biophysically realistic learning rules in a modular, spiking network"
pipeline vs Observatory,10.3390/jintelligence12040037,pipeline,10.2139/ssrn.1589792,Data mining the university: College GPA predictions from SAT scores,10.48550/arxiv.1004.2731,Data mining the university: College GPA predictions from SAT scores,alternative identifier,alternative,alternative,A: SSRN working paper · B: arXiv preprint,Data Mining the University: College GPA Predictions from SAT Scores,Data Mining the University: College GPA Predictions from SAT Scores
pipeline vs Observatory,10.3758/s13423-017-1348-y,pipeline,10.1037/e537272012-273,Creating false memories: Remembering words not presented in lists,10.1037/0278-7393.21.4.803,Creating false memories: Remembering words not presented in lists,alternative identifier,alternative,work,A: PsycEXTRA conference record · B: article of record,Creation of False Memories: Remembering Words Not Presented in Lists,Creating false memories: Remembering words not presented in lists.
pipeline vs Observatory,10.5249/jivr.v4i1.65,pipeline,10.3109/13651500902912702,Does adversity earlier in life affect elderly suicide rates? A cross-national study,10.1080/13651500902912702,Does adversity earlier in life affect elderly suicide rates? A cross-national study,duplicate registration (alternative identifier),work,work,A: article of record · B: article of record,Does adversity earlier in life affect elderly suicide rates? A cross-national study,Does adversity earlier in life affect elderly suicide rates? A cross-national study
pipeline vs Observatory,10.5334/joc.342,pipeline,10.31234/osf.io/z4ba8,Prediction error boosts retention of novel words in adults but not in children,10.1016/j.cognition.2021.104650,Prediction error boosts retention of novel words in adults but not in children,alternative identifier,alternative,work,A: OSF preprint · B: article of record,Prediction error boosts retention of novel words in adults but not in children,Prediction error boosts retention of novel words in adults but not in children
pipeline vs Observatory,10.5964/jnc.7033,pipeline,10.1111/cdev.13068,Associations of number line estimation with mathematical competence: A meta-analysis,10.1111/cdev.130,Associations of number line estimation with mathematical competence: A meta-analysis,mistake,work,mistake,A: article of record · B: DOI does not resolve to a registered work (malformed or wrong),Associations of Number Line Estimation With Mathematical Competence: A Meta-analysis,
FLoRA vs Observatory,10.1002/jae.2449,flora,10.1162/rest.90.1.158,Evidence that Seat Belts Are as Effective as Child Safety Seats in Preventing Death for Children Aged Two and Up,10.3386/w11591,Evidence that Seat Belts are as Effective as Child Safety Seats in Preventing Death for Children Aged Two and Up,alternative identifier,work,alternative,A: article of record · B: NBER working paper,Evidence that Seat Belts Are as Effective as Child Safety Seats in Preventing Death for Children Aged Two and Up,Evidence that Seat Belts are as Effective as Child Safety Seats in Preventing Death for Children Aged Two and Up
FLoRA vs Observatory,10.1007/s11127-012-0023-0,flora,10.1007/s11127-010-9760-0,District magnitude and representation of the majority’s preferences: Evidence from popular and parliamentary votes,10.5771/9783845253862_115,District magnitude and representation of the majority's preferences: evidence from popular and parliamentary votes,alternative identifier,work,alternative,A: article of record · B: book reprint,District magnitude and representation of the majority’s preferences: Evidence from popular and parliamentary votes,District Magnitude and Representation of the Majoritys Preferences: Evidence from Popular and Parliamentary Votes
FLoRA vs Observatory,10.1007/s11238-021-09836-x,flora,10.1126/science.1238041,Poverty Impedes Cognitive Function,10.1126/science.1246799,Poverty impedes cognitive function,mistake,work,mistake,A: article of record · B: DOI points to a notice/reply: “Response to Comment on “Poverty Impedes Cognitive Function””,Poverty Impedes Cognitive Function,Response to Comment on “Poverty Impedes Cognitive Function”
FLoRA vs Observatory,10.1016/j.infbeh.2019.101340,flora,10.1111/j.1467-7687.2011.01127.x,Infants generate goal‐based action predictions,10.1111/j.1467-7687.2011.01095.x,Infants generate goal-based action predictions,mistake,work,mistake,A: article of record · B: DOI points to a different work: “Action production influences 12‐month‐old infants’ attention”,Infants generate goal‐based action predictions,Action production influences 12‐month‐old infants’ attention to others’ actions
FLoRA vs Observatory,10.1037/xge0000788,flora,10.1037/e578192014-061,Free to punish: A motivated account of free will belief,10.1037/a0035880,Free to punish: A motivated account of free will belief,alternative identifier,alternative,work,A: PsycEXTRA conference record · B: article of record,Free to punish: A motivated account of free will belief,Free to punish: A motivated account of free will belief.
FLoRA vs Observatory,10.1080/0003684042000229532,flora,10.1086/298261,"""Overeducation"" in the Labor Market",10.1016/s0272-7757(99)00057-6,"Overeducation"" in the Labor Market",mistake,work,mistake,side B names Sicherman's 1991 'Overeducation in the Labor Market' by title and year but carries the DOI of Groot & Maassen van den Brink's 2000 meta-analysis,"""Overeducation"" in the Labor Market",Overeducation in the labor market: a meta-analysis
FLoRA vs Observatory,10.1111/j.1540-4781.2011.01174.x,flora,10.2307/329894,The Effects of Language Anxiety on Students' Oral Test Performance and Attitudes,10.1111/j.1540-4781.1992.tb02573.x,The effects of language anxiety on students' oral test performance and attitudes,alternative identifier,alternative,work,A: JSTOR duplicate registration · B: article of record,The Effects of Language Anxiety on Students' Oral Test Performance and Attitudes,The Effects of Language Anxiety on Students' Oral Test Performance and Attitudes
FLoRA vs Observatory,10.1111/lang.12621,flora,10.1111/j.1467-9922.2012.00729.x,Incidental Learning of Collocation,10.1111/j.1467-9922.2012.00729,Incidental learning of collocation,mistake,work,mistake,A: article of record · B: DOI does not resolve to a registered work (malformed or wrong),Incidental Learning of Collocation,
FLoRA vs Observatory,10.1177/0956797620968526,flora,10.1111/1467-9280.00376,Implicit Attitude Formation Through Classical Conditioning,10.1037/e413802005-319,Implicit attitude formation through classical conditioning,alternative identifier,work,alternative,A: article of record · B: PsycEXTRA conference record,Implicit Attitude Formation Through Classical Conditioning,Implicit Attitude Formation Through Classical Conditioning
FLoRA vs Observatory,10.1177/10422587211059991,flora,10.1016/j.jbusvent.2008.04.003,Growing profitable or growing from profits: Putting the horse in front of the cart?,10.2139/ssrn.1263088,Growing profitable or growing from profits: Putting the horse in front of the cart?,alternative identifier,work,alternative,A: article of record · B: SSRN working paper,Growing profitable or growing from profits: Putting the horse in front of the cart?,Growing Profitable or Growing from Profits: Putting the Horse in Front of the Cart?
FLoRA vs Observatory,10.1177/25152459211018187,flora,10.1111/j.1467-8624.1966.tb05387.x,Spontaneous Verbal Rehearsal in a Memory Task as a Function of Age,10.2307/1126804,Spontaneous verbal rehearsal in a memory task as a function of age,alternative identifier,work,alternative,A: article of record · B: JSTOR duplicate registration,Spontaneous Verbal Rehearsal in a Memory Task as a Function of Age,Spontaneous Verbal Rehearsal in a Memory Task as a Function of Age
FLoRA vs Observatory,10.1515/zfsoz-2023-2029,flora,10.31235/osf.io/93eyz,"Preferences, Constraints, and the Process of Sex Segregation in College Majors: A Choice Analysis",10.1016/j.ssresearch.2015.12.008,"Preferences, constraints, and the process of sex segregation in college majors: A choice analysis",alternative identifier,alternative,work,A: OSF preprint · B: article of record,"Preferences, Constraints, and the Process of Sex Segregation in College Majors:  A Choice Analysis","Preferences, constraints, and the process of sex segregation in college majors: A choice analysis"
FLoRA vs Observatory,10.1525/collabra.18738,flora,10.1037/0022-3514.37.10.1660,The role of category accessibility in the interpretation of information about persons: Some determinants and implications.,10.4324/9780203496398-9,The Role of Category Accessibility in the Interpretation of Information About Persons: Some Determinants and Implications,alternative identifier,work,alternative,A: article of record · B: book reprint,The role of category accessibility in the interpretation of information about persons: Some determinants and implications.,The Role of Category Accessibility in the Interpretation of Information About Persons: Some Determinants and Implications
FLoRA vs Observatory,10.1525/collabra.77859,flora,10.1002/(sici)1099-0771(199806)11:2%3c107::aid-bdm292%3e3.0.co;2-y,Less is better: when low-value options are valued more highly than high-value options,10.1002/(sici)1099-0771(199806)11:2<107::aid-bdm292>3.0.co;2-y,Less is better: when low-value options are valued more highly than high-value options,"same DOI, formatting",work,work,side A writes the DOI with '//' or URL-encoding,,
FLoRA vs Observatory,10.1901/jeab.2012.98-283,flora,10.1901/jeab.2008.90-257,"ASSOCIATIVE SYMMETRY, ANTISYMMETRY, AND A THEORY OF PIGEONS' EQUIVALENCE‐CLASS FORMATION",10.1037/e527312012-255,"Associative symmetry, antisymmetry, and a theory of pigeons' equivalence-class formation",alternative identifier,work,alternative,A: article of record · B: PsycEXTRA conference record,"ASSOCIATIVE SYMMETRY, ANTISYMMETRY, AND A THEORY OF PIGEONS' EQUIVALENCE‐CLASS FORMATION","Associative Symmetry, Anti-Symmetry, and a Theory of Pigeons' Equivalence-Class Formation"
FLoRA vs Observatory,10.3758/s13428-020-01457-6,flora,10.1037//0096-1523.18.3.849,Temporary suppression of visual processing in an RSVP task: An attentional blink?,10.1037/0096-1523.18.3.849,Temporary suppression of visual processing in an RSVP task: An attentional blink?,"same DOI, formatting",work,work,side A writes the DOI with '//' or URL-encoding,,
