work_id,doi_r,has_fulltext,n_offered,packet,note
W2149746305,10.1111/j.1744-6570.1978.tb02130.x,False,17,analysis/pick_pilot/truth/packets/W2149746305.md,
W2153862402,10.1002/eat.20103,False,15,analysis/pick_pilot/truth/packets/W2153862402.md,
W2158965732,10.1002/elps.201100128,False,23,analysis/pick_pilot/truth/packets/W2158965732.md,
W2160820103,10.1017/s0272263100015394,False,9,analysis/pick_pilot/truth/packets/W2160820103.md,
W2169756025,10.1177/1352458509106509,False,14,analysis/pick_pilot/truth/packets/W2169756025.md,
W2316348164,10.1167/iovs.14-15105,False,32,analysis/pick_pilot/truth/packets/W2316348164.md,
W2323812506,10.1016/j.mgene.2016.03.007,True,29,analysis/pick_pilot/truth/packets/W2323812506.md,
W2330980526,10.2466/pms.1989.68.1.157,False,1,analysis/pick_pilot/truth/packets/W2330980526.md,
W2396759709,,False,59,analysis/pick_pilot/truth/packets/W2396759709.md,
W2409619434,10.1093/oxfordjournals.jpart.a037129,False,14,analysis/pick_pilot/truth/packets/W2409619434.md,
W2410862503,10.1080/09658211.2016.1189941,False,31,analysis/pick_pilot/truth/packets/W2410862503.md,
W2415466450,10.1037/xge0000102,False,29,analysis/pick_pilot/truth/packets/W2415466450.md,
W2509481270,10.1080/10586458.2016.1173413,False,5,analysis/pick_pilot/truth/packets/W2509481270.md,
W2568065332,10.1109/iwsm-mensura.2016.039,False,27,analysis/pick_pilot/truth/packets/W2568065332.md,
W2569068099,,False,29,analysis/pick_pilot/truth/packets/W2569068099.md,
W2607375323,10.1002/ajmg.a.38190,False,34,analysis/pick_pilot/truth/packets/W2607375323.md,
W2611033029,10.3928/01484834-20170421-06,False,8,analysis/pick_pilot/truth/packets/W2611033029.md,
W2758684098,10.1177/1073191117733548,False,20,analysis/pick_pilot/truth/packets/W2758684098.md,
W2803712352,10.1371/journal.pone.0210405,False,25,analysis/pick_pilot/truth/packets/W2803712352.md,
W2805652837,10.1186/s12967-018-1488-5,False,30,analysis/pick_pilot/truth/packets/W2805652837.md,
W2886050787,10.1111/jsr.12749,False,31,analysis/pick_pilot/truth/packets/W2886050787.md,
W2891080196,10.2117/psysoc.2017.57,False,32,analysis/pick_pilot/truth/packets/W2891080196.md,
W2900189521,10.1016/j.jad.2018.11.034,False,40,analysis/pick_pilot/truth/packets/W2900189521.md,
W2902994787,10.3758/s13414-018-1630-8,False,53,analysis/pick_pilot/truth/packets/W2902994787.md,
W2917335949,10.3389/fpsyg.2019.00375,False,40,analysis/pick_pilot/truth/packets/W2917335949.md,
W2920563568,10.15288/jsad.2019.80.86,False,38,analysis/pick_pilot/truth/packets/W2920563568.md,
W2946455910,10.1523/jneurosci.3184-18.2019,False,52,analysis/pick_pilot/truth/packets/W2946455910.md,
W2962759486,10.1111/1460-6984.12493,False,37,analysis/pick_pilot/truth/packets/W2962759486.md,
W2969917585,10.1098/rsos.190327,False,23,analysis/pick_pilot/truth/packets/W2969917585.md,
W2987221369,10.1080/19439342.2019.1679860,False,31,analysis/pick_pilot/truth/packets/W2987221369.md,
W2996503271,10.1007/s10680-019-09544-x,False,79,analysis/pick_pilot/truth/packets/W2996503271.md,
W3014898655,10.1177/1948550619887702,False,32,analysis/pick_pilot/truth/packets/W3014898655.md,
W3018465724,10.1523/eneuro.0332-19.2020,False,36,analysis/pick_pilot/truth/packets/W3018465724.md,
W3033731491,10.1002/jae.2782,False,10,analysis/pick_pilot/truth/packets/W3033731491.md,
W3086650132,10.3758/s13421-020-01092-8,False,68,analysis/pick_pilot/truth/packets/W3086650132.md,
W3093303837,10.1123/ijspp.2019-1032,True,35,analysis/pick_pilot/truth/packets/W3093303837.md,
W3110245614,10.1177/1747021820980301,False,38,analysis/pick_pilot/truth/packets/W3110245614.md,
W3112925835,10.16910/jemr.12.4.10,False,42,analysis/pick_pilot/truth/packets/W3112925835.md,
W3121137863,10.1108/jed-06-2019-0002,False,23,analysis/pick_pilot/truth/packets/W3121137863.md,
W3132038847,10.3389/fpsyg.2021.604843,False,51,analysis/pick_pilot/truth/packets/W3132038847.md,
W3135378492,10.1080/17470919.2021.1897672,False,46,analysis/pick_pilot/truth/packets/W3135378492.md,
W3135487730,10.1016/j.biopsycho.2021.108058,False,20,analysis/pick_pilot/truth/packets/W3135487730.md,
W3135757006,10.1108/ijoa-05-2020-2189,False,25,analysis/pick_pilot/truth/packets/W3135757006.md,
W3161170459,10.1109/saner50967.2021.00076,False,13,analysis/pick_pilot/truth/packets/W3161170459.md,
W3170874557,10.5753/sbqs.2016.15130,False,12,analysis/pick_pilot/truth/packets/W3170874557.md,
W3186526476,10.1002/jae.2851,False,7,analysis/pick_pilot/truth/packets/W3186526476.md,
W3200469149,10.1007/s11251-021-09556-3,False,55,analysis/pick_pilot/truth/packets/W3200469149.md,
W3209377451,10.1111/ejn.15512,False,53,analysis/pick_pilot/truth/packets/W3209377451.md,
W4210667094,10.1371/journal.pone.0262902,False,71,analysis/pick_pilot/truth/packets/W4210667094.md,
W4212798822,10.1515/itit-2021-0059,False,16,analysis/pick_pilot/truth/packets/W4212798822.md,
W4213336622,10.3758/s13415-022-00983-4,False,91,analysis/pick_pilot/truth/packets/W4213336622.md,
W4223897951,10.1177/17470218221097047,True,46,analysis/pick_pilot/truth/packets/W4223897951.md,
W4223909806,10.1101/2022.04.14.488346,True,51,analysis/pick_pilot/truth/packets/W4223909806.md,
W4223918717,10.1101/2022.03.25.22271678,False,19,analysis/pick_pilot/truth/packets/W4223918717.md,
W4224294983,10.3390/ijerph19084912,False,63,analysis/pick_pilot/truth/packets/W4224294983.md,
W4226030081,10.1371/journal.pone.0262718,True,113,analysis/pick_pilot/truth/packets/W4226030081.md,
W425089630,,False,12,analysis/pick_pilot/truth/packets/W425089630.md,
W4280557407,10.1177/03010066221096987,False,41,analysis/pick_pilot/truth/packets/W4280557407.md,
W4281751031,10.3758/s13414-022-02496-1,False,39,analysis/pick_pilot/truth/packets/W4281751031.md,
W4286633240,10.3390/safety8030050,True,22,analysis/pick_pilot/truth/packets/W4286633240.md,
W4293070373,10.3102/0013189x221118054,False,7,analysis/pick_pilot/truth/packets/W4293070373.md,
W4310679605,10.3390/su142316169,False,25,analysis/pick_pilot/truth/packets/W4310679605.md,
W4313327776,10.3390/vision7010003,False,33,analysis/pick_pilot/truth/packets/W4313327776.md,
W4323666946,10.3389/fpsyg.2023.1130632,False,48,analysis/pick_pilot/truth/packets/W4323666946.md,
W4327544368,10.1177/00332941231164079,False,29,analysis/pick_pilot/truth/packets/W4327544368.md,
W4362637974,10.1101/2023.04.03.23288037,True,45,analysis/pick_pilot/truth/packets/W4362637974.md,
W4366412447,10.1007/s10763-023-10368-9,True,26,analysis/pick_pilot/truth/packets/W4366412447.md,
W4378232441,10.3389/fonc.2023.1139347,False,30,analysis/pick_pilot/truth/packets/W4378232441.md,
W4378676700,10.1109/icstw58534.2023.00080,False,44,analysis/pick_pilot/truth/packets/W4378676700.md,
W4379985209,10.4013/sdrj.2022.152.07,True,32,analysis/pick_pilot/truth/packets/W4379985209.md,
W4383216503,10.1371/journal.pone.0287837,True,53,analysis/pick_pilot/truth/packets/W4383216503.md,
W4385330129,10.1152/ajpheart.00330.2023,False,43,analysis/pick_pilot/truth/packets/W4385330129.md,
W4385566310,10.1016/j.drugpo.2023.104146,False,16,analysis/pick_pilot/truth/packets/W4385566310.md,
W4385969725,10.1080/20008066.2023.2238492,False,59,analysis/pick_pilot/truth/packets/W4385969725.md,
W4389037127,10.1111/sltb.13024,True,67,analysis/pick_pilot/truth/packets/W4389037127.md,
W4389791525,10.1038/s41598-023-48874-z,False,58,analysis/pick_pilot/truth/packets/W4389791525.md,
W4391065910,10.1016/j.xjmad.2024.100050,True,55,analysis/pick_pilot/truth/packets/W4391065910.md,
W4391755671,10.1093/bjsw/bcae011,False,41,analysis/pick_pilot/truth/packets/W4391755671.md,
W4392096926,10.1038/s41398-024-02811-4,True,47,analysis/pick_pilot/truth/packets/W4392096926.md,
W4392504874,10.1016/j.jth.2024.101778,False,10,analysis/pick_pilot/truth/packets/W4392504874.md,
W4400983779,10.1177/00144029241259013,True,37,analysis/pick_pilot/truth/packets/W4400983779.md,
W4401879797,10.1109/compsac61105.2024.00022,False,22,analysis/pick_pilot/truth/packets/W4401879797.md,
W4402894108,10.1080/17524032.2024.2407647,False,68,analysis/pick_pilot/truth/packets/W4402894108.md,
W4405220932,10.1098/rsos.241120,False,33,analysis/pick_pilot/truth/packets/W4405220932.md,
W4406684369,10.1017/langcog.2024.76,False,30,analysis/pick_pilot/truth/packets/W4406684369.md,
W4407669232,10.1177/13872877251315044,False,17,analysis/pick_pilot/truth/packets/W4407669232.md,
W4408026543,10.1002/syn.70011,False,28,analysis/pick_pilot/truth/packets/W4408026543.md,
W4408695994,10.1371/journal.pone.0303918,False,89,analysis/pick_pilot/truth/packets/W4408695994.md,
W4409335964,10.12688/openreseurope.17749.2,False,57,analysis/pick_pilot/truth/packets/W4409335964.md,
W4411163069,10.1098/rsos.220497,False,40,analysis/pick_pilot/truth/packets/W4411163069.md,
W4411274169,10.3758/s13414-025-03095-6,False,15,analysis/pick_pilot/truth/packets/W4411274169.md,
W4413754387,10.1080/02699931.2025.2549318,False,80,analysis/pick_pilot/truth/packets/W4413754387.md,
W4413886734,10.1109/eurospw67616.2025.00063,False,48,analysis/pick_pilot/truth/packets/W4413886734.md,
W4415125743,10.1109/rew66121.2025.00014,False,21,analysis/pick_pilot/truth/packets/W4415125743.md,
W6940747618,10.1108/ajb-06-2013-0038?utm_campaign=repec&amp;wt.mc_id=repec,False,62,analysis/pick_pilot/truth/packets/W6940747618.md,
W7154754476,10.1007/s10803-026-07330-3,False,22,analysis/pick_pilot/truth/packets/W7154754476.md,
W7160216022,10.1007/s10515-026-00619-8,True,26,analysis/pick_pilot/truth/packets/W7160216022.md,
