category,field,value_as_given,observatory_records,n_records,replication_ids,stated_title,registry_title,suggested_doi,evidence
DOI for another paper,original_url,https://doi.org/10.1080/1068316x.2013.793337,3838,1,https://doi.org/10.1177/0306624x221133007,Plea bargaining and appraisals of eyewitness evidence by prosecutors and defense attorneys,Children's reporting patterns after witnessing homicidal violence – the effect of repeated experience and repeated interviews,10.1080/1068316x.2013.770855,registry title shares 5% of its words with the title given; Crossref search on the stated title finds 10.1080/1068316x.2013.770855 (“Plea bargaining and appraisals of eyewitness evidence by prosecutors and defense attorneys”)
DOI for another paper,original_url,https://doi.org/10.1093/scan/nsw017,"2458, 2459",2,https://doi.org/10.1093/scan/nsaa153,Neuromodulation of group prejudice and religious belief,Beta- and gamma-band activity reflect predictive coding in the processing of causal events,10.1093/scan/nsv107,registry title shares 6% of its words with the title given; Crossref search on the stated title finds 10.1093/scan/nsv107 (“Neuromodulation of group prejudice and religious belief”)
DOI for another paper,original_url,https://doi.org/10.1111/j.1467-7687.2011.01095.x,"5376, 5377, 5378, 5379, 5380, 5381",6,https://doi.org/10.1016/j.infbeh.2019.101340,Infants generate goal-based action predictions,Action production influences 12‐month‐old infants’ attention to others’ actions,10.1111/j.1467-7687.2011.01127.x,same-title comparison (FLoRA vs Observatory): A: article of record · B: DOI points to a different work: “Action production influences 12‐month‐old infants’ attention”
DOI for another paper,original_url,https://doi.org/10.1177/019027250807100104,2491,1,https://doi.org/10.1371/journal.pone.0255531,Altruism and indirect reciprocity: the interaction of person and situation in prosocial behavior,Calibrating Prejudice in Milliseconds,10.1177/019027250807100106,registry title shares 0% of its words with the title given; Crossref search on the stated title finds 10.1177/019027250807100106 (“Altruism and Indirect Reciprocity: The Interaction of Person and Situation in Prosocial Behavior”)
DOI for another paper,original_url,https://doi.org/10.1523/JNEUROSCI.0210-11.2011,"2435, 2436",2,https://doi.org/10.1016/j.cortex.2014.11.019,Distractibility in daily life is reflected in the structure of human parietal cortex,How Ongoing Neuronal Oscillations Account for Evoked fMRI Variability,,registry title shares 0% of its words with the title given
DOI for another paper,original_url,https://doi.org/10.1681/ASN.2012070675,2477,1,https://doi.org/10.1186/1471-2369-15-154,Infection risk with bolus versus maintenance iron supplementation in hemodialysis patients,Association between Younger Age When First Overweight and Increased Risk for CKD,10.1681/asn.2012121164,registry title shares 5% of its words with the title given; Crossref search on the stated title finds 10.1681/asn.2012121164 (“Infection Risk with Bolus versus Maintenance Iron Supplementation in Hemodialysis Patients”)
Faculty Opinions record,original_url,https://doi.org/10.3410/f.1090454.543956,6312,1,https://doi.org/10.1371/journal.pone.0004137,Large-scale genetic fine mapping and genotype-phenotype associations implicate polymorphism in the IL2RA region in type 1 diabetes,Faculty Opinions recommendation of Large-scale genetic fine mapping and genotype-phenotype associations implicate polymorphism in the IL2RA region in type 1 diabetes.,10.1038/ng2102,"Crossref: a Faculty Opinions recommendation of the article, not the article"
Faculty Opinions record,original_url,https://doi.org/10.3410/f.1163537.625280,7127,1,https://doi.org/10.3899/jrheum.110199,"REL, encoding a member of the NF-kB family of transcription factors, is a newly defined risk locus for rheumatoid arthritis","Faculty Opinions recommendation of REL, encoding a member of the NF-kappaB family of transcription factors, is a newly defined risk locus for rheumatoid arthritis.",10.1038/ng.395,"Crossref: a Faculty Opinions recommendation of the article, not the article"
Faculty Opinions record,original_url,https://doi.org/10.3410/f.2137000.1737107,6772,1,https://doi.org/10.3233/jad-132432,Common variants at 7p21 are associated with frontotemporal lobar degeneration with TDP-43 inclusions,Faculty Opinions recommendation of Common variants at 7p21 are associated with frontotemporal lobar degeneration with TDP-43 inclusions.,10.1038/ng.536,"Crossref: a Faculty Opinions recommendation of the article, not the article; same-title comparison (pipeline vs Observatory): A: article of record · B: DOI points to a notice/reply: “Faculty Opinions recommendation of Common variants at 7p21 a”"
Faculty Opinions record,original_url,https://doi.org/10.3410/f.717957357.793461843,6133,1,https://doi.org/10.1182/blood-2016-07-728063,Single nucleotide polymorphisms and outcome risk in unrelated mismatched hematopoietic stem cell transplantation: an exploration study,Faculty Opinions recommendation of Single nucleotide polymorphisms and outcome risk in unrelated mismatched hematopoietic stem cell transplantation: an exploration study.,10.1182/blood-2012-01-406785,"Crossref: a Faculty Opinions recommendation of the article, not the article"
"Semantic Scholar URL, not a DOI",original_url,https://pdfs.semanticscholar.org/16af/db45ada4a1951aa464be49ef82ac6eebf0c1.pdf?_ga=2.227535963.756229126.1510337183-1264817730.1510337183,666,1,https://doi.org/10.1177/1745691615577701,,,,Semantic Scholar PDF link
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/02cf8dd74bf6f25c777cd53dfb57efc52367b07f,5846,1,https://doi.org/10.1145/1368088.1368115,The camel has two humps (working title),The camel has two humps (working title),,S2 record: The camel has two humps (working title) (2006)
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/0cd7452983ab2959d753068937fae47d9b921f16,6685,1,https://doi.org/10.23918/ijsses.v8i3p161,Using the L1 in the English classroom,Using the L1 in the English Classroom.,,S2 record: Using the L1 in the English Classroom. (2002)
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/28afeddeaafb0bb57e4913dccd3198cfbfaeb973,1351,1,https://doi.org/10.1257/aer.91.5.1508,Information Cascades in the Laboratory,Information Cascades in the Laboratory,,S2 record: Information Cascades in the Laboratory (1998)
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/3a3c847fa514fca8145c09360ce41d9d0e34fd27,6624,1,https://doi.org/10.1901/jaba.2000.33-239,Merging research and practice: The example of positive peer reporting applied to social rejection,Merging Research and Practice: The Example of Positive Peer Reporting Applied to Social Rejection.,,S2 record: Merging Research and Practice: The Example of Positive Peer Reporting Applied to Social Rejection. (1999)
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/4d65fc8ee7c923b2b67ad7b8cb8a01eb55ee4dc8,4411,1,https://doi.org/10.1016/0277-9536(82)90304-5,Social functions of medical practice,Social functions of medical practice,,S2 record: Social functions of medical practice (1970)
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/50d23e4e1050bf6a0bd0bbc20926ae5a3f160345,"6591, 6753",2,https://doi.org/10.18103/mra.v9i11.2605 | https://doi.org/10.3109/15368378.2013.776437,Provocation study using heart rate variability shows microwave radiation from 2.4 GHz cordless phone affects autonomic nervous system,Provocation study using heart rate variability shows microwave radiation from 2.4 GHz cordless phone affects autonomic nervous system,,S2 record: Provocation study using heart rate variability shows microwave radiation from 2.4 GHz cordless phone affects autonomic nervous system (2011)
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/59d1e822173976b901623724d8c36c8e5491c102,7169,1,https://doi.org/10.5860/lrts.41n3.219,Comparative searching styles of patrons and staff,Comparative Searching Styles of Patrons and Staff.,,S2 record: Comparative Searching Styles of Patrons and Staff. (1994)
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/5d24c35f98ff47ea75bbe72fd8dc0adcf4de501d,6272,1,https://doi.org/10.1207/s15327906mbr0104_1,"Behavioral Characteristics of Children Known to Psychiatric Out-Patient Clinics (with special attention to adoption status, sex, and age groupings)","Behavioral characteristics of children known to psychiatric outpatient clinics : with special attention to adoption status, sex, and age groupings",,"S2 record: Behavioral characteristics of children known to psychiatric outpatient clinics : with special attention to adoption status, sex, and age groupings (1965)"
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/640fcb18b5107af9dc84941c8969a6a819fcf714,4520,1,https://doi.org/10.1016/j.cogdev.2010.02.001,Conceptual change in childhood,Conceptual Change in Childhood,,S2 record: Conceptual Change in Childhood (1985)
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/6e35407389f88665eabca4e614f659b2251653ca,6701,1,https://doi.org/10.2466/pms.1988.66.1.192,A non-vocal system for teaching retarded children to read and write,A nonvocal system for teaching retarded children to read and write.,,S2 record: A nonvocal system for teaching retarded children to read and write. (1978)
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/7a3ab9619033ecc7caa5ec6f94d89164dd52ae9d,1392,1,https://doi.org/10.3386/w19442,Inflation Expectations and the Evolution of U.S. Inflation,Inflation Expectations and the Evolution of U.S. Inflation,,S2 record: Inflation Expectations and the Evolution of U.S. Inflation (2011)
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/829d0ffebecc73546c6c9fb92584047b0aa7004c,5854,1,https://doi.org/10.1145/3481357.3481508,"""I was told to buy a software or lose my computer. I ignored it"": A study of ransomware","""I was told to buy a software or lose my computer. I ignored it"": A study of ransomware",,"S2 record: ""I was told to buy a software or lose my computer. I ignored it"": A study of ransomware (2019)"
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/a2169e68c00d2dacc7ece343889fab24242ff69d,5179,1,https://doi.org/10.1080/00221325.1961.10534372,Le développement des quantités chez l'enfant,Le développement des quantités chez l'enfant.,,S2 record: Le développement des quantités chez l'enfant. (1941)
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/a58babd02554bcd8b3eb8d47ed9a2d43130cd4b7,6684,1,https://doi.org/10.23918/ijsses.v8i3p161,Using L1 in the L2 classroom,Using L1 in the L2 Classroom.,,S2 record: Using L1 in the L2 Classroom. (1999)
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/ad2c4e3d7629cc2190b665086f6c484bb0170a3f,7140,1,https://doi.org/10.4236/psych.2013.43a055,Behavioral strategy on nutritional education,Behavioral strategy on nutritional education,,S2 record: Behavioral strategy on nutritional education (2009)
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/ae82470f6ab177c58e8ac41a8a970f5d12477a13,4336,1,https://doi.org/10.1007/s11524-012-9731-5,Evaluation of CeaseFire-Chicago,Evaluation of CeaseFire-Chicago,,S2 record: Evaluation of CeaseFire-Chicago (2012)
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/b8de958fead0d8a9619b55c7299df3257c624a96,6577,1,https://doi.org/10.1609/aaai.v39i25.34818,Decaf: A deep convolutional activation feature for generic visual recognition,DeCAF: A Deep Convolutional Activation Feature for Generic Visual Recognition,,S2 record: DeCAF: A Deep Convolutional Activation Feature for Generic Visual Recognition (2013)
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/c7a4263251c0702a63b3ae4aded4d489c3e1a6ed,6502,1,https://doi.org/10.1515/phon-2023-0012,Phonetic reflexes of orthographic characteristics in lexical representation,PHONETIC REFLEXES OF ORTHOGRAPHIC CHARACTERISTICS IN LEXICAL REPRESENTATION,,S2 record: PHONETIC REFLEXES OF ORTHOGRAPHIC CHARACTERISTICS IN LEXICAL REPRESENTATION (2008)
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/cbb85126a43007ee55d5ba6534da2dde63a7d45c,1252,1,https://doi.org/10.1016/j.strueco.2018.01.002,Was the deflation during the great depression anticipated? Evidence from the commodity futures market,Was the Deflation during the Great Depression Anticipated? Evidence from the Commodity Futures Market,,S2 record: Was the Deflation during the Great Depression Anticipated? Evidence from the Commodity Futures Market (1992)
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/cd8719a53517891ebccc46e09cf6c9a11d176f68,7130,1,https://doi.org/10.3928/02793695-20121204-01,Attitudes towards attempted suicide: The development of a measurement tool,Attitudes towards attempted suicide: the development of a measurement tool,,S2 record: Attitudes towards attempted suicide: the development of a measurement tool (2009)
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/dafeb437049c75e0c25431627c9b8aaebf57c16b,6783,1,https://doi.org/10.32996/ijllt.2023.6.6.5,Primary teachers' opinion about homework,Primary Teachers Opinion about Homework.,,S2 record: Primary Teachers Opinion about Homework. (2015)
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/e16e5d9d98a03df47c1e53027bfc47ceef071d4b,5897,1,https://doi.org/10.1159/000049331,Parental rearing styles and psychopathology: Notes on the validity of questionnaires for recalled parental behaviour,Parental rearing styles and psychopathology: Notes on the validity of questionnaires for recalled parental behavior,,S2 record: Parental rearing styles and psychopathology: Notes on the validity of questionnaires for recalled parental behavior (1994)
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/e23556c56ed6d164484f4ea531911490fb59fadf,5268,1,https://doi.org/10.1080/15332276.2018.1525270,Teacher perceptions of gifted and talented certification in a Southern California school district,Teacher perceptions of gifted and talented certification in a southern California school district,,S2 record: Teacher perceptions of gifted and talented certification in a southern California school district (2006)
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/e81c475c9a2172ca7bb121a92a290f1a4ded594c,5367,1,https://doi.org/10.1016/j.ijpsycho.2021.03.003,The tell-tale eye: how your eyes reveal hidden thoughts and emotions,The tell-tale eye: How your eyes reveal hidden thoughts and emotions,,S2 record: The tell-tale eye: How your eyes reveal hidden thoughts and emotions (1975)
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/e9a882e49c2ea56fa940eecf83f5dcdbf528ec9c,1267,1,https://doi.org/10.1080/0003684042000229532,"Career mobility, job match, and overeducation","Career Mobility, Job Match, and Overeducation",,"S2 record: Career Mobility, Job Match, and Overeducation (1995)"
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/f3fba9d334f265adff6093343453abfd93904fb4,7166,1,https://doi.org/10.5406/visuartsrese.37.1.0016,Does practice make perfect? Children's and adults' constructions of graphic merit and development: A cross-cultural study,Does Practice Make Perfect? Children's and Adults' Constructions of Graphic Merit and Development: A Crosscultural Study,,S2 record: Does Practice Make Perfect? Children's and Adults' Constructions of Graphic Merit and Development: A Crosscultural Study (2007)
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/f45d825d670811c83dbe4cecb2f7d423e6de3090,6712,1,https://doi.org/10.2466/pr0.1967.20.3c.1023,Behavior of planaria in instrumental learning paradigms,Behavior of Planaria in Instrumental Learning Paradigms,,S2 record: Behavior of Planaria in Instrumental Learning Paradigms (1963)
"Semantic Scholar URL, not a DOI",original_url,https://www.semanticscholar.org/paper/f6d61313416087eebdf25aa29c7c96340f43024b,6733,1,https://doi.org/10.3102/00028312211066848,Impact evaluation of the Minnesota Reading Corps K-3 program,Impact Evaluation of the Minnesota Reading Corps K-3 Program.,,S2 record: Impact Evaluation of the Minnesota Reading Corps K-3 Program. (2014)
author response / peer review,original_url,https://doi.org/10.7554/elife.63751.sa2,6845,1,https://doi.org/10.3389/fnint.2023.935177,"Learning precise spatiotemporal sequences via biophysically realistic learning rules in a modular, spiking network","Author response: Learning precise spatiotemporal sequences via biophysically realistic learning rules in a modular, spiking network",10.7554/elife.63751,"Crossref type peer-review; same-title comparison (pipeline vs Observatory): A: article of record · B: DOI points to a peer review, not the article"
author response / peer review,replication_url,https://doi.org/10.24072/pci.rr.100998.ar1,"6690, 6691",2,https://doi.org/10.24072/pci.rr.100998.ar1,Author response of: A multilab investigation into the N2pc as an indicator of attentional selectivity: Direct replication of Eimer (1996). Round#1,Author response of: A multilab investigation into the N2pc as an indicator of attentional selectivity: Direct replication of Eimer (1996). Round#1,,registry title is an author response to reviewers
"book review, not the work",original_url,https://doi.org/10.1016/0142-694X(82)90089-8,"5988, 5989",2,https://doi.org/10.1177/0022022100031003001,Culture's consequences: International differences in work-related values,Culture's consequences: international differences in work-related values,,"same-title comparison (pipeline vs Observatory): both DOIs are book REVIEWS (ASQ 1983, Design Studies 1982) of Hofstede's Culture's Consequences (1980), a book with no DOI"
erratum / correction notice,original_url,https://doi.org/10.1017/S2045796019000337,5778,1,https://doi.org/10.1111/jcpp.13682,A risk calculator to predict adult attention-deficit/hyperactivity disorder: generation and external validation in three birth cohorts and one clinical sample,A risk calculator to predict adult attention-deficit/hyperactivity disorder: generation and external validation in three birth cohorts and one clinical sample - ERRATUM,10.1017/s2045796019000283,Crossref registers this DOI as a correction of 10.1017/s2045796019000283; same-title comparison (pipeline vs Observatory): A: article of record · B: Crossref marks this DOI as a correction of another DOI
erratum / correction notice,original_url,https://doi.org/10.1037/0022-3514.94.3.545,97,1,https://doi.org/10.1126/science.aac4716,"""Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control"": Correction to Amodio et al. (2008).","""Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control"": Correction to Amodio et al. (2008).",10.1037/0022-3514.94.1.60,Crossref registers this DOI as a correction of 10.1037/0022-3514.94.1.60
erratum / correction notice,original_url,https://doi.org/10.1038/mp.2015.118,"5442, 8737",2,https://doi.org/10.1038/mp.2015.209 | https://doi.org/10.1038/s41598-017-18950-2,Subcortical brain volume abnormalities in 2028 individuals with schizophrenia and 2540 healthy controls via the ENIGMA consortium,Erratum: Subcortical brain volume abnormalities in 2028 individuals with schizophrenia and 2540 healthy controls via the ENIGMA consortium,10.1038/mp.2015.63,Crossref registers this DOI as a erratum of 10.1038/mp.2015.63; same-title comparison (pipeline vs Observatory): A: article of record · B: DOI points to a notice/reply: “Erratum: Subcortical brain volume abnormalities in 2028 indi”
erratum / correction notice,original_url,https://doi.org/10.1038/nature10396,7329,1,https://doi.org/10.1002/ajmg.b.32145,Post-traumatic stress disorder is associated with PACAP and the PAC1 receptor,Post-traumatic stress disorder is associated with PACAP and the PAC1 receptor,10.1038/nature09856,Crossref registers this DOI as a addendum of 10.1038/nature09856; same-title comparison (pipeline vs Observatory): A: article of record · B: Crossref marks this DOI as a addendum of another DOI
erratum / correction notice,original_url,https://doi.org/10.1038/s41598-021-00055-6,4492,1,https://doi.org/10.1016/j.bpsc.2024.06.004,Individual alpha peak frequency is slower in schizophrenia and related to deficits in visual perception and cognition,Author Correction: Individual alpha peak frequency is slower in schizophrenia and related to deficits in visual perception and cognition,10.1038/s41598-021-97303-6,Crossref registers this DOI as a correction of 10.1038/s41598-021-97303-6
erratum / correction notice,original_url,https://doi.org/10.1093/scan/nsx024,8554,1,https://doi.org/10.1016/j.neuroimage.2019.116115,Affective facilitation of early visual cortex during rapid picture presentation at 6 and 15 Hz,Corrigendum to: Affective facilitation of early visual cortex during rapid picture presentation at 6 and 15 Hz,10.1093/scan/nsv058,registry title is a correction notice; Crossref search on the stated title finds 10.1093/scan/nsv058 (“Affective facilitation of early visual cortex during rapid picture presentation at 6 and 15 Hz”)
erratum / correction notice,original_url,https://doi.org/10.1371/journal.pone.0101091,8313,1,https://doi.org/10.1177/1029864918811879,Correction: The Musicality of Non-Musicians: An Index for Assessing Musical Sophistication in the General Population,Correction: The Musicality of Non-Musicians: An Index for Assessing Musical Sophistication in the General Population,10.1371/journal.pone.0089642,Crossref registers this DOI as a correction of 10.1371/journal.pone.0089642
erratum / correction notice,replication_url,https://doi.org/10.1016/j.cortex.2017.03.007,"2793, 2794, 2795, 2796, 2797",5,https://doi.org/10.1016/j.cortex.2017.03.007,Corrigendum to “A purely confirmatory replication study of structural brain-behavior correlations” [Cortex 66 (2015) 115–133],Corrigendum to “A purely confirmatory replication study of structural brain-behavior correlations” [Cortex 66 (2015) 115–133],10.1016/j.cortex.2014.11.019,Crossref registers this DOI as a erratum of 10.1016/j.cortex.2014.11.019
erratum / correction notice,replication_url,https://doi.org/10.1017/s000305540505166x,8176,1,https://doi.org/10.1017/s000305540505166x,"Correction to Gerber and Green (2000), Replication of Disputed Findings, and Reply to Imai (2005)","Correction to Gerber and Green (2000), Replication of Disputed Findings, and Reply to Imai (2005)",,registry title is a correction notice
journal-issue DOI,original_url,https://doi.org/10.1002/pam.2013.32.issue-3,1279,1,https://doi.org/10.1080/14719037.2017.1295099,An Experimental Test of the Expectancy-Disconfirmation Theory of Citizen Satisfaction,(journal issue),10.1002/pam.21702,"Crossref type journal-issue; same-title comparison (pipeline vs Observatory): A: article of record · B: DOI points to a journal issue, not the article"
journal-issue DOI,original_url,https://doi.org/10.1111/desc.1998.1.issue-2,5476,1,https://doi.org/10.1080/14616734.2016.1181096,Parental loss of close family members and propensities towards absorption in offspring,(journal issue),10.1111/1467-7687.00045,"Crossref type journal-issue; same-title comparison (pipeline vs Observatory): A: article of record · B: DOI points to a journal issue, not the article"
malformed DOI string,original_url,https://doi.org/10.1016/S0022-1031%2802%2900011-2,1941,1,https://doi.org/10.1037/xge0000102,Thinking about the self influences thinking in general: Cognitive consequences of salient self-concept,Thinking about the self influences thinking in general: cognitive consequences of salient self-concept,10.1016/s0022-1031(02)00011-2,"junk appended, URL-encoding or a doubled doi.org prefix; the leading DOI resolves"
malformed DOI string,original_url,https://doi.org/https://doi.org/10.1037/ebs0000028,26,1,https://doi.org/10.1037/ebs0000279,Germs and the out-group: Chronic and situational disease concerns affect intergroup categorization.,Germs and the out-group: Chronic and situational disease concerns affect intergroup categorization.,10.1037/ebs0000028,"junk appended, URL-encoding or a doubled doi.org prefix; the leading DOI resolves"
malformed DOI string,replication_url,https://doi.org/10.1017/s0003055405051658 (Case Conflict 1),1259,1,https://doi.org/10.1017/s0003055405051658 (Case Conflict 1),Do Get-Out-the-Vote Calls Reduce Turnout? The Importance of Statistical Methods for Field Experiments,Do Get-Out-the-Vote Calls Reduce Turnout? The Importance of Statistical Methods for Field Experiments,10.1017/s0003055405051658,"junk appended, URL-encoding or a doubled doi.org prefix; the leading DOI resolves"
malformed DOI string,replication_url,https://doi.org/10.1017/s0003055405051658 (Case Conflict 2),1260,1,https://doi.org/10.1017/s0003055405051658 (Case Conflict 2),Do Get-Out-the-Vote Calls Reduce Turnout? The Importance of Statistical Methods for Field Experiments,Do Get-Out-the-Vote Calls Reduce Turnout? The Importance of Statistical Methods for Field Experiments,10.1017/s0003055405051658,"junk appended, URL-encoding or a doubled doi.org prefix; the leading DOI resolves"
malformed DOI string,replication_url,https://doi.org/10.1017/s0003055405051658 (Case Conflict),1261,1,https://doi.org/10.1017/s0003055405051658 (Case Conflict),Do Get-Out-the-Vote Calls Reduce Turnout? The Importance of Statistical Methods for Field Experiments,Do Get-Out-the-Vote Calls Reduce Turnout? The Importance of Statistical Methods for Field Experiments,10.1017/s0003055405051658,"junk appended, URL-encoding or a doubled doi.org prefix; the leading DOI resolves"
malformed DOI string,replication_url,https://doi.org/10.1073/pnas.2402315121 sapp,"8773, 8774, 8775, 8776, 8777, 8778, 8779",7,https://doi.org/10.1073/pnas.2402315121 sapp,Does thinking about God increase acceptance of artificial intelligence in decision-making?,Does thinking about God increase acceptance of artificial intelligence in decision-making?,10.1073/pnas.2402315121,"junk appended, URL-encoding or a doubled doi.org prefix; the leading DOI resolves"
malformed DOI string,replication_url,https://doi.org/10.1371/journal.pone.0147770 ; 10.1371/journal.pone.0147770.s002,941,1,https://doi.org/10.1371/journal.pone.0147770 ; 10.1371/journal.pone.0147770.s002,No Evidence of the Ego-Depletion Effect across Task Characteristics and Individual Differences: A Pre-Registered Study,No Evidence of the Ego-Depletion Effect across Task Characteristics and Individual Differences: A Pre-Registered Study,10.1371/journal.pone.0147770,"junk appended, URL-encoding or a doubled doi.org prefix; the leading DOI resolves"
malformed DOI string,replication_url,https://doi.org/10.17605/OSF.IO%2FVK6D9,165,1,https://doi.org/10.17605/OSF.IO%2FVK6D9,"Replication of Nurmsoo & Bloom (2008, PS, Study 1)",,10.17605/osf.io/vk6d9,junk appended or URL-encoded
malformed DOI string,replication_url,https://doi.org/paper,7362,1,https://doi.org/paper,,,,not a DOI
reply / comment instead of the article,original_url,https://doi.org/10.1126/science.1246799,1202,1,https://doi.org/10.1007/s11238-021-09836-x,Poverty impedes cognitive function,Response to Comment on “Poverty Impedes Cognitive Function”,10.1126/science.1238041,registry title is a reply or comment; same-title comparison (FLoRA vs Observatory): A: article of record · B: DOI points to a notice/reply: “Response to Comment on “Poverty Impedes Cognitive Function””
