work_id,truth_conf,truth_keys,not_a_replication,old,new,new_method,match_change,old_title,new_title
W2149746305,medium,@burke1969,False,right,right,llm_references,same original,CHARACTERISTICS OF EFFECTIVE EMPLOYEE PERFORMANCE REVIEW AND DEVELOPMENT INTERVI,CHARACTERISTICS OF EFFECTIVE EMPLOYEE PERFORMANCE REVIEW AND DEVELOPMENT INTERVI
W2153862402,medium,@gilbert2003,False,right,right,llm_references,same original,Social anxiety and social comparison: differential links with restrictive and bu,Social anxiety and social comparison: differential links with restrictive and bu
W2158965732,medium,@initiative2007 @yang2009,False,right,none,target_pending,declined (no original),A common variant of HMGA2 is associated with adult and childhood height in the g,
W2160820103,high,@vanpatten1993,False,right,right,llm_references,same original,Explicit Instruction and Input Processing,Explicit Instruction and Input Processing
W2169756025,high,@byun2008,False,right,right,llm_references,same original,Genome-Wide Pharmacogenomic Analysis of the Response to Interferon Beta Therapy ,Genome-Wide Pharmacogenomic Analysis of the Response to Interferon Beta Therapy 
W2316348164,high,@verhoeven2013 @kiefer2013,False,right,right,llm_references,same original,Genome-wide meta-analyses of multiancestry cohorts identify multiple new suscept,Genome-wide meta-analyses of multiancestry cohorts identify multiple new suscept
W2323812506,high,@raleigh2008 @khoury2013,False,partial,right,llm_references,overlap (added/dropped an original),Variants within the<i>MMP3</i>gene are associated with Achilles tendinopathy: po,Variants within the<i>MMP3</i>gene are associated with Achilles tendinopathy: po
W2330980526,high,@radin1984,False,right,right,llm_references,same original,A Possible Proximity Effect on Human Grip Strength,A Possible Proximity Effect on Human Grip Strength
W2396759709,high,@gantman2011,False,wrong,wrong,llm_references,same original,A Randomized Controlled Trial to Improve Social Skills in Young Adults with Auti,A Randomized Controlled Trial to Improve Social Skills in Young Adults with Auti
W2409619434,high,@rusbult1985,False,right,right,llm_references,same original,When Bureaucrats Get the Blues: Responses to Dissatisfaction Among Federal Emplo,When Bureaucrats Get the Blues: Responses to Dissatisfaction Among Federal Emplo
W2410862503,high,@sartori2008,False,right,right,llm_references,same original,How to Accurately Detect Autobiographical Events,How to Accurately Detect Autobiographical Events
W2415466450,high,@khnen2002 @oyserman2009,False,right,right,llm_references,same original,Thinking about the self influences thinking in general: cognitive consequences o,Thinking about the self influences thinking in general: cognitive consequences o
W2509481270,medium,,True,wrong(not_a_replication),wrong(not_a_replication),keyed_link_disputed,same original,Reproducibility in Computational Science: A Case Study: Randomness of the Digits,Reproducibility in Computational Science: A Case Study: Randomness of the Digits
W2568065332,high,@hussain2012,False,right,right,llm_references,same original,Approximation of COSMIC functional size to support early effort estimation in Ag,Approximation of COSMIC functional size to support early effort estimation in Ag
W2569068099,high,not_on_list,False,wrong,none,target_pending,declined (no original),A Research Note on the Effects of Gender and Task Complexity on an Audit Judgmen,
W2607375323,high,@sun2015,False,right,right,llm_references,same original,Genome-wide association study identifies a new susceptibility locus for cleft li,Genome-wide association study identifies a new susceptibility locus for cleft li
W2611033029,medium,@giddens2007b,False,right,wrong,llm_references,different original,A Survey of Physical Assessment Techniques Performed by RNs: Lessons for Nursing,A Survey of Physical Examination Skills Taught in Undergraduate Nursing Programs
W2758684098,high,@murray2016,False,right,right,llm_references,same original,Investigating diagnostic bias in autism spectrum conditions: An item response th,Investigating diagnostic bias in autism spectrum conditions: An item response th
W2803712352,high,@baird2012,False,right,right,llm_references,same original,Effect of a cash transfer programme for schooling on prevalence of HIV and herpe,Effect of a cash transfer programme for schooling on prevalence of HIV and herpe
W2805652837,medium,@haas2016,False,right,right,llm_references,same original,A Multicenter Study of the Predictive Value of Crescents in IgA Nephropathy,A Multicenter Study of the Predictive Value of Crescents in IgA Nephropathy
W2886050787,high,@wamsley2010,False,right,right,llm_references,same original,Dreaming of a Learning Task Is Associated with Enhanced Sleep-Dependent Memory C,Dreaming of a Learning Task Is Associated with Enhanced Sleep-Dependent Memory C
W2891080196,high,@cook2011,False,right,right,llm_references,same original,Automatic imitation in a strategic context: players of rock–paper–scissors imita,Automatic imitation in a strategic context: players of rock–paper–scissors imita
W2900189521,medium,@harvey2017,False,right,right,llm_references,same original,Determination of a clinically important difference and definition of a responder,Determination of a clinically important difference and definition of a responder
W2902994787,high,@jones2009,False,right,right,llm_title_search,same original,Good vibrations: Human interval timing in the vibrotactile modality,Good vibrations: Human interval timing in the vibrotactile modality
W2917335949,high,@eitam2013,False,right,right,llm_references,same original,Blinded by irrelevance: Pure irrelevance induced “blindness”.,Blinded by irrelevance: Pure irrelevance induced “blindness”.
W2920563568,high,@boissoneault2014,False,right,right,llm_references,same original,"Acute Effects of Moderate Alcohol on Psychomotor, Set Shifting, and Working Memo","Acute Effects of Moderate Alcohol on Psychomotor, Set Shifting, and Working Memo"
W2946455910,medium,@cecere2014 @keil2017,False,right,right,llm_title_search,overlap (added/dropped an original),Individual Differences in Alpha Frequency Drive Crossmodal Illusory Perception,Individual differences in alpha frequency drive crossmodal illusory perception |
W2962759486,high,@aichert2016,False,right,right,llm_references,same original,The role of metrical information in apraxia of speech. Perceptual and acoustic a,The role of metrical information in apraxia of speech. Perceptual and acoustic a
W2969917585,high,@ericsson1993,False,right,right,llm_references,same original,The role of deliberate practice in the acquisition of expert performance.,The role of deliberate practice in the acquisition of expert performance.
W2987221369,high,@aker2016,False,right,right,llm_references,same original,Payment Mechanisms and Antipoverty Programs: Evidence from a Mobile Money Cash T,Payment Mechanisms and Antipoverty Programs: Evidence from a Mobile Money Cash T
W2996503271,high,@berg2018,False,right,right,llm_references,same original,Family Structure and Early Home Leaving: A Mediation Analysis,Family Structure and Early Home Leaving: A Mediation Analysis
W3014898655,high,@dang2017b,False,wrong,wrong,llm_references,different original,A Multilab Preregistered Replication of the Ego-Depletion Effect,Ego Depletion Reduces Attention Control: Evidence From Two High-Powered Preregis
W3018465724,medium,@jaramillo2016,False,wrong,right,llm_title_search,different original,Shank3 mutant mice display autistic-like behaviours and striatal dysfunction,Novel Shank3 mutant exhibits behaviors with face validity for autism and altered
W3033731491,high,@levitt2001,False,right,right,llm_references,same original,How Dangerous Are Drinking Drivers?,How Dangerous Are Drinking Drivers?
W3086650132,high,@vanaken2020,False,right,right,llm_references,same original,I like you better when you are coherent. Narrating autobiographical memories in ,I like you better when you are coherent. Narrating autobiographical memories in 
W3093303837,high,@pickering2019,False,right,right,llm_references,same original,A Genome-Wide Association Study of Sprint Performance in Elite Youth Football Pl,A Genome-Wide Association Study of Sprint Performance in Elite Youth Football Pl
W3110245614,high,@waris2020,False,right,right,llm_references,same original,Spontaneous strategy use during a working memory updating task,Spontaneous strategy use during a working memory updating task
W3112925835,high,@jainta2012,False,wrong,wrong,llm_references,same original,Binocular Advantages in Reading,Binocular Advantages in Reading
W3121137863,high,@mu2011,False,right,right,llm_references,same original,Rural Roads and Local Market Development in Vietnam,Rural Roads and Local Market Development in Vietnam
W3132038847,medium,@sweis2018 @abram2015,False,right,right,llm_title_search,same original,"Sensitivity to “sunk costs” in mice, rats, and humans","Sensitivity to ""sunk costs"" in mice, rats, and humans"
W3135378492,medium,@inagaki2018,False,right,partial,llm_references | llm_title_search,overlap (added/dropped an original),Taking rejection to heart: Associations between blood pressure and sensitivity t,Taking rejection to heart: Associations between blood pressure and sensitivity t
W3135487730,high,@benschop2019,False,right,right,llm_references,same original,Electroencephalogram Resting State Frequency Power Characteristics of Suicidal B,Electroencephalogram Resting State Frequency Power Characteristics of Suicidal B
W3135757006,high,@waal2016,False,right,right,llm_references,same original,Suitability of the high performance organization framework to Egyptian ICT compa,Suitability of the high performance organization framework to Egyptian ICT compa
W3161170459,high,@li2020,False,right,right,llm_references,same original,Automatic Identification of Decisions from the Hibernate Developer Mailing List,Automatic Identification of Decisions from the Hibernate Developer Mailing List
W3170874557,medium,@mello2012 not_on_list,False,right,right,llm_references,same original,Checklist-Based Inspection Technique for Feature Models Review,Checklist-Based Inspection Technique for Feature Models Review
W3186526476,high,@becker2009,False,right,right,llm_references,same original,Was Weber Wrong? A Human Capital Theory of Protestant Economic History *,Was Weber Wrong? A Human Capital Theory of Protestant Economic History *
W3200469149,high,@nachtigall2018,False,wrong,right,llm_title_search,different original,Der Einfluss der Lernumgebung auf die (wahrgenommene) Authentizität der linguist,Authentisch ist nicht gleich authentisch – Wie Schülerinnen und Schüler die Auth
W3209377451,medium,@schretlen2013 @schretlen2014,False,right,right,llm_references,overlap (added/dropped an original),Brain white matter volume abnormalities in Lesch-Nyhan disease and its variants,Regional brain volume abnormalities in Lesch-Nyhan disease and its variants: a c
W4210667094,medium,@geaney2015 @ohmann2020,False,wrong,partial,llm_title_search,overlap (added/dropped an original),Worth the ‘EEfRT’? The Effort Expenditure for Rewards Task as an Objective Measu,Worth the 'EEfRT'? The effort expenditure for rewards task as an objective measu
W4212798822,high,@mireles2016,False,right,right,llm_references,same original,Extracting attack narratives from traffic datasets,Extracting attack narratives from traffic datasets
W4213336622,high,@grunwald2014,False,right,right,llm_references,same original,EEG changes caused by spontaneous facial self-touch may represent emotion regula,EEG changes caused by spontaneous facial self-touch may represent emotion regula
W4223897951,high,@griskevicius2013 @kelley2015 @bulley2018,False,right,partial,llm_references | llm_title_search,overlap (added/dropped an original),"When the Economy Falters, Do People Spend or Save? Responses to Resource Scarcit",The influence of mortality and socioeconomic status on risk and delayed rewards:
W4223909806,high,,True,wrong(not_a_replication),wrong(not_a_replication),llm_references,same original,"Defective apoptotic cell contractility provokes sterile inflammation, leading to","Defective apoptotic cell contractility provokes sterile inflammation, leading to"
W4223918717,high,@baldassarri2021,False,right,right,llm_references,same original,Shorter androgen receptor polyQ alleles protect against life-threatening COVID-1,Shorter androgen receptor polyQ alleles protect against life-threatening COVID-1
W4224294983,high,@shek2020c,False,wrong,right,llm_references,different original,The Cost of Materialism in a Collectivistic Culture: Predicting Risky Behavior E,Concurrent and Longitudinal Predictors of Adolescent Delinquency in Mainland Chi
W4226030081,high,@london2021,False,right,right,llm_references,same original,No Effect of Transcranial Direct Current Stimulation over Left Dorsolateral Pref,No Effect of Transcranial Direct Current Stimulation over Left Dorsolateral Pref
W425089630,high,@lynn1993,False,right,right,llm_fulltext,same original,Consumer Tipping: A Cross-Country Study,Consumer Tipping: A Cross-Country Study
W4280557407,high,@dowsett2014,False,right,right,llm_references,same original,Unfamiliar face matching: Pairs out‐perform individuals and provide a route to t,Unfamiliar face matching: Pairs out‐perform individuals and provide a route to t
W4281751031,high,@hoeschele2012,False,right,right,llm_references,same original,"Pitch chroma discrimination, generalization, and transfer tests of octave equiva","Pitch chroma discrimination, generalization, and transfer tests of octave equiva"
W4286633240,high,not_on_list,False,wrong,wrong,llm_references,same original,Explaining variation in safety performance of roundabouts,Explaining variation in safety performance of roundabouts
W4293070373,high,@quinn2019,False,right,right,llm_references,same original,“Achievement Gap” Language Affects Teachers’ Issue Prioritization,“Achievement Gap” Language Affects Teachers’ Issue Prioritization
W4310679605,high,@foung2019,False,right,right,llm_references,same original,Making good suggestions in analytics-based early alert systems,Making good suggestions in analytics-based early alert systems
W4313327776,high,@kacin2021,False,right,right,llm_references,same original,Ensemble coding of average length and average orientation are correlated,Ensemble coding of average length and average orientation are correlated
W4323666946,high,@birch1986,False,right,right,llm_references,same original,Preschool Children's Food Sharing with Friends and Acquaintances,Preschool Children's Food Sharing with Friends and Acquaintances
W4327544368,high,@collisson2019,False,right,right,llm_references,same original,Foodie Calls: When Women Date Men for a Free Meal (Rather Than a Relationship),Foodie Calls: When Women Date Men for a Free Meal (Rather Than a Relationship)
W4362637974,high,@smith2020b,False,right,right,llm_references,same original,Imprecise action selection in substance use disorder: Evidence for active learni,Imprecise action selection in substance use disorder: Evidence for active learni
W4366412447,high,@iannone2020,False,wrong,right,llm_title_search,different original,Students’ views of oral performance assessment in mathematics: straddling the ‘a,The impact of high stakes oral performance assessment on students’ approaches to
W4378232441,medium,@serie2017,False,right,right,llm_references,same original,Genome-wide association study of cardiotoxicity in the NCCTG N9831 (Alliance) ad,Genome-wide association study of cardiotoxicity in the NCCTG N9831 (Alliance) ad
W4378676700,high,@gopal2022,False,right,right,llm_references,same original,POGIL-like Learning in Undergraduate Software Testing and DevOps - A Pilot Study,POGIL-like Learning in Undergraduate Software Testing and DevOps - A Pilot Study
W4379985209,high,@mozota2010,False,wrong,right,llm_title_search,different original,Design Strategic Value Revisited: A Dynamic Theory for Design as Organizational ,The Four Powers of Design: A Value Model in Design Management
W4383216503,high,@gharpure2020,False,right,right,llm_references,same original,Knowledge and Practices Regarding Safe Household Cleaning and Disinfection for C,Knowledge and Practices Regarding Safe Household Cleaning and Disinfection for C
W4385330129,high,@stringer1997,False,right,right,llm_references,same original,Cardiac output estimated noninvasively from oxygen uptake during exercise,Cardiac output estimated noninvasively from oxygen uptake during exercise
W4385566310,medium,@jalal2018,False,right,right,llm_references,same original,Changing dynamics of the drug overdose epidemic in the United States from 1979 t,Changing dynamics of the drug overdose epidemic in the United States from 1979 t
W4385969725,high,@guetta2019 @wolf2015,False,right,right,llm_title_search,same original,Psychometric Properties of the Dissociative Subtype of PTSD Scale: Replication a,Psychometric properties of the dissociative subtype of PTSD scale: Replication a
W4389037127,medium,@smith2018 @forrest2015 @rogers2018 @smith2019 @perry2020,False,right,right,llm_references,same original,Out of touch: Interoceptive deficits are elevated in suicide attempters with eat,Out of touch: Interoceptive deficits are elevated in suicide attempters with eat
W4389791525,high,@patil2016,False,right,right,llm_references,same original,Reward retroactively enhances memory consolidation for related items,Reward retroactively enhances memory consolidation for related items
W4391065910,high,@leng2022,False,right,right,llm_title_search,same original,No joy - why bother? Higher anhedonia relates to reduced pleasure from and motiv,No joy -why bother? Higher anhedonia relates to reduced pleasure from and motiva
W4391755671,high,@maddock2023,False,right,right,llm_references,same original,A randomised trial of Mindfulness-based Social Work and Self-Care with social wo,A randomised trial of Mindfulness-based Social Work and Self-Care with social wo
W4392096926,high,@niemsiri2023,False,right,right,llm_references,same original,Focal adhesion is associated with lithium response in bipolar disorder: evidence,Focal adhesion is associated with lithium response in bipolar disorder: evidence
W4392504874,high,@scott2023,False,right,right,llm_references,same original,The utility of cognitive testing to predict real world commercial driving risk,The utility of cognitive testing to predict real world commercial driving risk
W4400983779,medium,@root2021,False,right,right,llm_references,same original,Using Augmented Reality and Modified Schema-Based Instruction to Teach Problem S,Using Augmented Reality and Modified Schema-Based Instruction to Teach Problem S
W4401879797,high,@arakawa2022,False,right,right,llm_references,same original,Early Identification of Student Struggles at the Topic Level Using Context-Agnos,Early Identification of Student Struggles at the Topic Level Using Context-Agnos
W4402894108,high,@reynoldstylus2018,False,right,right,llm_references,same original,The Role of Choice Clustering and Descriptive Norms in Attenuating Psychological,The Role of Choice Clustering and Descriptive Norms in Attenuating Psychological
W4405220932,high,@weisberg2007,False,right,right,llm_references,same original,The Seductive Allure of Neuroscience Explanations,The Seductive Allure of Neuroscience Explanations
W4406684369,high,@konishi1993,False,right,right,llm_references,same original,The semantics of grammatical gender: A cross-cultural study,The semantics of grammatical gender: A cross-cultural study
W4407669232,high,@satizbal2023,False,right,right,llm_title_search,same original,A novel neuroimaging signature for ADRD risk stratification in the community,A novel neuroimaging signature for ADRD risk stratification in the community
W4408026543,high,@yun2023,False,right,right,llm_references,same original,Antipsychotic drug efficacy correlates with the modulation of D1 rather than D2 ,Antipsychotic drug efficacy correlates with the modulation of D1 rather than D2 
W4408695994,medium,@campbell2021,False,right,right,llm_references,same original,Development and validation of a self-report measure of epistemic trust,Development and validation of a self-report measure of epistemic trust
W4409335964,high,@yu2014,False,right,right,llm_references,same original,The neural signature of escalating frustration in humans,The neural signature of escalating frustration in humans
W4411163069,high,@hickok2015,False,right,right,llm_references,same original,The Rhythm of Perception,The Rhythm of Perception
W4411274169,medium,@li2024,False,right,right,llm_title_search,same original,Errors in visual search: Are they stochastic or deterministic?,Errors in visual search: Are they stochastic or deterministic?
W4413754387,high,@gable2008,False,right,right,llm_references,same original,Approach-Motivated Positive Affect Reduces Breadth of Attention,Approach-Motivated Positive Affect Reduces Breadth of Attention
W4413886734,high,@dzgn2022b,False,right,right,llm_references,same original,Shoulder-Surfing Resistant Authentication for Augmented Reality,Shoulder-Surfing Resistant Authentication for Augmented Reality
W4415125743,high,@mekala2021,False,right,right,llm_references,same original,Classifying User Requirements from Online Feedback in Small Dataset Environments,Classifying User Requirements from Online Feedback in Small Dataset Environments
W6940747618,high,@xu2011,False,right,right,llm_references,same original,Abusive supervision and work behaviors: The mediating role of LMX,Abusive supervision and work behaviors: The mediating role of LMX
W7154754476,high,@guthrie2019,False,right,right,llm_references,same original,Accuracy of Autism Screening in a Large Pediatric Network,Accuracy of Autism Screening in a Large Pediatric Network
W7160216022,high,@snchez2014,False,right,right,llm_references,same original,A Comparison of Test Case Prioritization Criteria for Software Product Lines,A Comparison of Test Case Prioritization Criteria for Software Product Lines
