doi_r,set,label,old0,old1,new0,new1
10.70923/001c.72403,judged,both,decline,wrong,wrong,decline
10.3389/fpsyg.2024.1472489,judged,split,decline,decline,decline,decline
10.1007/s00426-025-02211-3,judged,mo,decline,decline,decline,decline
10.1093/oncolo/oyab021,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1371/journal.pone.0023371,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1121/10.0015093,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.5430/jnep.v3n6p51,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1158/1055-9965.epi-11-0396,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.3389/fpsyg.2021.662828,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1038/s41598-022-05923-3,control,agrees_with_mo,decline,decline,wrong,wrong
10.1074/jbc.c112.394403,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1177/0145445515580533,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1186/s12967-018-1488-5,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1002/jcv2.12077,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1097/00001888-197801000-00005,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1162/nol.a.15,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1212/01.wnl.0000137051.33486.c7,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1093/bjsw/bcae011,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1111/j.1601-183x.2010.00649.x,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1007/s10484-020-09484-x,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1371/journal.pone.0124170,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.3389/fnhum.2013.00817,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.2478/jagi-2018-0001,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1016/j.ctim.2023.102965,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1093/schizbullopen/sgaa009,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1534/genetics.106.067108,control,agrees_with_mo,wrong,decline,wrong,wrong
10.1002/jae.3021,control,agrees_with_mo,wrong,wrong,wrong,decline
10.3389/fendo.2020.00231,control,agrees_with_mo,decline,wrong,decline,decline
10.1371/journal.pone.0233948,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.18632/oncotarget.9422,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1002/art.30604,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1177/1747021820980301,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1111/j.1476-5381.2009.00584.x,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1371/journal.pone.0114614,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1016/j.biopsycho.2021.108188,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1007/s40264-014-0138-y,control,agrees_with_mo,decline,wrong,decline,wrong
10.1007/s00221-023-06688-5,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1002/ab.70042,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1007/s00221-024-06846-3,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1371/journal.pone.0171305,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1001/archoto.2009.219,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.7759/cureus.42194,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1080/036107399244020,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1080/08964289.2016.1232241,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1158/1055-9965.epi-11-0053,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1002/aur.1857,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1080/02699050600744194,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1111/jpr.12581,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1111/jns.12110,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1186/s13148-022-01296-6,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1177/074823370001600604,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1080/19439342.2019.1679860,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1038/s41598-020-57613-7,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1002/ar.1091570205,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1145/2676467.2676484,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1080/00220388.2018.1506580,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1002/ece3.71556,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1177/027347538901100307,control,agrees_with_mo,wrong,decline,wrong,wrong
10.1210/jc.2009-0931,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1080/09658211.2016.1189941,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1371/journal.pone.0137499,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1002/jae.2782,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1038/s41598-020-67455-y,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1016/s0006-3223(98)00143-7,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1016/j.cortex.2018.05.013,control,agrees_with_mo,decline,wrong,wrong,wrong
10.15195/v2.a20,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1038/s41398-024-02824-z,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1111/j.1752-0606.2009.00164.x,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1101/2023.08.16.553472,control,agrees_with_mo,decline,wrong,wrong,decline
10.1177/03057356211031663,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1371/journal.pone.0091690,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1016/j.dib.2021.107595,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1080/1612197x.2019.1637362,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1590/1516-3180.2017.0015240217,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1159/000117595,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1111/j.1469-8986.2005.00367.x,control,agrees_with_mo,decline,wrong,wrong,wrong
10.1017/s1355617722000698,control,agrees_with_mo,decline,wrong,wrong,wrong
10.1007/s10071-019-01254-5,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1097/md.0000000000011865,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1044/2023_jslhr-22-00694,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1352/0895-8017(2007)112[40:eomiof]2.0.co;2,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1111/j.1467-7687.2008.00781.x,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1177/03010066221096987,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1177/1747021819895472,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1177/0363546520946056,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1155/2023/8898498,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1177/1745691616652873,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1371/journal.pone.0165665,control,agrees_with_mo,wrong,wrong,wrong,decline
10.1016/j.ynirp.2023.100157,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1186/1744-9081-6-1,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1111/j.1468-1331.2012.03879.x,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1371/journal.pone.0237829,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.3389/fpsyg.2021.711173,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1001/archneurol.2011.155,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.3389/fpsyg.2016.00396,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1038/s41398-021-01558-6,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1371/journal.pbio.0030315,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1093/scan/nsae088,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1080/19439342.2019.1684343,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1176/ajp.154.4.551,control,agrees_with_mo,decline,decline,decline,decline
10.1136/jmg.35.12.1034,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1007/s00439-011-0972-2,control,agrees_with_mo,wrong,decline,wrong,wrong
10.3109/14659891.2014.980862,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1126/sciadv.aaz0652,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1177/0886260518814267,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1097/opx.0b013e318188891b,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1371/journal.pone.0287837,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1177/026765838900500103,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1044/2018_aja-18-0082,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1523/eneuro.0430-21.2022,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1093/ije/dyv127,control,agrees_with_mo,wrong,wrong,decline,wrong
10.1002/pros.21443,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.3389/fonc.2023.1139347,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.3758/s13414-020-02239-0,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1186/s41235-020-00260-3,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.2466/pr0.1994.74.2.380,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1186/s13104-019-4590-8,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1371/journal.pone.0175538,control,agrees_with_mo,decline,decline,decline,wrong
10.5334/jcaa.52,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1038/s41531-018-0064-2,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1080/15402000701264005,control,agrees_with_mo,wrong,decline,decline,wrong
10.1093/eep/dvaf016,control,agrees_with_mo,decline,wrong,wrong,wrong
10.1093/brain/awr007,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1101/lm.2269911,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1038/tp.2013.63,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1159/000331585,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1177/10870547251314924,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1016/j.dadm.2016.09.003,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1371/journal.pone.0030237,control,agrees_with_mo,wrong,decline,wrong,wrong
10.1002/ibd.21752,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1177/1474704920960450,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.3389/fnhum.2018.00472,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.2466/pms.2002.94.3.867,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1016/j.biopsycho.2021.108058,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1111/j.1600-0447.1993.tb03464.x,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1177/10911421221101690,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1007/s10608-024-10550-5,control,agrees_with_mo,wrong,wrong,decline,decline
10.1007/s00221-023-06560-6,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1111/j.1365-2516.2010.02473.x,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1093/scan/nsaf049,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.3758/s13421-020-01043-3,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.3109/10428194.2014.910775,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1017/s0033291713000846,control,agrees_with_mo,decline,wrong,decline,wrong
10.1097/nna.0000000000000521,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1177/1091142114553785,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1097/j.pain.0000000000003174,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.9741/2578-2118.1125,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1186/1744-9081-2-39,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1123/jpah.5.1.19,control,agrees_with_mo,decline,decline,decline,decline
10.1177/1043986218769989,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1007/s00125-009-1557-7,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1111/j.1526-4610.1992.hed3205239.x,control,agrees_with_mo,wrong,wrong,wrong,wrong
10.1158/1055-9965.epi-09-0861,control,agrees_with_mo,wrong,wrong,wrong,wrong
