work_id,doi_r,old_doi_o,old_title_o,old_link_method,old_outcome,old_file,old_n_rows,new_doi_o,new_title_o,new_link_method,new_outcome,new_file,new_n_rows,match_change,link_method_changed,left_llm_references,outcome_changed
W2077804534,10.1108/02652320710820345,10.1108/02652320610671324,Dimensions of price satisfaction: a study in the retail banking industry,llm_references,successful,extracted.csv,1,10.1108/02652320610671324,Dimensions of price satisfaction: a study in the retail banking industry,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W2086756898,10.1080/02646830600973933,10.1097/01.psy.0000097346.39776.59,Socioemotional Correlates of Self-Reported Menstrual Cycle Irregularity in Premenopausal W,llm_references,successful,extracted.csv,1,10.1097/01.psy.0000097346.39776.59,Socioemotional Correlates of Self-Reported Menstrual Cycle Irregularity in Premenopausal W,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W2092106350,10.1111/j.1469-8986.2005.00367.x,10.1037/0022-3514.82.4.619,Does resting electroencephalograph asymmetry reflect a trait? An application of latent sta,llm_references,successful,extracted.csv,1,10.1037/0022-3514.82.4.619,Does resting electroencephalograph asymmetry reflect a trait? An application of latent sta,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W2093345556,10.2307/2112261,10.2307/2092399,The American Occupational Structure.,llm_references,mixed,extracted.csv,1,,,target_pending,pending,target_pending.csv,1,declined (no original),True,True,True
W2095864928,10.1177/1077559504273684,10.1002/ab.20016,Social disadvantage and neglectful parenting as precursors to the development of antisocia,llm_references,cannot_be_determined,extracted.csv,1,10.1002/ab.20016,Social disadvantage and neglectful parenting as precursors to the development of antisocia,llm_references,cannot_be_determined,extracted_sandbox.csv,1,same original,False,False,False
W2104755979,10.1093/brain/awh524,10.1002/1531-8249(200005)47:5<571::aid-ana3>3.0.co;2-a | 10.1002/1531-8249(200012)48:6<948::aid-ana21>3.0.co;2-g | 10.1002/ana.10108 | 10.1002/ana.10457 | 10.1046/j.1528-1157.2003.11003.x | 10.1046/j.1528-1157.2003.18003.x | 10.1046/j.1528-1157.2003.43302.x | 10.1111/j.1528-1157.1999.tb01602.x | 10.1212/01.wnl.0000046520.79877.d8 | 10.1212/01.wnl.0000096940.92986.02 | 10.1212/01.wnl.0000141021.42763.f6 | 10.1212/wnl.55.3.435,"Association of an ABCB1 gene haplotype with pharmacoresistance in temporal lobe epilepsy | Increased Frequency of Interleukin‐1β‐511T Allele in Patients with Temporal Lobe Epilepsy, | Interleukin (IL)-1?, IL-1?, and IL-1 receptor antagonist gene polymorphisms in patients wi | GABA(B) receptor 1 polymorphism (G1465A) is associated with temporal lobe epilepsy | A functional polymorphism in the prodynorphin gene promotor is associated with temporal lo | <i>APOE</i> ε4 genotype is associated with an earlier onset of chronic temporal lobe epile | Apolipoprotein E Polymorphisms and the Risk of Nonlesional Temporal Lobe Epilepsy | Prodynorphin Gene Promoter Polymorphism and Temporal Lobe Epilepsy | Prodynorphin gene promoter polymorphism and temporal lobe epilepsy | Association Analysis of a Polymorphism of Interleukin 1β (IL‐1β) Gene with Temporal Lobe E | Surgical outcome in mesial temporal sclerosis correlates with prion protein gene variant | Interleukin-1? gene polymorphism and susceptibility to temporal lobe epilepsy with hippoca",llm_references,failed,extracted.csv,12,10.1002/ana.10108 | 10.1046/j.1528-1157.2003.43302.x | 10.1046/j.1528-1157.2003.t01-1-44702.x | 10.1203/01.pdr.0000069696.96041.34 | 10.1212/01.wnl.0000046520.79877.d8 | 10.1212/01.wnl.0000096940.92986.02 | 10.1212/wnl.55.3.435,APOE epsilon4 genotype is associated with an earlier onset of chronic temporal lobe epilep | Increased frequency of interleukin-1beta-511T allele in patients with temporal lobe epilep | A functional polymorphism in the prodynorphin gene promotor is associated with temporal lo | Association of the neuronal nicotinic acetylcholine receptor subunit alpha4 polymorphisms  | Association analysis of gamma 2 subunit of gamma-aminobutyric acid type A receptor polymor | GABA(B) receptor 1 polymorphism (G1465A) is associated with temporal lobe epilepsy | Surgical outcome in mesial temporal sclerosis correlates with prion protein gene variant,llm_title_search,failed | uninformative,search_link_unconfirmed.csv,7,overlap (added/dropped an original),True,True,True
W2116883460,10.1046/j.1365-2648.1999.01230.x,10.1002/nur.4770160209,Maternal confidence for labor: Development of the childbirth self‐efficacy inventory,llm_references,successful,extracted.csv,1,10.1002/nur.4770160209,Maternal confidence for labor: Development of the childbirth self‐efficacy inventory,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W2117844119,10.1111/gbb.12012,10.1073/pnas.0931309100,Catechol O -methyltransferase val 158 -met genotype and individual variation in the brain ,llm_references,failed,extracted.csv,1,10.1073/pnas.0931309100,Catechol O -methyltransferase val 158 -met genotype and individual variation in the brain ,llm_references,failed,extracted_sandbox.csv,1,same original,False,False,False
W2119271910,10.1177/00238309070500010201,10.1037/0096-1523.25.6.1568,Epenthetic vowels in Japanese: A perceptual illusion?,llm_references,successful,extracted.csv,1,10.1037/0096-1523.25.6.1568,Epenthetic vowels in Japanese: A perceptual illusion?,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W2120814713,10.1111/j.1365-2850.2008.01294.x,10.1111/j.1365-2850.2006.00931.x,Preliminary outcomes of a trial to reduce conflict and containment on acute psychiatric wa,llm_references,uninformative,extracted.csv,1,10.1111/j.1365-2850.2006.00931.x,Preliminary outcomes of a trial to reduce conflict and containment on acute psychiatric wa,llm_references,uninformative,extracted_sandbox.csv,1,same original,False,False,False
W2121346405,10.1212/wnl.0b013e318264e353,10.1016/s0140-6736(10)62345-8,Imputation of sequence variants for identification of genetic risks for Parkinson's diseas,llm_references,mixed,extracted.csv,1,10.1016/s0140-6736(10)62345-8,Imputation of sequence variants for identification of genetic risks for Parkinson's diseas,llm_references,mixed,extracted_sandbox.csv,1,same original,False,False,False
W2123103695,10.1002/eat.1066,10.1002/1098-108x(200103)29:2<139::aid-eat1003>3.0.co;2-i,Do broken relationships in childhood relate to bulimic women breaking off psychotherapy in,llm_references,successful,extracted.csv,1,10.1002/1098-108x(200103)29:2<139::aid-eat1003>3.0.co;2-i,Do broken relationships in childhood relate to bulimic women breaking off psychotherapy in,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W2123294834,10.1177/0899764011404081,10.1023/a:1020337425782,Media Publicity and the Voluntary Sector: The Case of Nonprofit Organizations in New York ,llm_references,successful,extracted.csv,1,10.1023/a:1020337425782,Media Publicity and the Voluntary Sector: The Case of Nonprofit Organizations in New York ,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W2124578438,10.2307/256213,10.1037/0021-9010.67.6.868,Role of leadership in the employee withdrawal process.,llm_references,failed,extracted.csv,1,,,target_pending,pending,target_pending.csv,1,declined (no original),True,True,True
W2125426425,10.15288/jsa.1995.56.186,10.1037//0021-843x.97.2.218,"Coping, expectancies, and alcohol abuse: A test of social learning formulations.",llm_references,successful,extracted.csv,1,10.1037//0021-843x.97.2.218,"Coping, expectancies, and alcohol abuse: A test of social learning formulations.",llm_references,cannot_be_determined,extracted_sandbox.csv,1,same original,False,False,True
W2127819969,10.1177/008124630303300307,10.4102/sajip.v25i1.679,The comparability of the constructs of the 16PF in the South African context,llm_references,statistically successful but flawed,extracted.csv,1,10.1177/008124639902900204,Qualitative and Statistical Impacts of Home Language on Responses to the Items of the Sixt,llm_references,statistically successful but flawed,extracted_sandbox.csv,1,different original,False,False,False
W2128411464,10.1111/1464-0597.00149,10.1037/0021-9010.81.2.134,Fairness reactions to personnel selection techniques in France and the United States.,llm_references,cannot_be_determined,extracted.csv,1,10.1037/0021-9010.81.2.134,Fairness reactions to personnel selection techniques in France and the United States.,llm_references,cannot_be_determined,extracted_sandbox.csv,1,same original,False,False,False
W2137148722,10.1002/jae.2493,10.1080/07350015.2012.741549,A New Model of Trend Inflation,llm_references,"computationally reproducible, not checked",extracted.csv,1,10.1080/07350015.2012.741549,A New Model of Trend Inflation,llm_references,"computationally reproducible, not checked",extracted_sandbox.csv,1,same original,False,False,False
W2138009685,10.1176/appi.ajp.158.8.1314,10.1176/appi.ajp.157.4.644,Reduced Concentrations of Thalamic <i>N</i>-Acetylaspartate in Male Patients With Schizoph,llm_references,successful,extracted.csv,1,10.1176/appi.ajp.157.4.644,Reduced Concentrations of Thalamic <i>N</i>-Acetylaspartate in Male Patients With Schizoph,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W2149746305,10.1111/j.1744-6570.1978.tb02130.x,10.1111/j.1744-6570.1969.tb00334.x,CHARACTERISTICS OF EFFECTIVE EMPLOYEE PERFORMANCE REVIEW AND DEVELOPMENT INTERVIEWS<sup>1<,llm_references,successful,extracted.csv,1,10.1111/j.1744-6570.1969.tb00334.x,CHARACTERISTICS OF EFFECTIVE EMPLOYEE PERFORMANCE REVIEW AND DEVELOPMENT INTERVIEWS<sup>1<,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W2153862402,10.1002/eat.20103,10.1016/s1471-0153(03)00026-6,Social anxiety and social comparison: differential links with restrictive and bulimic atti,llm_references,successful,extracted.csv,1,10.1016/s1471-0153(03)00026-6,Social anxiety and social comparison: differential links with restrictive and bulimic atti,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W2158965732,10.1002/elps.201100128,10.1038/ng2121,A common variant of HMGA2 is associated with adult and childhood height in the general pop,llm_references,failed,extracted.csv,1,,,target_pending,pending,target_pending.csv,1,declined (no original),True,True,True
W2160820103,10.1017/s0272263100015394,10.1017/s0272263100011979,Explicit Instruction and Input Processing,llm_references,successful,extracted.csv,1,10.1017/s0272263100011979,Explicit Instruction and Input Processing,llm_references,cannot_be_determined,extracted_sandbox.csv,1,same original,False,False,True
W2169756025,10.1177/1352458509106509,10.1001/archneurol.2008.47,Genome-Wide Pharmacogenomic Analysis of the Response to Interferon Beta Therapy in Multipl,llm_references,mixed,extracted.csv,1,10.1001/archneurol.2008.47,Genome-Wide Pharmacogenomic Analysis of the Response to Interferon Beta Therapy in Multipl,llm_references,mixed,extracted_sandbox.csv,1,same original,False,False,False
W2316348164,10.1167/iovs.14-15105,10.1038/ng.2554 | 10.1371/journal.pgen.1003299,"Genome-wide meta-analyses of multiancestry cohorts identify multiple new susceptibility lo | Genome-Wide Analysis Points to Roles for Extracellular Matrix Remodeling, the Visual Cycle",llm_references,mixed,extracted.csv,2,10.1038/ng.2554 | 10.1371/journal.pgen.1003299,"Genome-wide meta-analyses of multiancestry cohorts identify multiple new susceptibility lo | Genome-Wide Analysis Points to Roles for Extracellular Matrix Remodeling, the Visual Cycle",llm_references,successful,extracted_sandbox.csv,2,same original,False,False,True
W2323812506,10.1016/j.mgene.2016.03.007,10.1016/j.jsams.2013.02.006 | 10.1136/bjsm.2008.053892 | 10.1159/000235701,"Variants within the<i>MMP3</i>gene are associated with Achilles tendinopathy: possible int | Polymorphic variation within the ADAMTS2, ADAMTS14, ADAMTS5, ADAM12 and TIMP2 genes and th | Genetic Risk Factors for Musculoskeletal Soft Tissue Injuries",llm_author_year_search | llm_references,failed,extracted.csv | search_link_unconfirmed.csv,3,10.1016/j.jsams.2013.02.006 | 10.1136/bjsm.2008.053892,"Variants within the<i>MMP3</i>gene are associated with Achilles tendinopathy: possible int | Polymorphic variation within the ADAMTS2, ADAMTS14, ADAMTS5, ADAM12 and TIMP2 genes and th",llm_references,failed,extracted_sandbox.csv,2,overlap (added/dropped an original),True,False,False
W2330980526,10.2466/pms.1989.68.1.157,10.2466/pms.1984.58.3.887,A Possible Proximity Effect on Human Grip Strength,llm_references,failed,extracted.csv,1,10.2466/pms.1984.58.3.887,A Possible Proximity Effect on Human Grip Strength,llm_references,failed,extracted_sandbox.csv,1,same original,False,False,False
W2396759709,,10.1007/s10803-015-2504-8,A Randomized Controlled Trial to Improve Social Skills in Young Adults with Autism Spectru,llm_references,mixed,extracted.csv,1,10.1007/s10803-015-2504-8,A Randomized Controlled Trial to Improve Social Skills in Young Adults with Autism Spectru,llm_references,mixed,extracted_sandbox.csv,1,same original,False,False,False
W2409619434,10.1093/oxfordjournals.jpart.a037129,10.1111/j.1559-1816.1985.tb00895.x,When Bureaucrats Get the Blues: Responses to Dissatisfaction Among Federal Employees,llm_references,cannot_be_determined,extracted.csv,1,10.1111/j.1559-1816.1985.tb00895.x,When Bureaucrats Get the Blues: Responses to Dissatisfaction Among Federal Employees,llm_references,cannot_be_determined,extracted_sandbox.csv,1,same original,False,False,False
W2410862503,10.1080/09658211.2016.1189941,10.1111/j.1467-9280.2008.02156.x,How to Accurately Detect Autobiographical Events,llm_references,successful,extracted.csv,1,10.1111/j.1467-9280.2008.02156.x,How to Accurately Detect Autobiographical Events,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W2415466450,10.1037/xge0000102,10.1016/s0022-1031(02)00011-2 | 10.1037/a0015850,Thinking about the self influences thinking in general: cognitive consequences of salient  | Connecting and separating mind-sets: Culture as situated cognition.,llm_references,mixed,extracted.csv,2,10.1016/s0022-1031(02)00011-2 | 10.1037/a0015850,Thinking about the self influences thinking in general: cognitive consequences of salient  | Connecting and separating mind-sets: Culture as situated cognition.,llm_references,failed,extracted_sandbox.csv,2,same original,False,False,True
W2509481270,10.1080/10586458.2016.1173413,10.1080/10586458.2016.1163755,Reproducibility in Computational Science: A Case Study: Randomness of the Digits of Pi,llm_references,cannot_be_determined,extracted.csv,1,10.1080/10586458.2016.1163755,Reproducibility in Computational Science: A Case Study: Randomness of the Digits of Pi,keyed_link_disputed,"not checked, robustness challenges",keyed_link_disputed.csv,1,same original,True,True,True
W2568065332,10.1109/iwsm-mensura.2016.039,10.1016/j.datak.2012.06.005,Approximation of COSMIC functional size to support early effort estimation in Agile,llm_references,successful,extracted.csv,1,10.1016/j.datak.2012.06.005,Approximation of COSMIC functional size to support early effort estimation in Agile,llm_references,cannot_be_determined,extracted_sandbox.csv,1,same original,False,False,True
W2569068099,,10.2308/bria.2001.13.1.111,A Research Note on the Effects of Gender and Task Complexity on an Audit Judgment,llm_references,mixed,extracted.csv,1,,,target_pending,pending,target_pending.csv,1,declined (no original),True,True,True
W2607375323,10.1002/ajmg.a.38190,10.1038/ncomms7414,Genome-wide association study identifies a new susceptibility locus for cleft lip with or ,llm_references,failed,extracted.csv,1,10.1038/ncomms7414,Genome-wide association study identifies a new susceptibility locus for cleft lip with or ,llm_references,failed,extracted_sandbox.csv,1,same original,False,False,False
W2611033029,10.3928/01484834-20170421-06,10.3928/01484834-20070201-09,A Survey of Physical Assessment Techniques Performed by RNs: Lessons for Nursing Education,llm_references,cannot_be_determined,extracted.csv,1,10.3928/01484834-20090101-05,A Survey of Physical Examination Skills Taught in Undergraduate Nursing Programs: Are We T,llm_references,cannot_be_determined,extracted_sandbox.csv,1,different original,False,False,False
W2758684098,10.1177/1073191117733548,10.1002/aur.1724,Investigating diagnostic bias in autism spectrum conditions: An item response theory analy,llm_references,successful,extracted.csv,1,10.1002/aur.1724,Investigating diagnostic bias in autism spectrum conditions: An item response theory analy,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W2803712352,10.1371/journal.pone.0210405,10.1016/s0140-6736(11)61709-1,Effect of a cash transfer programme for schooling on prevalence of HIV and herpes simplex ,llm_references,"computationally reproducible, robustness challenges",extracted.csv,1,10.1016/s0140-6736(11)61709-1,Effect of a cash transfer programme for schooling on prevalence of HIV and herpes simplex ,llm_references,"computationally reproducible, robustness challenges",extracted_sandbox.csv,1,same original,False,False,False
W2805652837,10.1186/s12967-018-1488-5,10.1681/asn.2016040433,A Multicenter Study of the Predictive Value of Crescents in IgA Nephropathy,llm_references,failed,extracted.csv,1,10.1681/asn.2016040433,A Multicenter Study of the Predictive Value of Crescents in IgA Nephropathy,llm_references,failed,extracted_sandbox.csv,1,same original,False,False,False
W2886050787,10.1111/jsr.12749,10.1016/j.cub.2010.03.027,Dreaming of a Learning Task Is Associated with Enhanced Sleep-Dependent Memory Consolidati,llm_references,successful,extracted.csv,1,10.1016/j.cub.2010.03.027,Dreaming of a Learning Task Is Associated with Enhanced Sleep-Dependent Memory Consolidati,llm_references,successful,extracted_sandbox.csv,1,same original,False,False,False
W2891080196,10.2117/psysoc.2017.57,10.1098/rspb.2011.1024,Automatic imitation in a strategic context: players of rock–paper–scissors imitate opponen,llm_references,failed,extracted.csv,1,10.1098/rspb.2011.1024,Automatic imitation in a strategic context: players of rock–paper–scissors imitate opponen,llm_references,failed,extracted_sandbox.csv,1,same original,False,False,False
