doi_r,title_r,old_filter_status,old_filter_confidence,new_filter_status,new_filter_confidence,new_filter_evidence
10.34917/2824168,School counselor assignment in secondary schools: Replication and extension,replication,high,needs_review,medium,phrase:replication and extension; no same-sentence cite
10.26153/tsw/3226,Externalizing behaviors in youth with anxiety : a replication and extension of previous findings,replication,high,needs_review,medium,phrase:replication and extension; no same-sentence cite
10.17615/yd4r-h851,Examining the validity of cyclothymic disorder in a youth sample: Replication and extension,replication,high,needs_review,medium,phrase:replication and extension; no same-sentence cite
10.1037/a0024739,Biased information processing in the escalation paradigm: Information search and information evaluat,replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
10.7910/dvn/6pqopq,Replication Data for: Representation in Municipal Governments: A Replication and Extension to School,replication,high,needs_review,medium,phrase:we replicate; no same-sentence cite
10.1111/isqu.12114,Safe Across the Border: The Continued Significance of the Democratic Peace When Controlling for Stab,replication,high,needs_review,medium,phrase:replication and extension; no same-sentence cite
10.5465/ambpp.2020.19321abstract,Effect Direction Between Work-Family Conflict and Psychological Strain: A Replication and Extension,replication,high,needs_review,medium,phrase:replication and extension; no same-sentence cite
10.1037/pspi0000139,How interdependent are stay/leave decisions? On staying in the relationship for the sake of the roma,replication,high,needs_review,medium,phrase:preregistered replication; no same-sentence cite
10.31234/osf.io/vkarq,Revisiting the Effect of Team Passion Displayed During National Anthems on Subsequent Success: A Rep,replication,high,needs_review,medium,phrase:we replicate; no same-sentence cite
10.7554/elife.37385.029,Author response: Meta-analysis challenges a textbook example of status signalling and demonstrates p,replication,high,needs_review,medium,phrase:failed to replicate; no same-sentence cite
10.1158/1538-7445.am2015-5489,Abstract 5489: A genome-wide association study identifies novel loci associated with taxane-related ,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.7554/elife.71601.sa1,Decision letter: Investigating the replicability of preclinical cancer biology,replication,high,needs_review,medium,phrase:replicating the findings; no same-sentence cite
10.7554/elife.37385.028,Decision letter: Meta-analysis challenges a textbook example of status signalling and demonstrates p,replication,high,needs_review,medium,phrase:failed to replicate; no same-sentence cite
10.7554/elife.04333.003,Decision letter: An open investigation of the reproducibility of cancer biology research,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.6133/apjcn.2015.24.2.10,The biomarker-based validity of a brief-type diet history questionnaire for estimating eicosapentaen,reproduction,high,needs_review,medium,phrase:reproducibility of; no author-year cite
10.1136/jclinpath-2016-204184,Estimate of false-positive breast cancer diagnoses from accuracy studies: a systematic review,reproduction,high,needs_review,medium,phrase:reproducibility of; no author-year cite
10.1148/radiol.14141850,Volumetric Cortical Bone Porosity Assessment with MR Imaging: Validation and Clinical Feasibility,reproduction,high,needs_review,medium,phrase:reproducibility of; no same-sentence cite
10.1158/1538-7445.compsysbio-b1-01,Abstract B1-01: Whole genome expression based drug repurposing,reproduction,high,needs_review,medium,phrase:reproducibility of; no same-sentence cite
10.1126/science.336.6083.802-a,Replication Initiative: Beware Misinterpretation,reproduction,high,needs_review,medium,phrase:reproducibility of; no same-sentence cite
10.1111/eth.13118,"<i>Ethology</i> adopts the STRANGE framework for animal behaviour research, to improve reporting sta",reproduction,high,needs_review,medium,phrase:reproducibility of; no same-sentence cite
10.5194/bgd-11-5969-2014,Disentangling the response of forest and grassland energy exchange to heatwaves under idealized land,reproduction,high,needs_review,medium,phrase:reproduce the findings; no same-sentence cite
10.1167/17.10.892,Online eye tracking with consumer-grade webcams: potential and limits,reproduction,high,needs_review,medium,phrase:reproduce the findings; no same-sentence cite
10.1167/18.10.696,Working memory for sequentially presented objects does not rely on location to bind features,reproduction,high,needs_review,medium,phrase:reproduced the findings; no same-sentence cite
10.3280/pu2019-004002,Gli articoli di Freud sulla tecnica: resoconto di una scoperta,reproduction,high,needs_review,medium,phrase:reproduce the findings; no same-sentence cite
10.1136/jnnp-2018-anzan.24,025 The neural correlates of doorway freezing in parkinson’s disease,reproduction,high,needs_review,medium,phrase:reproduce the finding; no same-sentence cite
10.14483/22487638.11677,Identificación del comportamiento de parámetros biomecánicos en la alineación estática de prótesis t,reproduction,high,needs_review,medium,phrase:reproduces the findings; no author-year cite
10.1158/1538-7445.am2014-5561,Abstract 5561: Clinical drug response can be predicted using baseline gene expression levels and in ,reproduction,high,needs_review,medium,phrase:reproducibility of; no same-sentence cite
10.7910/dvn/kg1dec,Replication Data for: Primary Enforcement of Mandatory Seat Belt Laws and Motor Vehicle Crash Deaths,reproduction,high,needs_review,medium,phrase:reproduce the findings; no same-sentence cite
10.1016/s2468-2667(18)30092-6,Changes in chlamydia prevalence over time: how to observe the unobserved,reproduction,high,needs_review,medium,phrase:reproduce the findings; no same-sentence cite
10.1113/ep087447,Skeletal muscle mitochondrial bioenergetics in humans: Does sex matter?,reproduction,high,needs_review,medium,phrase:reproducibility of; no same-sentence cite
10.15200/winn.146857.76572,Verifiable research: The missing link between replicability and reproducibility,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
,"Replication of Fork of Griskevicius, V., Tybur, J. M., &amp; Van den Bergh, B. (2010). at Marian Uni",replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
,"Replication of Feng, S., D’Mello, S., &amp; Graesser, A. C. (2013).",replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
,"Disgust and the rubber hand illusion: A registered replication report of Jalal, Krishnakumar, and Ra",replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
,Replication Bayes Factors from Evidence Updating,replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
,Zhang &amp; Smith_Does Power Reduce Temporal Discounting,replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
,Regulation of the conflict adaptation effect by emotion,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
,Are affective factors related to individual differences in facial expression recognition?,replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
,"Self-Esteem, Self-Disclosure, Self-Expression, and Connection on Facebook: A Collaborative Replicati",replication,high,needs_review,medium,phrase:direct replication; no same-sentence cite
,Expressive performance and listeners' decoding of performed emotions : A multi-lab replication and e,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
,The role of ostensive and referential cues in infant object memory,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
,The Psychological Impact of Smartphones: The Effect of Access to One's Smartphone on Psychological P,replication,high,needs_review,medium,phrase:failed to replicate; no same-sentence cite
,Are conservative quantifiers easier to learn ? : Evidence from novel quantifier experiments,replication,high,needs_review,medium,phrase:failed to replicate; no same-sentence cite
,Differences in posterior contralateral negativity (N2PC),replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
,Affect and syntactic anomaly.,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
,Correlation of Warmth and Loneliness,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
,Testing the Efficacy of Interventions to Decrease Racial Bias in Jury Selection,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
,Cross-cultural validity of Holland's theory: Does how we measure interests matter?,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
,Politics Schmolitics: Examining how Economic Performance fosters support for Anti- Immigrant Sentime,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
,Preliminary Investigation of the Role of Open Bigrams in Word Perception: Is There a Benefit to Havi,replication,high,needs_review,medium,phrase:we replicated; no same-sentence cite
,An indication that non-informative vision eliminates the Kinaesthetic Fusion Effect,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
,Meta-analysis of genome-wide association studies identifies common variants in CTNNA2 associated wit,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
,Computer Monitoring in the Workplace: Performance Effects and Perceptions,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
,Ceux qui ne nous tuent pas nous rendent-ils plus forts ? : réponses affectives et identitaires suite,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
,The effect of non-vigorous synchronized activities on pain tolerance,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
,Individual and Group Differences in Sound Category Learning,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
,Joint Modeling of the Component Skills of Reading and Writing: A Meta-Analytic SEM Approach,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
,Variabilité cardiaque de haute fréquence et comportements prosociaux : Approche causale de la théori,replication,high,needs_review,medium,phrase:did not replicate; no same-sentence cite
,Sub-categorizing hyperactivity: a replication and extension of the stony brook scale,replication,high,needs_review,medium,phrase:replication and extension; no same-sentence cite
,Fractal Response Time Distributions using the MS-50: A Replication and Extension,replication,high,needs_review,medium,phrase:replication and extension; no same-sentence cite
,The Effects of Verbal Overshadowing and Social Anxiety on Facial Recognition: A Replication and Exte,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
,Experiential Stress and Physiological Stress: Implication of Coherence. A Replication and Extension ,replication,high,needs_review,medium,phrase:replication and extension; no same-sentence cite
,The Effect of Feminist Identity on Women's Conceptualizations of Beauty and Body-Based Stigma: A Con,replication,high,needs_review,medium,phrase:conceptual replication; no same-sentence cite
,An Evaluation of the Effects of Adult Social Interaction on Infant Vocalizations,replication,high,needs_review,medium,phrase:failed to replicate; no same-sentence cite
,Changing Perspectives: Can a Short-Term Intervention Promote Relationship Satisfaction?,replication,high,needs_review,medium,phrase:replication and extension; no same-sentence cite
,Action research as a framework to evaluate the operation of a living lab,reproduction,high,needs_review,medium,phrase:reproducibility of; no same-sentence cite
,Peers at Work: From the Field to the Lab,reproduction,high,needs_review,medium,phrase:reproduce the findings; no same-sentence cite
10.13023/jah.0203.06,Preventive Care and Chronic Disease Management,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.1016/j.chest.2020.10.083,Lower Respiratory Tract Myeloid Cells Harbor SARS-Cov-2 and Display an Inflammatory Phenotype,replication,high,needs_review,medium,phrase:replication of; no author-year cite
10.5334/gjgl.1201,Priming quantifier scope: Reexamining the evidence against scope inversion,replication,high,needs_review,medium,phrase:we replicate; no same-sentence cite
10.6084/m9.figshare.11860542,Test images for connected components sequential region labelling.,replication,high,needs_review,medium,phrase:replication of; no same-sentence cite
10.31258/ajoas.3.1.1-10,"ANALYSIS CONCENTRATION OF SURFACTANT ANIONIC AND THE RELATION WITH DIATOM ABUNDANCE IN BUNGUS WATER,",replication,high,needs_review,medium,phrase:replication of; no author-year cite
