doi_r,title_r,doi_o,title_o,set,label,mo_titles,mo_dois,old_key,old_model,mo_key,quote,error,confident,reasoning,answer,flag,flag_names_other,alt,flag_conf,alt_is_mo,alt_first_is_mo
10.1186/s12881-014-0102-9,Replication and exploratory analysis of 24 candidate risk polymorphisms for neural tube defects,10.1002/ajmg.a.33755,Evaluation of 64 candidate single nucleotide polymorphisms as risk factors for neural tube defects in a large Irish study population,judged,mo,['Evaluation of common genetic variants in 82 candidate genes as risk factors for neural tube defects'],['10.1186/1471-2350-13-62'],@carter2010,gpt-5.6-luna,@pangilinan2012,We tested whether associations detected in a large Irish cohort could be replicated in an independent population.,,True,"The study says it tests associations detected in a large Irish cohort; this matches @carter2010, whose title identifies it as an evaluation of candidate SNPs as risk factors for neural tube defects in a large Irish study population. The 24 nominally significant SNPs being replicated correspond to th",identified:@carter2010,False,False,[],False,False,False
10.1901/jaba.2000.33-239,USING POSITIVE PEER REPORTING TO IMPROVE THE SOCIAL INTERACTIONS AND ACCEPTANCE OF SOCIALLY ISOLATED ADOLESCENTS IN RESIDENTIAL CARE: A SYSTEMATIC REPLICATION,10.1901/jaba.1996.29-251,FEED THE HUNGRY BEE: USING POSITIVE PEER REPORTS TO IMPROVE THE SOCIAL INTERACTIONS AND ACCEPTANCE OF A SOCIALLY REJECTED GIRL IN RESIDENTIAL CARE,judged,split,['Merging research and practice: The example of positive peer reporting applied to social rejection'],['https://www.semanticscholar.org/paper/3a3c847fa514fca8145c09360ce41d9d0e34fd27'],@ervin1996,gpt-5.6-luna,@bowers1999,USING POSITIVE PEER REPORTING TO IMPROVE THE SOCIAL INTERACTIONS AND ACCEPTANCE OF SOCIALLY ISOLATED ADOLESCENTS IN RESIDENTIAL CARE: A SYSTEMATIC REPLICATION,,True,"The replication's title and target directly mirror Ervin et al. (1996), which used positive peer reports to improve social interactions and acceptance of a socially rejected youth in residential care; the study is a systematic replication of that earlier finding.",identified:@ervin1996,False,False,[],False,False,False
10.1073/pnas.0508189103,A functional variant of the dopamine D <sub>3</sub> receptor is associated with risk and age-at-onset of essential tremor,10.1111/j.1399-0004.2006.00600.x,Linkage with the Ser9Gly DRD3 polymorphism in essential tremor families,judged,mo,"['Mapping of a familial essential tremor gene, FET1, to chromosome 3q13']",['10.1038/ng0997-84'],@lucotte2006,gpt-5.6-luna,@gulcher1997,A replication study comparing 276 patients with ET and 184 normal controls confirmed the association of the Gly-9 variant with risk and age-at-onset of ET.,,True,The study re-tests the association/linkage of the Ser9Gly DRD3 variant with familial essential tremor; @lucotte2006 is the only listed record specifically reporting linkage with the Ser9Gly DRD3 polymorphism in essential tremor families.,identified:@lucotte2006,False,False,[],False,False,False
10.2466/pr0.95.3f.1059-1071,Testing a Social Psychological Model of Strategy Use with Students of English as a Foreign Language,10.1111/j.1944-9720.1994.tb01201.x,Toward a Social Psychological Model of Strategy Use,judged,mo,['Using social-psychological variables to predict the use of language learning strategies'],['10.1111/j.1944-9720.1996.tb01249.x'],@maclntyre1994,gpt-5.6-luna,,This replication study tested MacIntyre's Social Psychological Model of Strategy Use.,,True,"The abstract says it tests MacIntyre's Social Psychological Model and questions MacIntyre and Noels' revised-model thesis about reason and reason-not being independent; this points to the MacIntyre and Noels (1996) empirical paper as the original finding being re-tested, rather than the earlier 1994",identified:@macintyre1996,True,True,['@macintyre1996'],True,False,False
10.1002/mpr.251,Development and validation of a cluster-based classification system to facilitate treatment tailoring,10.17433/978-3-17-026572-1,Tabakentwöhnung,judged,mo,['Multidimensional smoker profiles and their prediction of smoking following a pharmacobehavioral intervention'],['10.1016/j.jsat.2007.08.006'],@batra2004,gpt-5.6-luna,,The objectives of this study were to replicate smoker profiles identified in Batra et al. (in press),,True,"The study explicitly says it aimed to replicate smoker profiles identified in Batra et al. (in press), and the only Batra entry in the reference list is @batra2004.",identified:@batra2004,False,False,[],False,False,False
10.2466/pr0.2002.91.3.722,Correlations for Leaders' Anticipation of Targets' Resistance and Targets' Ratings of Leaders' Influence Tactics: A Replication,10.2466/pr0.2001.88.3.835,A Field Study of the Relation between Leaders' Anticipation of Targets' Resistance and Targets' Reports of Influence Tactics Used by Leaders in Dyadic Relations,judged,both,"[""A field study of the relation between leaders' anticipation of targets' resistance and targets' reports of influence tactics used by leaders in dyadic relationships""]",['10.2466/pr0.88.3.835-843'],@barbuto2001,gpt-5.6-luna,@barbuto2001,"A sample of 553 leader-target dyads was used to replicate the 2001 work of Barbuto, Scholl, Hickox, and Boulmetis.",,True,"The study explicitly says it replicates the 2001 work of Barbuto, Scholl, Hickox, and Boulmetis, matching the author list and year of @barbuto2001, whose title also matches the re-tested relation between anticipated resistance and influence tactics.",identified:@barbuto2001,False,False,[],False,False,False
10.1080/13554790490507614,Independent Access to Phonological and Orthographic Lexical Representations: A Replication Study,10.1080/026432997381619,The Independence of Phonological and Orthographic Lexical Forms: Evidence from Aphasia,judged,split,['The autonomy of lexical orthography'],['10.1080/026432997381628'],@miceli1997,gpt-5.6-luna,@rapp1997,Independent Access to Phonological and Orthographic Lexical Representations: A Replication Study,,True,"The abstract describes re-testing the orthographic autonomy hypothesis using double naming in aphasic patient RA with inconsistent written/spoken responses; this matches Miceli et al. (1997), whose title names the independence of phonological and orthographic lexical forms and whose case evidence th",identified:@miceli1997,False,False,[],False,False,False
10.3109/07357907.2011.630052,<i>GPC5</i>rs2352028 Polymorphism and Risk of Lung Cancer in Han Chinese,10.1016/s1470-2045(10)70096-6,GPC5 rs2352028 variant and risk of lung cancer in never smokers,judged,mo,['Genetic variants and risk of lung cancer in never smokers: a genome-wide association study'],['10.1016/s1470-2045(10)70042-5'],@landi2010,gpt-5.6-luna,@li2010,"rs2352028 in GPC5 has been reported to be associated with the risk of lung cancer in never-smokers. We performed a replication study in 1,045 lung cancer patients and 1,094 controls of Han Chinese origin.",,True,"The study describes replicating the reported association between GPC5 rs2352028 and lung cancer risk in never-smokers; the cited record whose title and design match the original report of this finding is Li et al. 2010, a genome-wide association study of genetic variants and lung cancer in never smo",identified:@li2010,True,True,['@li2010'],True,True,True
10.1001/archpsyc.1996.01830080033007,Replication of the Stockholm Adoption Study of Alcoholism,10.1007/978-1-4615-7715-7_4,Psychopathology in Adopted-out Children of Alcoholics The Stockholm Adoption Study,judged,split,"['Inheritance of alcohol abuse: cross-fostering analysis of adopted men', 'Inheritance of alcohol abuse: cross-fostering analysis of adopted men']","['10.1001/archpsyc.1981.01780330019001', '10.1001/archpsyc.1981.01780330019001']",@cloninger1985,gpt-5.6-luna,,"A replication study was carried out with 577 men and 660 women born in Gothenburg, Sweden, and adopted at an early age/by nonrelatives.",,True,"The abstract says the two alcoholism forms were first distinguished in the Stockholm Adoption Study; this points to Cloninger's 1981 'Inheritance of Alcohol Abuse', the original Stockholm adoption study, rather than later Stockholm-related follow-ups.",identified:@cloninger1981,True,True,['@cloninger1981'],True,False,False
10.2466/pr0.1990.66.2.407,Distorted Body Image as a Risk Factor in Anorexia Nervosa: Replication and Clarification,10.1002/1097-4679(198911)45:6<843::aid-jclp2270450603>3.0.co;2-4,Food cues and peceptual distortion of the female body: Implications for food avoidance in the early dynamics of anorexia nervosa,judged,mo,['Distorted body image in normal women: implications for the development of anorexia nervosa'],['10.1002/1097-4679(199007)46:4<398::aid-jclp2270460404>3.0.co;2-5'],@heilbrun1989,gpt-5.6-luna,,This study replicated the results of an earlier one in which college women showing psychological similarities to anorexics indicated an unrealistically larger body-image relative to controls but only if they were relatively thin.,,True,"The abstract describes replicating an earlier study of college women with anorexic-like psychological similarities who showed enlarged body-image estimates only when thin; this matches Heilbrun & Flodin (1989), not the other body-image or eating-disorder references.",identified:@heilbrun1989,False,False,[],False,False,False
10.1207/s15327906mbr0104_1,Behavioral Characteristics Of Children : Replication Studies With Foster Children,10.1080/00224545.1960.9922085,Rankings and Self-Assessments: Some Behavioral Characteristics Replication Studies,judged,mo,"['Behavioral Characteristics of Children Known to Psychiatric Out-Patient Clinics (with special attention to adoption status, sex, and age groupings)']",['https://www.semanticscholar.org/paper/5d24c35f98ff47ea75bbe72fd8dc0adcf4de501d'],@borgatta1960,gpt-5.4-mini,,A replication study of rated behavioral characteristics of children is shown to yield stable factor structures for two groups of observers: foster mothers and social workers.,,True,"The study specifically describes itself as a replication of rated behavioral characteristics and cluster/factor structures, matching Borgatta's earlier 'Behavioral Characteristics Replication Studies'; the Campbell & Fiske record concerns validation methodology, not the re-tested finding.",identified:@borgatta1960,False,False,[],False,False,False
10.1093/rheumatology/ker444,Replication of a microsatellite genome-wide association study of Behcet's disease in a Korean population,10.1038/ng.624,Genome-wide association studies identify IL23R-IL12RB2 and IL10 as Behçet's disease susceptibility loci,judged,mo,['Genetics of Behcet disease inside and outside the MHC'],['10.1136/ard.2009.108571'],@mizuki2010,gpt-5.6-luna,@meguro2009,"A genome-wide association study identified six microsatellite markers as disease susceptibility loci for Japanese patients with Behçet's disease. To confirm our recent results, these microsatellite markers were examined in a Korean population as a replication study.",,True,"The passage describes a genome-wide association study in Japanese patients that identified six microsatellite markers; this matches Meguro et al. 2009, not the later SNP-based GWAS records by Mizuki or Remmers.",identified:@meguro2009,True,True,['@meguro2009'],True,True,True
10.1093/scan/nst102,Are ‘counter-intuitive’ deontological judgments really counter-intuitive? An empirical reply to Kahane<i>et al.</i>(2012),10.1093/scan/nsr005,The neural basis of intuitive and counterintuitive moral judgment,judged,split,"['Reflection and reasoning in moral judgment', 'Reflection and reasoning in moral judgment']","['10.1111/cogs.13168', '10.1111/cogs.13168']",@kahane2011,gpt-5.6-luna,@paxton2011,"A recent neuroimaging study by Kahane et al. challenges this claim, using a new set of moral dilemmas that allegedly reverse the previously observed association. We report on a study in which we both induced and measured reflective responding to one of Greene et al.'s original dilemmas and one of Kahane et al.'s new dilemmas.",,True,"The study explicitly describes its target as a recent neuroimaging study by Kahane et al. using a new set of moral dilemmas that allegedly reversed the association; this matches @kahane2011, not the single-author 2012 review record.",identified:@kahane2011,False,False,[],False,False,False
10.2466/pr0.94.2.733-735,Self-Defeating Personality and Memories of Parents' Child-Rearing Behaviour: A Replication,10.2466/pr0.1993.73.3f.1232,Attachment Histories for People with Characteristics of Self-Defeating Personality,judged,mo,"[""Self-defeating personality and memories of parents' child-rearing behaviour""]",['10.2466/pr0.91.6.436-438'],@williams1993,gpt-5.6-luna,@pezzarossa2002,"A recent study of correlations of self-defeating personality and memories of parents' child-rearing behaviour has been replicated on a larger sample. Replicating previous findings, memories of rejecting or nonsupportive parents were significantly correlated with scores for the Self-defeating Personality Scale for both women and men.",,True,"The study states it replicated a recent study on correlations between self-defeating personality and memories of parents' child-rearing behaviour; the cited record with exactly that topic and title is Pezzarossa et al. (2002), while other records concern the scale, EMBU, or related topics.",identified:@pezzarossa2002,True,True,['@pezzarossa2002'],True,True,True
10.1177/008124630303300307,A Comparison of Native and Non-Native English-Speaking Groups' Understanding of the Vocabulary Contained within the 16PF (SA92),10.4102/sajip.v25i1.679,The comparability of the constructs of the 16PF in the South African context,judged,mo,['Qualitative and statistical impacts of home language on responses to the items of the Sixteen Personality Factor Questionnaire (16PF) in South Africa'],['10.1177/008124639902900204'],@abrahams1999b,gpt-5.6-luna,@abrahams1999,Part of the qualitative phase of Abrahams and Mauer's (1999b) study was replicated at the University of Cape Town with both native English-speaking and non-native English-speaking students.,,True,"The study explicitly says it replicated part of Abrahams and Mauer's (1999b) study, and the reference list maps that citation to @abrahams1999b.",identified:@abrahams1999b,False,False,[],False,False,False
10.1017/s1930297500003144,On making the right choice: A meta-analysis and large-scale replication attempt of the unconscious thought advantage,10.1126/science.1121629,On Making the Right Choice: The Deliberation-Without-Attention Effect,judged,split,['The unconscious thought advantage: Further replication failures from a search for confirmatory evidence'],['10.1017/s1930297500003338'],@dijksterhuis2006,gpt-5.4-mini,@nieuwenstein2012,"To test these accounts, we conducted a meta-analysis and a large-scale replication study (N = 399) that met the conditions deemed optimal for replicating the UTA.",,True,"The study re-tests the unconscious thought advantage (UTA), and its title closely mirrors Dijksterhuis et al. (2006) 'On Making the Right Choice: The Deliberation-Without-Attention Effect,' the original paper on this effect.",identified:@dijksterhuis2006,False,False,[],False,False,False
10.1186/ar2423,Association of single-nucleotide polymorphisms in RHOB and TXNDC3 with knee osteoarthritis susceptibility: two case-control studies in East Asian populations and a meta-analysis,10.1086/511443,Genetic Association Analysis of RHOB and TXNDC3 in Osteoarthritis,judged,mo,"['Cis-and trans-acting gene regulation is associated with osteoarthritis', 'Cis-and trans-acting gene regulation is associated with osteoarthritis']","['10.1086/503849', '10.1086/503849']",@loughlin2007,gpt-5.6-luna,@mahr2006,The association of TXNDC3 was replicated in Chinese female (P = 0.04) and Japanese (P = 0.03) patients,,True,"The study states it replicates the association previously reported in European Caucasians of TXNDC3 with knee OA susceptibility, and the only listed record matching that European genetic association analysis of RHOB and TXNDC3 is @loughlin2007.",identified:@loughlin2007,False,False,[],False,False,False
10.1098/rspb.2009.1765,"Grapheme-colour synaesthesia improves detection of embedded shapes, but without pre-attentive ‘pop-out’ of synaesthetic colour",10.1038/35019148,Five plus two equals yellow,judged,mo,['Psychophysical investigations into the neural basis of synaesthesia'],['10.1098/rspb.2000.1576'],@dixon2000,gpt-5.6-luna,@ramachandran2001b,"In this study, we repeat the original study on a larger group of synaesthetes (n = 36)",,True,"The abstract refers to the original finding that synaesthetes are better at detecting a triangle made of 2s among 5s, which matches Ramachandran & Hubbard's psychophysical investigation of synaesthesia using embedded shapes.",identified:@ramachandran2001b,True,True,['@ramachandran2001b'],True,True,True
10.1017/s0272263100015394,Explanation versus Structured Input in Processing Instruction,10.1017/s0272263100011979,Explicit Instruction and Input Processing,judged,split,['Input processing and second language acquisition: A role for instruction'],['10.2307/329557'],@vanpatten1993,gpt-5.6-luna,,This study replicates VanPatten and Cadierno (1993) in an attempt to determine whether or not explicit information given to learners receiving processing instruction is responsible for the beneficial effects of instruction.,,True,"The abstract explicitly states that the study replicates VanPatten and Cadierno (1993), which matches the cited record @vanpatten1993 by Bill VanPatten and Teresa Cadierno (1993).",identified:@vanpatten1993,False,False,[],False,False,False
10.1101/lm.1896010,What makes recognition without awareness appear to be elusive? Strategic factors that influence the accuracy of guesses,10.1101/lm.1815010,Recognition without awareness: An elusive phenomenon,judged,mo,['Accurate forced-choice recognition without awareness of memory retrieval'],['10.1101/lm.971208'],@jeneson2010,gpt-5.6-luna,@voss2008b,"In this issue, Jeneson and colleagues report a failure to replicate accurate guesses and also a tendency on the part of subjects to hazard guesses infrequently, even though testing circumstances were very similar to those that we used. To resolve this discrepancy, we developed a simple manipulation to encourage either guessing or confident responding.",,True,"The passage says Jeneson and colleagues failed to replicate accurate guesses and that the authors' previous demonstrations of implicit recognition involved forced-choice testing with high perceptual similarity; the matching original on the list is Voss, Baym et al. (2008), 'Accurate forced-choice re",identified:@voss2008b,True,True,['@voss2008b'],True,True,True
10.1186/ar4504,Lack of validation of genetic variants associated with anti–tumor necrosis factor therapy response in rheumatoid arthritis: a genome-wide association study replication and meta-analysis,10.2119/2008-00056.liu,Genome-Wide Association Scan Identifies Candidate Polymorphisms Associated with Differential Response to Anti-TNF Treatment in Rheumatoid Arthritis,judged,mo,['Genome-wide association study of genetic predictors of anti-tumor necrosis factor treatment efficacy in rheumatoid arthritis identifies associations with polymorphisms at seven loci'],['10.1002/art.30130'],@liu2008,gpt-5.6-luna,,"In this study, our aim was to elucidate the role of four polymorphisms identified in a prior large genome-wide association study (GWAS) in which the investigators analyzed the responses of patients with rheumatoid arthritis (RA) to treatment with tumor necrosis factor inhibitors (TNFi). The authors of that study reported that the four genetic variants were significantly associated.",,True,The study states it re-tests four polymorphisms from a prior large GWAS of anti-TNF response in RA; the cited record @liu2008 is the genome-wide association scan identifying candidate polymorphisms associated with differential response to anti-TNF treatment. The four SNPs and the description of a pr,identified:@liu2008,False,False,[],False,False,False
10.1177/153944928900900404,Direct Replication: Relationship of Upper Extremity Weight Bearing to Hand Skills of Boys with Cerebral Palsy,10.1177/153944928600600404,Improving Prehension Skills of Children with Cerebral Palsy: A Clinical Study,judged,mo,['Relationship of upper extremity weight bearing to hand skills of boys with cerebral palsy'],['10.1177/153944928900900302'],@barnes1986,gpt-5.6-luna,@barnes1989,The purpose of this study was to conduct a direct replication of a previous study by the same investigator in which a positive relationship between this treatment and the development of prehension abilities was observed.,,True,The study says it directly replicates a previous study by the same investigator on upper extremity weight bearing and hand/prehesion skills; the matching original title is @barnes1989.,identified:@barnes1989,True,True,['@barnes1989'],True,True,True
10.1177/1526924816641814,The Potential (F)utility of a Passive Organ Donor Registration Opportunity,10.1080/13548506.2011.564353,Increasing organ donor registration rates by providing an immediate and complete registration opportunity: An experimental assessment of the IIFF model,judged,split,['Improving organ donor registration using kiosks in primary care clinics'],['10.1177/0017896914559854'],@alvaro2011,gpt-5.6-luna,,"The goal of the current set of studies was to conceptually replicate a prior study indicating the lack of utility of a lone, immediate and complete registration opportunity (ICRO).",,True,"The study says it conceptually replicates a prior study showing the lack of utility of a lone ICRO; @alvaro2011 is the record whose title explicitly describes an experimental assessment of an immediate and complete registration opportunity under the IIFF model, matching that target finding and desig",identified:@alvaro2011,False,False,[],False,False,False
10.1145/2915970.2915983,A replication study on the effects of weighted moving windows for software effort estimation,10.1002/smr.1672,On the effectiveness of weighted moving windows: Experiment on linear regression based software effort estimation,judged,both,['The evaluation of weighted moving windows for software effort estimation'],['10.1007/978-3-642-39259-7_18'],@amasaki2014,gpt-5.4-mini,@amasaki2013,A replication study on the effects of weighted moving windows for software effort estimation,,True,"The abstract points to a prior study that extended moving windows by weighting projects for regression-based estimation and improved accuracy on an ISBSG single-company dataset, which matches Amasaki & Lokan's 2014 paper on weighted moving windows for linear regression-based software effort estimati",identified:@amasaki2014,False,False,[],False,False,False
10.1002/art.39619,Replication of Associations of Genetic Loci Outside the HLA Region With Susceptibility to Anti–Cyclic Citrullinated Peptide–Negative Rheumatoid Arthritis,10.1136/annrheumdis-2011-201225,Genetic markers of rheumatoid arthritis susceptibility in anti-citrullinated peptide antibody negative patients,judged,mo,['High-density genetic mapping identifies new susceptibility loci for rheumatoid arthritis'],['10.1038/ng.2462'],@viatte2012,gpt-5.6-luna,@syndicate2012,"We performed a case-control replication study of the anti-CCP-negative markers with the strongest associations in that discovery study, in an independent cohort of anti-CCP-negative UK RA patients.",,True,"The study explicitly replicates anti-CCP-negative non-HLA markers from ""that discovery study""; the listed @viatte2012 is titled ""Genetic markers of rheumatoid arthritis susceptibility in anti-citrullinated peptide antibody negative patients,"" matching the described discovery study.",identified:@viatte2012,False,False,[],False,False,False
10.1080/10586458.2016.1173413,Reply to “Reproducibility in Computational Science: A Case Study: Randomness of the Digits of Pi” [Bailey et al. 17],10.1080/10586458.2016.1163755,Reproducibility in Computational Science: A Case Study: Randomness of the Digits of Pi,judged,mo,['The decimal expansion of π is not statistically random'],['10.1080/10586458.2013.870504'],@bailey2016,gpt-6-luna,@ganz2014,"While the authors are able to reproduce the original results by Ganz, they claim that their additional tests using different parameters than those employed by Ganz fail to replicate Ganz's phenomenon. The authors however fail to assess the mathematical implications of their additional parameter choices and, finally, to evaluate the distribution of their obtained results. By completing the statistical analysis of their results, one finds that the phenomenon claimed by Ganz can very well be replicated.",,True,"The study explicitly describes its target as the original results and phenomenon claimed by Ganz about the decimal expansion of π, citing Ganz 2014. Bailey et al. 2016 is the replication/reanalysis being replied to, not the original finding re-tested.",identified:@ganz2014,True,True,['@ganz2014'],True,True,True
