ref_o,doi_o,study_o,year_o,ref_r,doi_r,url_r,study_r,abstract_r,year_r,outcome,outcome_quote,out_quote_source,type,quote_validated,quote_similarity,pathway_source,validation_status,readiness_level,multi_target,flora_match_type,original_source,prep_notes,match_status,match_method,match_confidence
,,,,Rodriguez & Strange (2014). Dissonance-induced false memories: Evidence from a free-choice paradigm. Journal of Cognitive Psychology.,10.1080/20445911.2014.925459,https://doi.org/10.1080/20445911.2014.925459,Dissonance-induced false memories: Evidence from a free-choice paradigm,"People often misremember the past as consistent with the present. Recent research using an induced-compliance paradigm has revealed that cognitive dissonance is one mechanism that can underlie this memory distortion. We sought to replicate and extend this finding using a free-choice paradigm: Participants made either an easy or a difficult choice between two smartphones and, either immediately or two days later, reported their memories for their decision experience. Participants who made a difficult decision produced the spread-of-alternatives effect expected by dissonance theory, and they were also more likely than those in the easy conditions to misremember their initial decision more favourably than they had initially rated it. Overall, our findings replicate the effect of dissonance on memory distortion and, further, show that the effect generalises to other dissonance-inducing situations.",2014.0,successful,"Overall, our findings replicate the effect of dissonance on memory distortion",abstract,replication,True,1.0,openalex,llm_confirmed,3,False,,,"openalex: The abstract explicitly states the authors 'sought to replicate and extend' prior findings about dissonance-induced memory distortion and describes new participant choice/memory measures, indicating a replication using new data. No specific original paper or author/year is cited in the title or abstract, so the exact original study cannot be identified from the provided text. | The abstract states participants showed the expected spread-of-alternatives and were more likely to misremember decisions; authors explicitly say their findings replicate the effect of dissonance on memory distortion. [outcome_confidence: high]",unmatched,,
,,,,Salassa & Romano (2018). Autophagy: A necessary process during the <i>Trypanosoma cruzi</i> life-cycle. Virulence.,10.1080/21505594.2018.1543517,https://doi.org/10.1080/21505594.2018.1543517,Autophagy: A necessary process during the <i>Trypanosoma cruzi</i> life-cycle,"Autophagy is a well-conserved process of self-digestion of intracellular components. <i>T. cruzi</i> is a protozoan parasite with a complex life-cycle that involves insect vectors and mammalian hosts. Like other eukaryotic organisms, <i>T. cruzi</i> possesses an autophagic pathway that is activated during metacyclogenesis, the process that generates the infective forms of parasites. In addition, it has been demonstrated that mammalian autophagy has a role during host cell invasion by <i>T. cruzi</i>, and that <i>T. cruzi</i> can modulate this process to its own benefit. This review describes the latest findings concerning the participation of autophagy in both the <i>T. cruzi</i> differentiation processes and during the interaction of parasites within the host cells. Data to date suggest parasite autophagy is important for parasite survival and differentiation, which offers interesting prospects for therapeutic strategies. Additionally, the interruption of mammalian autophagy reduces the parasite infectivity, interfering with the intracellular cycle of <i>T. cruzi</i> inside the host. However, the impact on other stages of development, such as the intracellular replication of parasites is still not clearly understood. Further studies in this matter are necessaries to define the integral effect of autophagy on <i>T. cruzi</i> infection with both <i>in vitro</i> and <i>in vivo</i> approaches.",2018.0,,,,,,,openalex,false_positive,7,True,,,openalex: The paper is explicitly a review ('This review describes the latest findings') summarizing existing research on autophagy in T. cruzi; it does not report collecting new data nor reanalyzing original datasets and does not claim to replicate or reproduce a specific prior study.,unmatched,,
"Purdie-Vaughns, V., Steele, C. M., Davies, P. G., Ditlmann, R., & Crosby, J. R. (2008). Social identity contingencies: How diversity cues signal threat or safety for African Americans in mainstream institutions. Journal of Personality and Social Psychology, 94(4), 615–630. https://doi.org/10.1037/0022-3514.94.4.615",10.1037/0022-3514.94.4.615,Social identity contingencies: How diversity cues signal threat or safety for African Americans in mainstream institutions.,2008.0,"Schmidt, K. (2015). Secularism, Identity, and Enchantment. Politics, Religion &amp; Ideology, 16(2–3), 322–324. https://doi.org/10.1080/21567689.2015.1035870",10.1080/21567689.2015.1035870,https://doi.org/10.1080/21567689.2015.1035870,"Secularism, Identity, and Enchantment","In Secularism, Identity, and Enchantment, Akeel Bilgrami offers a collection of essays on the relationship between religion and politics. He notes in his introduction that the essays are somewhat i...",2015.0,,,,,,,observatory,false_positive,7,True,,manual_entry,"observatory: The title and abstract describe a collection of essays/book by Akeel Bilgrami on religion and politics, not an empirical replication or computational reproduction of a prior study; no indication of reanalyzing or collecting data to test another study.",unmatched,,
,,,,"Hevey, D. (2018). Network analysis: a brief overview and tutorial. Health Psychology and Behavioral Medicine, 6(1), 301–328. https://doi.org/10.1080/21642850.2018.1521283",10.1080/21642850.2018.1521283,https://doi.org/10.1080/21642850.2018.1521283,Network analysis: a brief overview and tutorial,"<b>Objective</b> <i>:</i> The present paper presents a brief overview on network analysis as a statistical approach for health psychology researchers. Networks comprise graphical representations of the relationships (edges) between variables (nodes). Network analysis provides the capacity to estimate complex patterns of relationships and the network structure can be analysed to reveal core features of the network. This paper provides an overview of networks, how they can be visualised and analysed, and presents a simple example of how to conduct network analysis in <i>R</i> using data on the Theory Planned Behaviour (TPB). <b>Method</b>: Participants (<i>n</i> = 200) completed a TPB survey on regular exercise. The survey comprised items on attitudes, normative beliefs, perceived behavioural control, and intentions. Data were analysed to examine the network structure of the variables. The EBICglasso was applied to the partial correlation matrix. <b>Results</b>: The network structure reveals the variation in relationships between the items. The network split into three distinct communities of items. The affective attitude item was the central node in the network. However, replication of the network in larger samples to produce more stable and robust estimates of network indices is required. <b>Conclusions</b>: The reported network reveals that the affective attitudinal variable was the most important node in the network and therefore interventions could prioritise targeting changing the emotional responses to exercise. Network analysis offers the potential for insight into structural relations among core psychological processes to inform the health psychology science and practice.",2018.0,,,,,,,openalex,needs_review,6,False,,,openalex:,unmatched,,
,,,,Lei et al. (2020). IFITM3 affects the level of antibody response after influenza vaccination. Emerging Microbes & Infections.,10.1080/22221751.2020.1756696,https://doi.org/10.1080/22221751.2020.1756696,IFITM3 affects the level of antibody response after influenza vaccination,"Interferon-induced transmembrane protein 3 (IFITM3) as an antiviral factor can inhibit replication of several viruses including influenza virus. A single-nucleotide polymorphism rs12252-C of <i>IFITM3</i> results in a truncated IFITM3 protein lacking its first 21 amino acids, which is much higher in the Han Chinese population and associated with severe illness in adults infected with pandemic influenza H1N1/09 virus. To investigate if IFITM3 or <i>IFITM3</i> rs12252-C could affect the antibody response after influenza vaccination, we detected the haemagglutination inhibition (HI) of 171 healthy young adult volunteers (<i>IFITM3</i> rs12252-C/C, C/T, T/T carriers) and in an IFITM3-deletion mouse model (<i>Ifitm3<sup>-/-</sup></i>) after trivalent inactivated vaccine (TIV) immunization. Seroconversion rates for H1N1, H3N2 and B viruses in <i>IFITM3</i> rs12252-C/C genotype carriers was lower compared with C/T and T/T donors<b>.</b> Significantly lower levels of specific antibodies to H1N1, H3N2 and B viruses and total IgG were observed in <i>Ifitm3<sup>-/-</sup></i> mice. Correspondingly, the numbers of splenic germinal centre (GC) B cells, plasma cells, TIV-specific IgG<sup>+</sup> antibody secreting cells and T follicular helper cells in <i>Ifitm3<sup>-/-</sup></i> mice were lower compared with wild type mice. However, the number of memory B cells was higher in <i>Ifitm3<sup>-/-</sup></i> mice at day 7 after booster. The HI level of <i>Ifitm3<sup>-/-</sup></i> mice remained lower than WT mice after third vaccination. Moreover, the transcriptional network regulating GC B cell and plasma cell differentiation was abnormal in <i>Ifitm3<sup>-/-</sup></i> mice. Our results indicate that IFITM3 deletion attenuated the antibody response. The mechanism of influenza-IFITM3 interactions affecting the antibody response requires further investigation.",2020.0,,,,,,,openalex,false_positive,7,True,,,openalex: The paper reports original experimental data (human volunteers and IFITM3 knockout mice) investigating IFITM3's role in vaccine antibody responses and does not state that it is reproducing or replicating a prior study or reanalyzing existing data.,unmatched,,
,,,,"Martin, M.-F., Maarifi, G., Abiven, H., Seffals, M., Mouchet, N., Beck, C., Bodet, C., Lévèque, N., Arhel, N. J., Blanchet, F. P., Simonin, Y., & Nisole, S. (2022). Usutu Virus escapes langerin-induced restriction to productively infect human Langerhans cells, unlike West Nile virus. Emerging Microbes &amp; Infections, 11(1), 761–774. https://doi.org/10.1080/22221751.2022.2045875",10.1080/22221751.2022.2045875,https://doi.org/10.1080/22221751.2022.2045875,"Usutu Virus escapes langerin-induced restriction to productively infect human Langerhans cells, unlike West Nile virus","Usutu virus (USUV) and West Nile virus (WNV) are phylogenetically close emerging arboviruses and constitute a global public health threat. Since USUV and WNV are transmitted by mosquitoes, the first immune cells they encounter are skin-resident dendritic cells, the most peripheral outpost of immune defense. This unique network is composed of Langerhans cells (LCs) and dermal DCs, which reside in the epidermis and the dermis, respectively. Using human skin explants, we show that while both viruses can replicate in keratinocytes, they can also infect resident DCs with distinct tropism: WNV preferentially infects DCs in the dermis, whereas USUV has a greater propensity to infect LCs. Using both purified human epidermal LCs (eLCs) and monocyte derived LCs (MoLCs), we confirm that LCs sustain a faster and more efficient replication of USUV than WNV and that this correlates with a more intense innate immune response to USUV compared with WNV. Next, we show that ectopic expression of the LC-specific C-type lectin receptor (CLR), langerin, in HEK293T cells allows WNV and USUV to bind and enter, but supports the subsequent replication of USUV only. Conversely, blocking or silencing langerin in MoLCs or eLCs made them resistant to USUV infection, thus demonstrating that USUV uses langerin to enter and replicate in LCs. Altogether, our results demonstrate that LCs constitute privileged target cells for USUV in human skin, because langerin favours its entry and replication. Intriguingly, this suggests that USUV efficiently escapes the antiviral functions of langerin, which normally safeguards LCs from most viral infections.",2022.0,,,,,,,openalex,false_positive,7,True,,,"openalex: The title and abstract describe original virology experiments (human skin explants, purified LCs, HEK293T expression, blocking/silencing) investigating USUV vs WNV tropism and the role of langerin. There is no language indicating this paper is reproducing or replicating a specific prior study or reanalyzing existing data.",unmatched,,
,,,,"Leveringhaus, E., Poljakovic, R., Herrmann, G., Roman-Sosa, G., Becher, P., & Postel, A. (2024). Porcine low-density lipoprotein receptor plays an important role in classical swine fever virus infection. Emerging Microbes &amp; Infections, 13(1). https://doi.org/10.1080/22221751.2024.2327385",10.1080/22221751.2024.2327385,https://doi.org/10.1080/22221751.2024.2327385,Porcine low-density lipoprotein receptor plays an important role in classical swine fever virus infection,"Several cellular factors have been reported to be required for replication of classical swine fever virus (CSFV), a member of the genus <i>Pestivirus</i> within the family <i>Flaviviridae</i>. However, many steps of its replication cycle are still poorly understood. The low-density lipoprotein receptor (LDLR) is involved in cell entry and post-entry processes of different viruses including other members of the <i>Flaviviridae</i>. In this study, the relevance of LDLR in replication of CSFV and another porcine pestivirus, Bungowannah pestivirus (BuPV), was investigated by antibody-mediated blocking of LDLR and genetically engineered porcine cell lines providing altered LDLR expression levels. An LDLR-specific antibody largely blocked infection with CSFV, but had only a minor impact on BuPV. Infections of the genetically modified cells confirmed an LDLR-dependent replication of CSFV. Compared to wild type cells, lower and higher expression of LDLR resulted in a 3.5-fold decrease or increase in viral titers already 20 h post infection. Viral titers were 25-fold increased in LDLR-overexpressing cells compared to cells with reduced LDLR expression at 72 h post infection. The varying LDLR expression levels had no clear effect on permissivity to BuPV. A decoy receptor assay using recombinant soluble LDLR provided no evidence that LDLR may function as a receptor for CSFV or BuPV. Differences in their dependency on LDLR suggest that CSFV and BuPV likely use different mechanisms to interact with their host cells. Moreover, this study reveals similarities in the replication cycles of CSFV and other members of the family <i>Flaviviridae</i> that are dependent on LDLR.",2024.0,,,,,,,openalex,false_positive,7,True,,,"openalex: The abstract describes original experimental work (antibody blocking, genetically engineered porcine cell lines, decoy receptor assay) investigating LDLR's role in CSFV and BuPV replication; it does not state that it is reanalyzing prior data or explicitly attempting to replicate a specific previous study.",unmatched,,
,,,,"Kwon, T., Artiaga, B. L., McDowell, C. D., Whitworth, K. M., Wells, K. D., Prather, R. S., Delhon, G., Cigan, M., White, S. N., Retallick, J., Gaudreault, N. N., Morozov, I., & Richt, J. A. (2024). Gene editing of pigs to control influenza A virus infections. Emerging Microbes &amp; Infections, 13(1). https://doi.org/10.1080/22221751.2024.2387449",10.1080/22221751.2024.2387449,https://doi.org/10.1080/22221751.2024.2387449,Gene editing of pigs to control influenza A virus infections,"Proteolytic activation of the haemagglutinin (HA) glycoprotein by host cellular proteases is pivotal for influenza A virus (IAV) infectivity. Highly pathogenic avian influenza viruses possess the multibasic cleavage site of the HA which is cleaved by ubiquitous proteases, such as furin; in contrast, the monobasic HA motif is recognized and activated by trypsin-like proteases, such as the transmembrane serine protease 2 (TMPRSS2). Here, we aimed to determine the effects of TMPRSS2 on the replication of pandemic H1N1 and H3N2 subtype IAVs in the natural host, the pig. The use of the CRISPR/Cas 9 system led to the establishment of homozygous gene edited (GE) <i>TMPRSS2</i> knockout (KO) pigs. Delayed IAV replication was demonstrated in primary respiratory cells of KO pigs <i>in vitro</i>. IAV infection <i>in vivo</i> resulted in a significant reduction of virus shedding in the upper respiratory tract, and lower virus titers and pathological lesions in the lower respiratory tract of <i>TMPRSS2</i> KO pigs as compared to wild-type pigs. Our findings support the commercial use of GE pigs to mitigate influenza A virus infection in pigs, as an alternative approach to prevent zoonotic influenza A transmissions from pigs to humans.",2024.0,,,,,,,openalex,false_positive,7,True,,,openalex: This is original experimental research using CRISPR/Cas9 to generate TMPRSS2 knockout pigs and test influenza A virus infection; the abstract does not state it is replicating or reanalyzing any prior study.,unmatched,,
"Bargh, J. A., Chaiken, S., Raymond, P., & Hymes, C. (1996). The Automatic Evaluation Effect: Unconditional Automatic Attitude Activation with a Pronunciation Task. Journal of Experimental Social Psychology, 32(1), 104–128. https://doi.org/10.1006/jesp.1996.0005",10.1006/jesp.1996.0005,The Automatic Evaluation Effect: Unconditional Automatic Attitude Activation with a Pronunciation Task,1996.0,"Klauer, K. C., & Musch, J. (2001). Does Sunshine Prime Loyal? Affective Priming in the Naming Task. The Quarterly Journal of Experimental Psychology Section A, 54(3), 727–751. https://doi.org/10.1080/713755986",10.1080/713755986,https://doi.org/10.1080/713755986,Does Sunshine Prime Loyal? Affective Priming in the Naming Task,"Recent work has found an affective priming effect using the naming task: In pronouncing target words, pronunciation latencies were consistently shorter when the target (e.g., loyal) was preceded by an evaluatively congruent (e.g., sunshine) rather than incongruent prime word (e.g, rain). Using the naming task, no affective priming was found in the present studies irrespective of prime-set size and target-set size (Experiment 1), irrespective of stimulus-onset asynchrony (Experiment 2), and even when a nearly exact replication of previous work that demonstrated the effect was conducted (Experiment 3). Finally, bilingual German/English speakers exhibited strong associative priming, but no affective priming, in both the English as well as the German language (Experiment 4). The results show that priming for evaluatively related words is not a general finding.",2001.0,failed,no affective priming was found in the present studies,abstract,replication,True,1.0,observatory,already_in_flora,1,False,exact_pair,manual_entry,"observatory: The abstract reports multiple new experiments and explicitly states that Experiment 3 was a 'nearly exact replication of previous work that demonstrated the effect', so this is a new-data replication of a single prior study; the abstract does not name the original paper. | The replication report states across multiple experiments, including a near-exact replication, that no affective priming was found, directly contradicting the original finding, so the replication failed. [outcome_confidence: high]",unmatched,,
"Sandberg, L., Krzyzaniak, M., & Musgrave, R. (1964). The Shifting of the Corporation Income Tax. Ekonomisk Tidskrift, 66(3), 231. https://doi.org/10.2307/3438704",10.2307/3438704,The Shifting of the Corporation Income Tax,1964.0,"Cragg, J. G., Harberger, A. C., & Mieszkowski, P. (1967). Empirical Evidence on the Incidence of the Corporation Income Tax. Journal of Political Economy, 75(6), 811–821. https://doi.org/10.1086/259361",10.1086/259361,https://doi.org/10.1086/259361,Empirical Evidence on the Incidence of the Corporation Income Tax,,1967.0,,,,,,,observatory,needs_review,5,False,,manual_entry,observatory:,unmatched,,
"Funayama, M., Hasegawa, K., Kowa, H., Saito, M., Tsuji, S., & Obata, F. (2002). A new locus for Parkinson’s disease (PARK8) maps to chromosome 12p11.2–q13.1. Annals of Neurology, 51(3), 296–301. Portico. https://doi.org/10.1002/ana.10113",10.1002/ana.10113,A new locus for Parkinson's disease (<i>PARK8</i>) maps to chromosome 12p11.2–q13.1,2002.0,"Zimprich, A., Müller-Myhsok, B., Farrer, M., Leitner, P., Sharma, M., Hulihan, M., Lockhart, P., Strongosky, A., Kachergus, J., Calne, D. B., Stoessl, J., Uitti, R. J., Pfeiffer, R. F., Trenkwalder, C., Homann, N., Ott, E., Wenzel, K., Asmus, F., Hardy, J., … Gasser, T. (2004). The PARK8 Locus in Autosomal Dominant Parkinsonism: Confirmation of Linkage and Further Delineation of the Disease-Containing Interval. The American Journal of Human Genetics, 74(1), 11–19. https://doi.org/10.1086/380647",10.1086/380647,https://doi.org/10.1086/380647,The PARK8 Locus in Autosomal Dominant Parkinsonism: Confirmation of Linkage and Further Delineation of the Disease-Containing Interval,,2004.0,,,,,,,observatory,needs_review,5,False,,manual_entry,observatory:,unmatched,,
"Chen, Q., He, G., Wang, X. Y., Chen, Q. Y., Liu, X. M., Gu, Z. Z., Liu, J., Li, K. Q., Wang, S. J., Zhu, S. M., Feng, G. Y., & He, L. (2004). Positive association between synapsin II and schizophrenia. Biological Psychiatry, 56(3), 177–181. https://doi.org/10.1016/j.biopsych.2004.05.010",10.1016/j.biopsych.2004.05.010,Positive association between synapsin II and schizophrenia,2004.0,"Chen, Q., He, G., Qin, W., Chen, Q., Zhao, X., Duan, S., Liu, X., Feng, G., Xu, Y., St Clair, D., Li, M., Wang, J., Xing, Y., Shi, J., & He, L. (2004). Family-Based Association Study of Synapsin II and Schizophrenia. The American Journal of Human Genetics, 75(5), 873–877. https://doi.org/10.1086/425588",10.1086/425588,https://doi.org/10.1086/425588,Family-Based Association Study of Synapsin II and Schizophrenia,,2004.0,,,,,,,observatory,needs_review,5,False,,manual_entry,observatory:,unmatched,,
"Guth, L. (1983). Carl R. Brewer (1912–1982). Experimental Neurology, 80(1), 263–264. https://doi.org/10.1016/0014-4886(83)90023-7",10.1016/0014-4886(83)90023-7,Carl R. Brewer (1912–1982),1983.0,"Pecorino, P., & Van Boening, M. (2010). Fairness in an Embedded Ultimatum Game. The Journal of Law and Economics, 53(2), 263–287. https://doi.org/10.1086/599622",10.1086/599622,https://doi.org/10.1086/599622,Fairness in an Embedded Ultimatum Game,"We embed an ultimatum game in a stylized legal bargaining framework. This changes the framing of the standard ultimatum game in several ways but also moves the bargaining closer to what is found in some naturally occurring settings. In this context, the ultimatum game is played over the joint surplus, which is achieved from settlement rather than a dispute. In our embedded ultimatum game, the median offer contains only 8 percent of the joint surplus from settlement. When we replicate the simple ultimatum game, we find that 50 percent of the joint surplus is contained in the median offer.",2010.0,mixed,"When we replicate the simple ultimatum game, we find that 50 percent of the joint surplus is contained in the median offer.",abstract,replication,True,1.0,openalex,llm_confirmed,1,False,,crossref_llm_search,"openalex: The abstract explicitly states 'we replicate the simple ultimatum game' and reports the classic 50% median offer result; this refers to the canonical ultimatum game experimental finding (Guth et al. 1982). The paper appears to collect new data in an embedded framing and also runs a replication of the standard game. | The replication produced divergent results across framings: the embedded ultimatum game yielded a median offer of only 8% of the joint surplus, while the replicated simple ultimatum game produced a 50% median offer (i.e., the classic finding). Thus the simple UG effect was replicated but the embedded framing did not replicate the original pattern, so the outcome is mixed. The provided putative original (Guth (1983) / Carl R. Brewer) is incorrect; the canonical original is Güth et al. (1982). [outcome_confidence: high]",unmatched,,
,,,,"Oxman, M. N. (2010). Zoster Vaccine: Current Status and Future Prospects. Clinical Infectious Diseases, 51(2), 197–213. https://doi.org/10.1086/653605",10.1086/653605,https://doi.org/10.1086/653605,Zoster Vaccine: Current Status and Future Prospects,"Live, attenuated Oka/Merck varicella-zoster virus (VZV) vaccine (zoster vaccine) protects immunocompetent adults from herpes zoster and its complications. Success of zoster vaccine in preventing the clinical manifestations of latent VZV reactivation contrasts with the failure to achieve similar results with vaccination to prevent recurrent herpes simplex. This reflects major differences in the pathophysiology of latency and reactivation of these 2 alphaherpesviruses. The Shingles Prevention Study and many others have demonstrated that VZV-specific cell-mediated immunity, but not VZV antibody, plays a critical role in limiting reactivation and replication of latent VZV and, thus, in preventing herpes zoster and its complications. Consequently, induction of VZV-specific cell-mediated immunity and not antibody should be used as a proxy for the clinical efficacy of new formulations and uses of zoster vaccine. Prospects for improved zoster vaccines and their use in immunocompromised patients are discussed, and questions related to zoster vaccine use are addressed.",2010.0,,,,,,,openalex,needs_review,6,False,,,openalex:,unmatched,,
,,,,"Chapagain, M. L., & Nerurkar, V. R. (2010). Human Polyomavirus JC (JCV) Infection of Human B Lymphocytes: A Possible Mechanism for JCV Transmigration across the Blood‐Brain Barrier. The Journal of Infectious Diseases, 202(2), 184–191. https://doi.org/10.1086/653823",10.1086/653823,https://doi.org/10.1086/653823,Human Polyomavirus JC (JCV) Infection of Human B Lymphocytes: A Possible Mechanism for JCV Transmigration across the Blood‐Brain Barrier,"It has been suggested that JC virus (JCV) might travel to the central nervous system in infected B cells. Moreover, recent data suggest the presence of JCV in bone marrow plasma cells. However, the evidence for infection and replication of JCV in B cells is unclear. To address this question, we infected Epstein-Barr virus-transformed B cells with JCV and found that the viral genome decreased >1000-fold from days 0 to 20 after infection, which concurred with the absence of viral early and late messenger RNA transcripts and proteins. However, immunofluorescent images of B cells infected with fluorescein isothiocyanate-conjugated JCV demonstrated that JCV enters the B cells, and DNase protection assay confirmed the presence of intact JCV virions inside the B cells. Moreover, JCV-infected B cells were able to transmit infection to naive glial cells. These data confirm that JCV nonproductively infects B cells and possibly uses them as a vehicle for transmigration across the blood-brain barrier.",2010.0,,,,,,,openalex,false_positive,7,True,,,openalex: This is a primary experimental virology study reporting new infection/transmission data for JCV in B cells. The abstract describes original experiments and does not state it is replicating or reanalyzing any specific prior study.,unmatched,,
,,,,"González, U., Pinart, M., Reveiz, L., Rengifo‐Pardo, M., Tweed, J., Macaya, A., & Alvar, J. (2010). Designing and Reporting Clinical Trials on Treatments for Cutaneous Leishmaniasis. Clinical Infectious Diseases, 51(4), 409–419. https://doi.org/10.1086/655134",10.1086/655134,https://doi.org/10.1086/655134,Designing and Reporting Clinical Trials on Treatments for Cutaneous Leishmaniasis,"Cutaneous leishmaniasis is considered to be one of the most neglected and serious parasitic infectious skin diseases in many developing countries. We have assessed the design and reporting of randomized, controlled trials evaluating treatments included in 2 Cochrane systematic reviews on cutaneous leishmaniasis. The analysis of the methodological quality identified some potential bias that can make it difficult to determine whether truly effective therapies exist for this disease. We found important weaknesses in the adequacy and transparency of randomization, loss of participants, causative Leishmania species, outcome measures, and follow-up times. Given these distorting effects on the evidence base, we propose guidelines for authors who wish to conduct clinical trials aimed at the development of effective therapies in cutaneous leishmaniasis. The recommendations in this report will hopefully deserve the attention of the World Health Organization and assist in the planning and prioritization of global strategies for improving the interpretation and replication of clinical research on cutaneous leishmaniasis.",2010.0,,,,,,,openalex,false_positive,7,True,,,"openalex: This paper is a methodological assessment of randomized controlled trials (and proposals for reporting guidelines) based on trials included in two Cochrane reviews. It is a review/meta-research piece, not a replication (no new data collection to retest a prior study) nor a reproduction (no reanalysis of a single study's original data).",unmatched,,
,,,,"Kaur, P., Paliwal, A., Durantel, D., Hainaut, P., Scoazec, J., Zoulim, F., Chemin, I., & Herceg, Z. (2010). DNA Methylation of Hepatitis B Virus (HBV) Genome Associated with the Development of Hepatocellular Carcinoma and Occult HBV Infection. The Journal of Infectious Diseases, 202(5), 700–704. https://doi.org/10.1086/655398",10.1086/655398,https://doi.org/10.1086/655398,DNA Methylation of Hepatitis B Virus (HBV) Genome Associated with the Development of Hepatocellular Carcinoma and Occult HBV Infection,"Recent studies have identified the presence of methylation in the hepatitis B virus (HBV) genome and have suggested that it may be an important mechanism regulating transcription and replication of the HBV virus. However, it remains unclear whether this phenomenon is associated with occult hepatitis. Here, we performed a detailed analysis of DNA methylation in the HBV genome in liver samples of patients at different stages of hepatocarcinoma development and in in vitro infected hepatocytes and found discrete CpG sites in the HBV genome that are recurrently hypermethylated in cancer but not in chronic hepatitis tissue.",2010.0,,,,,,,openalex,false_positive,7,True,,,"openalex: This is an original empirical study analyzing DNA methylation in patient liver samples and in vitro infected hepatocytes. Although it cites prior work, it does not state that it reproduces or replicates a specific previous study or reanalyzes existing data.",unmatched,,
,,,,"Zhou, H., Zhu, J., Tu, J., Zou, W., Hu, Y., Yu, Z., Yin, W., Li, Y., Zhang, A., Wu, Y., Yu, Z., Chen, H., & Jin, M. (2010). Effect on Virulence and Pathogenicity of H5N1 Influenza A Virus through Truncations of NS1 eIF4GI Binding Domain. The Journal of Infectious Diseases, 202(9), 1338–1346. https://doi.org/10.1086/656536",10.1086/656536,https://doi.org/10.1086/656536,Effect on Virulence and Pathogenicity of H5N1 Influenza A Virus through Truncations of NS1 eIF4GI Binding Domain,"To study the effect of NS1 eIF4GI binding domain on virulence and pathogenicity of H5N1 influenza A virus, 5 recombinant H5N1 viruses encoding eIF4GI binding domain-truncated NS1 proteins and parental NS1 (NS1‐wt) were generated by an 8‐plasmid-based reverse genetics system. The results indicated that the recombinants with the addition of 5‐amino acid and the deletion position of 85-89 in NS1‐wt were attenuated in replication in vitro and in vivo, compared with the recombinant wild‐type virus rNS1‐wt, whereas the deletion position 85-94 or the entire eIF4GI binding domain in NS1‐wt displayed a significantly attenuated phenotype in chicken and mice. We also showed that the eIF4GI binding domain-truncated mutants were impaired in their ability to inhibit interferon production in vitro, and they did not replicate as efficiently as the parental recombinant strain in embryonated hen eggs, in Madin ‐Darby Canine Kidney cells, or in vivo in chickens and in a mouse model. Therefore, these attenuated NS1‐truncated viruses may have a great potential as live attenuated vaccine candidates against H5N1 influenza A virus.",2010.0,,,,,,,openalex,false_positive,7,True,,,openalex: The abstract describes original experimental work generating and testing recombinant H5N1 viruses (new biological data) and does not state that it is reproducing or replicating any prior study or reanalyzing prior data; therefore it is not a replication/reproduction study.,unmatched,,
,,,,"Bai, F., Kong, K., Dai, J., Qian, F., Zhang, L., Brown, C. R., Fikrig, E., & Montgomery, R. R. (2010). A Paradoxical Role for Neutrophils in the Pathogenesis of West Nile Virus. The Journal of Infectious Diseases, 202(12), 1804–1812. https://doi.org/10.1086/657416",10.1086/657416,https://doi.org/10.1086/657416,A Paradoxical Role for Neutrophils in the Pathogenesis of West Nile Virus,"Polymorphonuclear leukocytes (PMNs) are key in innate immunity, but their role in viral pathogenesis is incompletely understood. In infection due to West Nile virus (WNV), we found that expression of 2 PMN-attracting chemokines, Cxcl1 and Cxcl2, was rapidly and dramatically elevated in macrophages. PMNs are rapidly recruited to the site of WNV infection in mice and support efficient replication of WNV. Mice depleted of PMNs after WNV inoculation developed higher viremia and experienced earlier death, compared with the control group, which suggest a protective role for PMNs. In contrast, when PMNs were depleted prior to infection with WNV, and in mice deficient in Cxcr2 (a chemokine receptor gene), viremia was reduced and survival was enhanced. Collectively, these data suggest that PMNs have a biphasic response to WNV infection, serving as a reservoir for replication and dissemination in early infection and later contributing to viral clearance.",2010.0,,,,,,,openalex,needs_review,6,False,,,openalex:,unmatched,,
"Acemoglu, D., & Johnson, S. (2007). Disease and Development: The Effect of Life Expectancy on Economic Growth. Journal of Political Economy, 115(6), 925–985. https://doi.org/10.1086/529000",10.1086/529000,Disease and Development: The Effect of Life Expectancy on Economic Growth,2007.0,"Bloom, D. E., Canning, D., & Fink, G. (2014). Disease and Development Revisited. Journal of Political Economy, 122(6), 1355–1366. https://doi.org/10.1086/677189",10.1086/677189,https://doi.org/10.1086/677189,Disease and Development Revisited,,2014.0,,,,,,,observatory,needs_review,5,False,,manual_entry,observatory:,unmatched,,
"Cohen, L., Coval, J., & Malloy, C. (2011). Do Powerful Politicians Cause Corporate Downsizing? Journal of Political Economy, 119(6), 1015–1060. https://doi.org/10.1086/664820",10.1086/664820,Do Powerful Politicians Cause Corporate Downsizing?,2011.0,"Snyder, J. A., & Welch, I. (2017). Do Powerful Politicians Really Cause Corporate Downsizing? Journal of Political Economy, 125(6), 2225–2231. https://doi.org/10.1086/694204",10.1086/694204,https://doi.org/10.1086/694204,Do Powerful Politicians Really Cause Corporate Downsizing?,,2017.0,,,,,,,observatory,needs_review,5,False,,manual_entry,observatory:,unmatched,,
