pair_id,group,V0,V0r,V1,V1b,V2,V3
9b5dd0775eded82e0e9455507184c76f,control_nodoc,failed,failed,failed,failed,,
9c048b3ae6b3a14a487d5e9f521bb0e1,control_doc,mixed,mixed,mixed,,mixed,mixed
9daa6f309476eafd6e71445a63f751ef,control_nodoc,(no target),(no target),(no target),(no target),,
a10adad19c57828dc67507bd2126277a,cbd_doc,cannot_be_determined,,cannot_be_determined,,cannot_be_determined,cannot_be_determined
a3b015e04e22fa431a33f1b2559e38c6,control_doc,successful,successful,successful,,successful,successful
a53acf2b500bb90b93de9d5fb6801acc,cbd_doc_osf,prospective_registration,,prospective_registration,,prospective_registration,prospective_registration
a9be4e72f9e65771f6350d9d9213c1ca,control_nodoc,failed,failed,failed,failed,,
ab207b2746f4677a43ce4c89501b4af6,adj,cannot_be_determined,cannot_be_determined,cannot_be_determined,failed,,
ae4a75194c1020f693a9392a4a7e2547,cbd_doc_osf,prospective_registration,,prospective_registration,,prospective_registration,prospective_registration
aef1af3c1d4b80bdfa26cab8634f1fef,cbd_doc,prospective_registration,,prospective_registration,,prospective_registration,prospective_registration
af813049b62d9ecd2db8855ddfa68698,adj,cannot_be_determined,cannot_be_determined,cannot_be_determined,cannot_be_determined,,
b0e02f91a18d75645ad6fcef66f5e386,control_doc,failed,failed,failed,,failed,failed
b1f8185114a6988db4ad94162e4ca7b3,cbd_doc,mixed,,mixed,,,
b584bf270a51396e210652abc424a02c,control_nodoc,successful,successful,successful,successful,,
b5d97b228534bded3f9a70a64c806e6a,cbd_nodoc,(no target),,(no target),(no target),,
b98f984a0a16d9f73357bff7a79fbab4,cbd_nodoc,failed,,failed,failed,,
baff1c46ff5557ef45af7707746581fd,control_doc,mixed,mixed,mixed,,mixed,mixed
bb990d827dfcc1e680e293022b4a9f4e,cbd_doc,mixed,,mixed,,(no target),mixed
bd2309f756bef72bd6cabcc9ec57be11,control_nodoc,failed,failed,failed,failed,,
bde7ab617d43d54d02cc731abcca0033,control_doc,successful,successful,successful,,successful,successful
c207844613793ffcd5bcffc0f50c1dc9,cbd_doc_osf,prospective_registration,,prospective_registration,,prospective_registration,prospective_registration
c37d1632d9809586a565160d1819015e,control_doc,mixed,mixed,mixed,,mixed,mixed
c564e380006347689e127432e9bff98d,cbd_doc,prospective_registration,,prospective_registration,,prospective_registration,prospective_registration
c58711c73db9f5e91de03a6aef2e741d,adj,cannot_be_determined,cannot_be_determined,cannot_be_determined,,successful,successful
c794e7d1f2aecfa64aece9b3fd3130f2,control_nodoc,failed,failed,failed,failed,,
c83c3cef60ea63b61b1ff0df81dfc050,cbd_nodoc,(no target),,(no target),(no target),,
c8a858216ac12f3285b515a07da4b311,control_doc,successful,(no target),(no target),,(no target),(no target)
ca14bc1b78fcd0311759aa7b496044b0,control_doc,mixed,mixed,mixed,,mixed,mixed
cd0c0e2ec5520301ad9c25ddbc5af1c5,control_doc,successful,successful,successful,,successful,successful
cf6089649299c5cbba4ebcb34a105007,cbd_nodoc,cannot_be_determined,,cannot_be_determined,cannot_be_determined,,
cff16a2ea8e7b653645e1170e54051ca,control_nodoc,failed,failed,failed,failed,,
d26e7b513c9d9366eb971d7730fef238,cbd_nodoc,mixed,,mixed,mixed,,
d3867b7399eb869c1586ff5cbddc904a,cbd_doc,failed,,failed,,successful,successful
d6e8b51cd5048db4fd608a8bf0ea1a6a,adj,(no target),(no target),(no target),(no target),,
d6ffee0ee293da2a4c252ef2cce07b4b,control_nodoc,successful,successful,successful,successful,,
da55bbc121de59c165c55e76a4ac2869,cbd_doc,cannot_be_determined,,cannot_be_determined,,successful,successful
dc099974e6ed59ff55888f91a335ccd2,cbd_doc_osf,successful,,successful,,successful,successful
dd8301f23a0cc735d397e7988bec6066,control_nodoc,successful,successful,successful,successful,,
ddd5fb4e537077e984f1a14a8a8f444c,cbd_nodoc,cannot_be_determined,,failed,failed,,
e1ad74b746642ac9a80d3ccf89cc0adf,control_nodoc,successful,successful,successful,successful,,
e1c427b9327075d20751a895d43b8979,control_nodoc,successful,successful,successful,successful,,
e2290f82f59d5f21a6cf53f91deed71e,control_doc,failed,failed,failed,,failed,failed
e58aa19815de478b8d234c5504452347,cbd_nodoc,cannot_be_determined,,cannot_be_determined,cannot_be_determined,,
e5ef71c2961d9a810f3e09eb219cd562,cbd_nodoc,cannot_be_determined,,cannot_be_determined,cannot_be_determined,,
e7cd2d5e59e810ce602be50f2071c4c1,cbd_nodoc,cannot_be_determined,,cannot_be_determined,cannot_be_determined,,
e87148a3d62d6b44aa49688e79e09932,control_doc,successful,(no target),successful,,successful,successful
e92113ab8994e2bbca41cb0e8c8f7ded,control_nodoc,successful,successful,successful,successful,,
ea7727c61ce9c70c36eb00f72e2e776d,control_doc,successful,successful,successful,,successful,successful
ecda4276e3955ecdc889462b58987f9f,cbd_doc_osf,prospective_registration,,prospective_registration,,,
f24a885f3c942b454e226b7ec9e61f3c,cbd_doc,cannot_be_determined,,cannot_be_determined,,cannot_be_determined,cannot_be_determined
f2d4e9da39fccf8eece1e0fcedf1ca3b,control_nodoc,mixed,mixed,mixed,failed,,
f3f897e32ba1a171970395932f988f1e,control_doc,successful,successful,successful,,successful,successful
f40ac2844184cd0cb12db035f5e34630,cbd_doc_osf,prospective_registration,,prospective_registration,,prospective_registration,prospective_registration
f5849e7224a976ea2d6a1a6eb9986d6a,adj,cannot_be_determined,cannot_be_determined,cannot_be_determined,cannot_be_determined,,
f5c8e46dfec68540ee36791c01cdcc95,adj,failed,cannot_be_determined,failed,,failed,failed
f6e49628762c9628749c9e4988d91ba2,cbd_nodoc,cannot_be_determined,,cannot_be_determined,cannot_be_determined,,
f82ca09c82298f2cb3acbb34f2616913,cbd_doc,prospective_registration,,prospective_registration,,prospective_registration,prospective_registration
fde8fc2633108a7609cd4d11e7aa20c7,adj,cannot_be_determined,cannot_be_determined,cannot_be_determined,,cannot_be_determined,cannot_be_determined
fef29f4447aa8cb8808a5be3af94d6a0,cbd_doc,cannot_be_determined,,cannot_be_determined,,cannot_be_determined,cannot_be_determined
ffb5664cbf0da29e820078d2ba254728,adj,(no target),cannot_be_determined,(no target),,mixed,mixed
ffbf89e71f2b3a4526924b03a8badf05,cbd_nodoc,cannot_be_determined,,cannot_be_determined,cannot_be_determined,,
