pair_id,group,variant,src_rung,n_targets,matched,outcome,reason,phrase,qsrc,study_status,rtc,key,match_certain,err,prompt_len
d6e8b51cd5048db4fd608a8bf0ea1a6a,adj,V0r,pre,2,False,,,,,,,,,,26993
af813049b62d9ecd2db8855ddfa68698,adj,V0,pre,1,True,cannot_be_determined,"The title indicates an attempt to replicate an earlier study, but the supplied text neither identifies that study nor reports the replication's outcome.",,,completed,,,False,,18915
af813049b62d9ecd2db8855ddfa68698,adj,V1,pre,1,True,cannot_be_determined,The supplied text identifies an attempted replication but gives no result or verdict about the unidentified target.,,,completed,,,False,,20482
af813049b62d9ecd2db8855ddfa68698,adj,V1b,pre,1,True,cannot_be_determined,The title indicates an attempt to replicate a study but the supplied text does not identify the target or report the replication's outcome.,,,completed,,,False,,20217
af813049b62d9ecd2db8855ddfa68698,adj,V0r,pre,1,True,cannot_be_determined,The title indicates an attempt to replicate but supplies neither the target's identifying details nor a result.,,,completed,,,False,,18916
f5c8e46dfec68540ee36791c01cdcc95,adj,V0,ft,1,True,failed,"The paper reports that the tested associations did not reach genome-wide significance, so it does not confirm the target findings.",No associations were significant at a genome-wide level.,abstract,completed,replication,@grassi2011,True,,32925
f5c8e46dfec68540ee36791c01cdcc95,adj,V1,ft,1,True,failed,"The paper reports that none of the re-tested associations reached genomewide significance, so the original association findings were not confirmed at that level.","In this study the top 389 preliminary genetic associations identified in a genome-wide combined analysis for severe diabetic retinopathy in Caucasian T1D subjects were tested in a separate, independent cohort from the WESDR. Findings were incorporated in a combined analysis of the WESDR, GoKinD, and EDIC cohorts. No associations were at the level of genomewide significance.",discussion,completed,replication,@grassi2011,True,,34492
f5c8e46dfec68540ee36791c01cdcc95,adj,V2,ft,1,True,failed,"The paper reports that the key prior association did not improve and had an opposite-direction effect, and says another main finding from the previous study failed to replicate.",rs476141 was the strongest association from our prior metaanalysis of GoKinD and EDIC. There are several reasons that could explain why its significance did not improve with the addition of the WESDR cohort in this study.,discussion,completed,replication,@grassi2011,True,,45519
f5c8e46dfec68540ee36791c01cdcc95,adj,V3,ft,1,True,failed,The paper reports that the leading prior association weakened and reversed direction and that another main finding explicitly failed to replicate.,"Its P value (4.04 3 10 -5 vs. 1.2 3 10 -7 ) did not improve with the addition of the WESDR cohort in this analysis and the OR was in the opposite direction of GoKinD and EDIC. | The other main finding from the previous study, rs10521145, was genotyped in WESDR separately, but failed to replicate (P ¼ 0.631).",results,completed,replication,@grassi2011,True,,47086
f5c8e46dfec68540ee36791c01cdcc95,adj,V0r,ft,1,True,cannot_be_determined,"The paper reports no genomewide-significant associations, but the supplied evidence does not establish that this threshold determines whether the original study's tested associations were confirmed or contradicted.",,,completed,replication,@grassi2011,True,,32926
7a9dd4bb65d627c46cc184e457413fb9,adj,V0,pre,1,True,mixed,"The authors say most locus associations were conserved but identify two exceptions, so the replication evidence is partly supportive and partly not.","Associations between the novel loci and plasma lipid concentrations were generally conserved in the Japanese population, with the exception of NCAN/CILP2/PBX4 and MVK/MMAB.",abstract,completed,,@willer2008,True,,25654
7a9dd4bb65d627c46cc184e457413fb9,adj,V1,pre,2,True,mixed,"The authors report that associations were generally conserved but identify two loci as exceptions, presenting both agreement and non-agreement across the tested findings.","CONCLUSION: Associations between the novel loci and plasma lipid concentrations were generally conserved in the Japanese population, with the exception of NCAN/CILP2/PBX4 and MVK/MMAB.",abstract,completed,,@willer2008,True,,27221
7a9dd4bb65d627c46cc184e457413fb9,adj,V1b,pre,2,True,mixed,"The authors report that associations were generally conserved but identify two loci as exceptions, so the reported replication outcome is mixed.","Associations between the novel loci and plasma lipid concentrations were generally conserved in the Japanese population, with the exception of NCAN/CILP2/PBX4 and MVK/MMAB.",abstract,completed,,@willer2008,True,,26956
7a9dd4bb65d627c46cc184e457413fb9,adj,V0r,pre,0,False,,,,,,,,,,25655
515495c693f2ebe98645000c00bdd9c3,adj,V0,ft,2,True,cannot_be_determined,"The authors show comparable accuracy from behavioral response histories but explicitly say this is insufficient to dismiss the original fMRI finding, so they do not settle whether that finding holds.","Although our behavioral results show that response bias and response dependency in individual data give rise to the same prediction accuracy as a multivariate pattern classifier based on voxel activities derived from fMRI measurements, our behavioral results are not sufficient to dismiss the original findings.",discussion,completed,replication,@soon2008,True,,53004
515495c693f2ebe98645000c00bdd9c3,adj,V1,ft,2,True,successful,"The paper reports comparable prediction accuracy for its re-test, while cautioning that this does not dismiss or validate the original neural interpretation.","In two replication studies we examined response bias and dependencies in voluntary decisions. We trained a linear classifier to predict ""spontaneous decisions"" and in the second study ""hidden intentions"" from responses in preceding trials and achieved comparable prediction accuracies as reported for multivariate pattern classification based on voxel activities in frontopolar cortex.",abstract,completed,replication,@soon2008,True,,54571
515495c693f2ebe98645000c00bdd9c3,adj,V2,ft,2,True,cannot_be_determined,"The authors show comparable accuracy from behavioral response histories but explicitly say this is insufficient to dismiss the original fMRI finding, so they do not settle whether that finding holds.","Although our behavioral results show that response bias and response dependency in individual data give rise to the same prediction accuracy as a multivariate pattern classifier based on voxel activities derived from fMRI measurements, our behavioral results are not sufficient to dismiss the original findings.",discussion,completed,replication,@soon2008,True,,53004
515495c693f2ebe98645000c00bdd9c3,adj,V3,ft,2,True,successful,"The paper reports comparable prediction accuracy for its re-test, while cautioning that this does not dismiss or validate the original neural interpretation.","In two replication studies we examined response bias and dependencies in voluntary decisions. We trained a linear classifier to predict ""spontaneous decisions"" and in the second study ""hidden intentions"" from responses in preceding trials and achieved comparable prediction accuracies as reported for multivariate pattern classification based on voxel activities in frontopolar cortex.",abstract,completed,replication,@soon2008,True,,54571
515495c693f2ebe98645000c00bdd9c3,adj,V0r,ft,2,True,cannot_be_determined,The paper reports comparable prediction accuracy from preceding responses but does not establish whether Soon et al.'s fMRI finding itself was confirmed or contradicted.,,,completed,replication,@soon2008,True,,53005
69b35f4769d6706475ef582c8d31f1d8,adj,V0,pre,1,True,cannot_be_determined,The abstract reports improvement in this study but does not state what the original finding was or compare the result with it.,,,completed,,,False,,20181
69b35f4769d6706475ef582c8d31f1d8,adj,V1,pre,1,True,successful,"The reported improvement agrees with the daytime-continence finding identified by the closely matching alarm-and-prompt study, rather than indicating that the approach failed.","The student became almost totally free from large urinary accidents, replacing them with self-initiated toileting and small accidents (wetting only a disposable tissue), and retained his improvement over time.",abstract,completed,,@lancioni1999,True,,21748
69b35f4769d6706475ef582c8d31f1d8,adj,V1b,pre,1,True,cannot_be_determined,The abstract reports improvement in this student but does not state the original study’s finding or compare the result with it.,,,completed,,@lancioni1999,True,,21483
69b35f4769d6706475ef582c8d31f1d8,adj,V0r,pre,1,True,cannot_be_determined,"The abstract reports improvement, but the supplied evidence does not state the original study’s finding or compare this result with it.",,,completed,,@lancioni1999,True,,20182
ffb5664cbf0da29e820078d2ba254728,adj,V0,ft,0,False,,,,,,,,,,38964
ffb5664cbf0da29e820078d2ba254728,adj,V1,ft,0,False,,,,,,,,,,40531
ffb5664cbf0da29e820078d2ba254728,adj,V2,ft,9,True,mixed,"The authors explicitly describe partial confirmation of the European-ancestry findings, rather than uniform agreement or disagreement.","Results from our meta-analysis of African-American women confirm some, but not all, of the findings in women of European ancestry.",discussion,completed,replication,@stolk2012,True,,88483
ffb5664cbf0da29e820078d2ba254728,adj,V3,ft,9,True,mixed,"The authors describe the tested European-ancestry findings overall as partly confirmed and partly not, rather than claiming uniform agreement or failure.","Results from our meta-analysis of African-American women confirm some, but not all, of the findings in women of European ancestry.",discussion,completed,replication,@stolk2012,True,,90050
ffb5664cbf0da29e820078d2ba254728,adj,V0r,ft,1,True,cannot_be_determined,"The paper reports replication for six loci overall but does not identify which original papers' findings those loci correspond to, so no outcome can be assigned to an individual original.",,,completed,replication,,False,,38965
785a211fc059785fea9c254c2383fd97,adj,V0,ft,2,False,,,,,,,,,,25288
785a211fc059785fea9c254c2383fd97,adj,V1,ft,2,False,,,,,,,,,,26855
785a211fc059785fea9c254c2383fd97,adj,V2,ft,2,True,mixed,"The authors describe STEPP replication as poor to modest and later explicitly characterize its replication results as mixed, rather than as uniformly successful or failed.","Thus, taken together, our current results and results of the only other studies that are currently available (Nixon, Nehmy, et al., 2010; Van Meijel et al., 2015) indicate poor to modest replication (STEPP) or partial replication (CTSQ) of the original predictive performance of these screening tools.",discussion,completed,replication,,False,,55100
785a211fc059785fea9c254c2383fd97,adj,V3,ft,2,True,failed,"The authors say the current STEPP tool is not supported, consistent with its poor-to-modest replication of the original predictive performance.",Evidence to date does not support the use of the current STEPP tool specifically; more studies would be needed to support the use of additional or alternate items or cutoff scores for the STEPP.,discussion,completed,replication,,False,,56667
785a211fc059785fea9c254c2383fd97,adj,V0r,ft,2,False,,,,,,,,,,25289
f5849e7224a976ea2d6a1a6eb9986d6a,adj,V0,pre,1,True,cannot_be_determined,The abstract reports differences between the eyes but does not say whether the time-of-test finding from Montolio et al. held.,,,completed,,@montolio2012,True,,20695
f5849e7224a976ea2d6a1a6eb9986d6a,adj,V1,pre,1,True,cannot_be_determined,The abstract says results were compared with Montolio's study but does not report whether its time-of-test finding was supported or contradicted.,,,completed,,@montolio2012,True,,22262
f5849e7224a976ea2d6a1a6eb9986d6a,adj,V1b,pre,1,True,cannot_be_determined,The abstract reports differences between eyes but does not say whether the re-tested time-of-test finding agreed with Montolio et al.,,,completed,,@montolio2012,True,,21997
f5849e7224a976ea2d6a1a6eb9986d6a,adj,V0r,pre,1,True,cannot_be_determined,The abstract reports differences between eyes but does not say whether the time-of-test finding agreed with or contradicted Montolio et al.'s finding.,,,completed,,@montolio2012,True,,20696
45ac4d82d1f529c3b466af6891a57e2c,adj,V0,ft,1,True,cannot_be_determined,The supplied text identifies the target but does not state how the replication's findings compared with that paper's findings.,,,completed,reproduction,,False,,32452
45ac4d82d1f529c3b466af6891a57e2c,adj,V1,ft,1,True,cannot_be_determined,The supplied evidence does not state how the re-analysis compared with the original finding.,,,completed,reproduction,,False,,34019
45ac4d82d1f529c3b466af6891a57e2c,adj,V2,ft,1,True,successful,"The authors explicitly say they replicated the original findings, with the discrepancies described as minor rather than as failures to confirm them.",We were able to replicate the original findings with minor discrepancies.,abstract,completed,reproduction,,False,,84459
45ac4d82d1f529c3b466af6891a57e2c,adj,V3,ft,1,True,successful,"The authors explicitly say they replicated the original findings, with the discrepancies described as minor rather than as failures to reproduce them.",We were able to replicate the original findings with minor discrepancies.,abstract,completed,reproduction,,False,,86026
45ac4d82d1f529c3b466af6891a57e2c,adj,V0r,ft,1,True,cannot_be_determined,"The supplied text identifies the target and includes results tables, but gives no conclusion comparing those results with the original finding.",,,completed,reproduction,,False,,32453
64522a710c6462d467881f6e8f06a5d5,adj,V0,ft,1,True,cannot_be_determined,The supplied conclusions report findings about measurement in the European sample but do not state how those findings compare with Druckman and Levendusky’s reported results.,,,completed,replication,@druckman2019,True,,37391
64522a710c6462d467881f6e8f06a5d5,adj,V1,ft,1,True,cannot_be_determined,"The paper reports its conclusions about how the measures relate in its sample, but the supplied text does not identify the original study’s specific finding and direction well enough to compare the results against it.",,,completed,replication,@druckman2019,True,,38958
64522a710c6462d467881f6e8f06a5d5,adj,V2,ft,1,True,successful,"The authors conclude that the measures perform similarly across contexts, consistent with the measurement-comparability finding they set out to re-test.","All in all, these results bears good news to the existing and future practice of operationalizing affective polarization. The choice of scale appears less influential than might be expected given the relevant differences between the US and Europe as well as between European national contexts.",discussion,completed,replication,@druckman2019,True,,89404
64522a710c6462d467881f6e8f06a5d5,adj,V3,ft,1,True,successful,"The paper reports that affective measures produce similar patterns while social-distance measures remain distinct, broadly supporting the measure relationships it set out to re-test.","The results indicate that, while different items usually produce different point estimates and sometimes different answer patterns, the measurement of affective polarization appears relatively indifferent to the choice of items.",abstract,completed,replication,@druckman2019,True,,90971
64522a710c6462d467881f6e8f06a5d5,adj,V0r,ft,1,True,cannot_be_determined,The supplied text identifies the comparison with Druckman and Levendusky but does not state their specific finding or compare this paper’s results with it.,,,completed,replication,@druckman2019,True,,37392
c58711c73db9f5e91de03a6aef2e741d,adj,V0,ft,5,True,cannot_be_determined,The paper reports partial replication across the 22 CpG sites but does not attribute the replicated or non-replicated sites to this study.,,,completed,replication,@dealmeida2019,True,,30963
c58711c73db9f5e91de03a6aef2e741d,adj,V1,ft,5,True,cannot_be_determined,The supplied evidence reports partial replication across all 22 CpG sites but does not identify how this study’s candidate findings from this paper came out.,,,completed,replication,@dealmeida2019,True,,32530
c58711c73db9f5e91de03a6aef2e741d,adj,V2,ft,5,True,successful,"The authors explicitly identify a gene from De Almeida et al. among the genes they replicated, supporting the original finding.","Other genes we replicated have been reported to play a role in breast cancer progression such as HOXD9 [28,29], TDRD10 [9,30], SH3PXD2A [31] and TSPAN15 [32], although these studies did not involve DNA methylation data as a prognostic marker.",discussion,completed,replication,@dealmeida2019,True,,46230
c58711c73db9f5e91de03a6aef2e741d,adj,V3,ft,5,True,successful,"The reported associations all point in the same direction as the original, and the authors explicitly describe evidence of replication for three of the five CpGs.","For De Almeida et al. [9], 3 of 5 CpGs showed evidence of associations with breast cancer-specific survival that were consistent in direction (P ≤ 0.01, HRs per SD between 1.41 and 1.58 for HOXD9, C17orf93 and TDRD10) in Model 0 used by the authors, Table 2. For the two remaining CpGs, the HRs were consistent in direction with De Almeida et al. 's [9] study (cg04475027, HR = 1.26, P = 0.08, cg01268824, HR = 1.18, P = 0.18), Table 2.",results,completed,replication,@dealmeida2019,True,,47797
c58711c73db9f5e91de03a6aef2e741d,adj,V0r,ft,5,True,cannot_be_determined,The paper reports partial replication across 22 CpG sites but does not identify which results correspond to this study.,,,completed,replication,@dealmeida2019,True,,30964
156594af5cb22c295f56df3f5629d931,adj,V0,ft,1,True,cannot_be_determined,The paper reports positive findings from the new review but does not state the original review's findings sufficiently to determine whether they agree.,,,completed,replication,,False,,29611
156594af5cb22c295f56df3f5629d931,adj,V1,ft,1,True,cannot_be_determined,The paper reports positive findings from its expanded review but does not establish what overall finding of Doyle et al. those findings confirm or contradict.,,,completed,replication,,False,,31178
156594af5cb22c295f56df3f5629d931,adj,V2,ft,1,True,cannot_be_determined,The paper reports positive findings from its updated review but does not state the original review’s results sufficiently to establish agreement or disagreement with them.,,,completed,replication,,False,,68484
156594af5cb22c295f56df3f5629d931,adj,V3,ft,1,True,successful,"The authors conclude that the interventions improved nutritional outcomes, so their stated positive verdict supports the original review’s topic-level finding.","In conclusion, this conceptual replication found that research into foodservice interventions in oncology settings has progressed beyond the provision of ONS to complement usual foodservices, to now be investigating the impact of systemic foodservice interventions that can benefit all oncology patients. The implementation of small, frequent high-energy high-protein meals and snacks and patient-focused foodservice models was found to improve a number of nutritional outcomes in both inpatient and ambulatory settings; however, further research is required to confirm these findings.",discussion,completed,replication,,False,,70051
156594af5cb22c295f56df3f5629d931,adj,V0r,ft,1,True,successful,"The authors’ overall conclusion presents the replicated review question’s foodservice interventions as beneficial, so the cautious wording does not amount to a failed or indeterminate result.","This conceptual replication found that the implementation of small, frequent high-energy high-protein meals and snacks, and patient-focused foodservice models may improve nutritional outcomes and satisfaction in both inpatient and ambulatory settings.",abstract,completed,replication,,False,,29612
06d7b2b57c28f002aaf90b62fef64492,adj,V0,ft,22,True,cannot_be_determined,"The table reports No Result, without stating whether the original finding was supported or contradicted.","(Zeiler and Fergus 2014)R340200%0%0%0%TimeNR | Results of the reproducibility studies can be Success (S), Partial Success (PS), Failed (F), No Result (NR), and Not Started (NS).",discussion,completed,reproduction,@zeiler2014,True,,36354
06d7b2b57c28f002aaf90b62fef64492,adj,V1,ft,22,True,cannot_be_determined,"The table reports No Result (NR), so it supplies no comparison that establishes success or failure.","Results of the reproducibility studies can be Success (S), Partial Success (PS), Failed (F), No Result (NR), and Not Started (NS). | (Zeiler and Fergus 2014)R340200%0%0%0%TimeNR",discussion,completed,reproduction,@zeiler2014,True,,37921
06d7b2b57c28f002aaf90b62fef64492,adj,V2,ft,22,True,uninformative,"The authors report No Result because the attempt produced no completed experiments, so it adjudicated neither for nor against the original.",(Zeiler and Fergus 2014)R340200%0%0%0%TimeNR,results,completed,reproduction,@zeiler2014,True,,68707
06d7b2b57c28f002aaf90b62fef64492,adj,V3,ft,22,True,uninformative,"The authors report No Result, with no completed experiment to support either confirmation or contradiction.",(Zeiler and Fergus 2014)R340200%0%0%0%TimeNR,discussion,completed,reproduction,@zeiler2014,True,,70274
06d7b2b57c28f002aaf90b62fef64492,adj,V0r,ft,22,True,cannot_be_determined,"The table reports No Result (NR), so the supplied evidence does not establish agreement or disagreement with the original finding.",(Zeiler and Fergus 2014)R340200%0%0%0%TimeNR,,completed,reproduction,@zeiler2014,True,,36355
fde8fc2633108a7609cd4d11e7aa20c7,adj,V0,ft,1,True,cannot_be_determined,The supplied text lists effect statistics but does not state a verdict or make a sufficiently clear comparison between the replication result and the original finding.,,,completed,replication,,False,,25272
fde8fc2633108a7609cd4d11e7aa20c7,adj,V1,ft,1,True,cannot_be_determined,The supplied statistics do not clearly state how the re-tested Study 2 finding came out or establish a comparison to that finding.,,,completed,replication,,False,,26839
fde8fc2633108a7609cd4d11e7aa20c7,adj,V2,ft,1,True,cannot_be_determined,The supplied text reports statistics for the original and this paper but does not state how the replication results compare with the original finding.,,,completed,replication,,False,,23276
fde8fc2633108a7609cd4d11e7aa20c7,adj,V3,ft,1,True,cannot_be_determined,The supplied text reports effect sizes and an interaction but does not clearly state how the replication results compare with the finding of Study 2.,,,completed,replication,,False,,24843
fde8fc2633108a7609cd4d11e7aa20c7,adj,V0r,ft,1,True,cannot_be_determined,The supplied text identifies the replication target but does not state whether this paper's results agreed with or contradicted that study's finding.,,,completed,replication,,False,,25273
2fced4c8cb757752e32133cc1ef2c297,cbd_doc,V0,ft,1,True,cannot_be_determined,The supplied text establishes the replication target but does not report how this paper's replication turned out.,,,completed,,@johnson2013,True,,24849
2fced4c8cb757752e32133cc1ef2c297,cbd_doc,V1,ft,1,True,cannot_be_determined,The supplied text identifies the Johnson et al. study as the replication target but does not report how this paper’s replication turned out.,,,completed,,@johnson2013,True,,26416
da55bbc121de59c165c55e76a4ac2869,cbd_doc,V0,ft,1,True,cannot_be_determined,"The paper reports only tentative concerns about its published results and says the preregistered 2008 comparisons will be reported later, so the evidence does not establish whether the target finding held.","And when we did the 2004 replication, we found interesting differences which suggested that there may indeed be problems with our published results (see Section 2).",discussion,completed,replication,@ghitza2013,True,,32422
da55bbc121de59c165c55e76a4ac2869,cbd_doc,V1,ft,1,True,cannot_be_determined,The text mentions a potential problem and possible noise but does not report a result that establishes whether the target findings held.,,,completed,replication,@ghitza2013,True,,33989
da55bbc121de59c165c55e76a4ac2869,cbd_doc,V2,ft,1,True,successful,"The paper explicitly says its same-data analysis produced results essentially the same as the original figure, supporting the original finding.","The result is essentially the same as Figure 2 of Ghitza & Gelman (2013), which is no surprise given the large sample size and large number of groups in the multilevel model.",discussion,completed,reproduction,@ghitza2013,True,,50837
da55bbc121de59c165c55e76a4ac2869,cbd_doc,V3,ft,1,True,successful,"The paper says its completed near-exact reanalysis produced essentially the same result as the original, while the 2004 analysis used a different election and is not described as a contradiction of the 2008 finding.","The result is essentially the same as Figure 2 of Ghitza & Gelman (2013), which is no surprise given the large sample size and large number of groups in the multilevel model.",discussion,completed,reproduction,@ghitza2013,True,,52404
02d3f4bcde87789cd5796f4ecd8d7504,cbd_doc,V0,ft,13,True,mixed,"The paper reports a directionally conflicting SUFU result but says the SHH association confirms the reported finding, so the original paper's results are mixed.","A statistically significant decrease in recurrence risk (HR = 0.23 [95% CI: 0.07-0.72]) was found for homozygous T allele carriers of rs11594179 (SUFU) compared to patients with the CT/CC genotype (Table 3). Direction of effect was however conflicting with the association presented in the original report (Table 4), and the variant failed previous external validation in the Spanish EPICURO cohort [8]. | Yet, a borderline significant risk increase was observed with each G allele copy of rs1233560 (SHH), which confirms the previously reported and already replicated association [8].",results,completed,replication,@chen2010,True,,58895
02d3f4bcde87789cd5796f4ecd8d7504,cbd_doc,V1,ft,13,True,mixed,The paper reports a conflicting-direction result for SUFU but says the SHH association was confirmed.,"A statistically significant decrease in recurrence risk (HR = 0.23 [95% CI: 0.07-0.72]) was found for homozygous T allele carriers of rs11594179 (SUFU) compared to patients with the CT/CC genotype (Table 3). Direction of effect was however conflicting with the association presented in the original report (Table 4), and the variant failed previous external validation in the Spanish EPICURO cohort [8]. | Yet, a borderline significant risk increase was observed with each G allele copy of rs1233560 (SHH), which confirms the previously reported and already replicated association [8].",discussion,completed,replication,@chen2010,True,,60462
02d3f4bcde87789cd5796f4ecd8d7504,cbd_doc,V2,ft,13,True,mixed,"The paper reports a directionally conflicting SUFU result but says the SHH association confirms the reported finding, so the original paper's results are mixed.","A statistically significant decrease in recurrence risk (HR = 0.23 [95% CI: 0.07-0.72]) was found for homozygous T allele carriers of rs11594179 (SUFU) compared to patients with the CT/CC genotype (Table 3). Direction of effect was however conflicting with the association presented in the original report (Table 4), and the variant failed previous external validation in the Spanish EPICURO cohort [8]. | Yet, a borderline significant risk increase was observed with each G allele copy of rs1233560 (SHH), which confirms the previously reported and already replicated association [8].",results,completed,replication,@chen2010,True,,58895
02d3f4bcde87789cd5796f4ecd8d7504,cbd_doc,V3,ft,13,True,mixed,The paper reports a conflicting-direction result for SUFU but says the SHH association was confirmed.,"A statistically significant decrease in recurrence risk (HR = 0.23 [95% CI: 0.07-0.72]) was found for homozygous T allele carriers of rs11594179 (SUFU) compared to patients with the CT/CC genotype (Table 3). Direction of effect was however conflicting with the association presented in the original report (Table 4), and the variant failed previous external validation in the Spanish EPICURO cohort [8]. | Yet, a borderline significant risk increase was observed with each G allele copy of rs1233560 (SHH), which confirms the previously reported and already replicated association [8].",discussion,completed,replication,@chen2010,True,,60462
990973308123be72a4e09f44ccb3d520,cbd_doc,V0,ft,1,True,cannot_be_determined,The supplied text is an erratum correcting the missing pre-registration badge and gives no results or verdict about the replication.,,,completed,replication,,False,,23594
990973308123be72a4e09f44ccb3d520,cbd_doc,V1,ft,1,True,cannot_be_determined,The supplied erratum identifies the replication target but gives no results or verdict about whether Darcy et al.'s finding held.,,,completed,unclear,,False,,25161
990973308123be72a4e09f44ccb3d520,cbd_doc,V2,ft,0,False,,,,,,,,,,23085
990973308123be72a4e09f44ccb3d520,cbd_doc,V3,ft,1,True,cannot_be_determined,"The supplied erratum identifies Darcy et al. as the replication target but reports only a correction to the article’s missing pre-registration badge, not its results.",,,completed,replication,,False,,24652
67dbe09da6169bfb8ec32a181a088359,cbd_doc,V0,ft,22,True,cannot_be_determined,"The table reports No Result, without stating whether the original finding was supported or contradicted.","(Jia et al. 2016a)R38100%0%0%0%TextNR | Results of the reproducibility studies can be Success (S), Partial Success (PS), Failed (F), No Result (NR), and Not Started (NS).",discussion,completed,reproduction,@jia2016,True,,36354
67dbe09da6169bfb8ec32a181a088359,cbd_doc,V1,ft,22,True,cannot_be_determined,"The table reports No Result (NR), so it supplies no comparison that establishes success or failure.","Results of the reproducibility studies can be Success (S), Partial Success (PS), Failed (F), No Result (NR), and Not Started (NS). | (Jia et al. 2016a)R38100%0%0%0%TextNR",discussion,completed,reproduction,@jia2016,True,,37921
67dbe09da6169bfb8ec32a181a088359,cbd_doc,V2,ft,22,True,uninformative,"The authors report No Result because the attempt produced no completed experiments, so it adjudicated neither for nor against the original.",(Jia et al. 2016a)R38100%0%0%0%TextNR,results,completed,reproduction,@jia2016,True,,68707
